ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency	Dataset	SampleType
179420776	0		user	from ling tuesday	EMAILSEARCH	search_email	from <contact_name_from>ling</contact_name_from> <start_date>tuesday</start_date>	[]		1	outlook	Donated
179422275	0		user	CHEN/ MENGEN pb action needed today	EMAILSEARCH	search_email	<contact_name>CHEN/ MENGEN</contact_name> <keyword>pb action needed</keyword> <start_date>today</start_date>	[]		1	outlook	Donated
179422115	0		user	from yakarov	EMAILSEARCH	search_email	from <contact_name_from>yakarov</contact_name_from>	[]		1	outlook	Donated
179422251	0		user	from tasun data quality	EMAILSEARCH	search_email	from <contact_name_from>tasun</contact_name_from> <keyword>data quality</keyword>	[]		1	outlook	Donated
179420906	0		user	to Chris	EMAILSEARCH	search_email	to <contact_name_to>Chris</contact_name_to>	[]		1	outlook	Donated
179421897	0		user	from manasi with attachment	EMAILSEARCH	search_email	from <contact_name_from>manasi</contact_name_from> with <attachment>attachment</attachment>	[]		1	outlook	Donated
179422966	0		user	from ling compliance ngram	EMAILSEARCH	search_email	from <contact_name_from>ling</contact_name_from> <keyword>compliance ngram</keyword>	[]		1	outlook	Donated
179422856	0		user	from mark on commanding	EMAILSEARCH	search_email	from <contact_name_from>mark</contact_name_from> on <keyword>commanding</keyword>	[]		1	outlook	Donated
179422837	0		user	from Ming about eyes-off	EMAILSEARCH	search_email	from <contact_name_from>Ming</contact_name_from> about <keyword>eyes-off</keyword>	[]		1	outlook	Donated
179422786	0		user	from lauren in april	EMAILSEARCH	search_email	from <contact_name_from>lauren</contact_name_from> in <start_date>april</start_date>	[]		1	outlook	Donated
179421531	0		user	preethi pdf	EMAILSEARCH	search_email	<contact_name>preethi</contact_name> <attachment_type>pdf</attachment_type>	[]		1	outlook	Donated
179422209	0		user	to Gaurish	EMAILSEARCH	search_email	to <contact_name_to>Gaurish</contact_name_to>	[]		1	outlook	Donated
179423124	0		user	Arbitration objects from	EMAILSEARCH	search_email	<keyword>Arbitration objects</keyword> from	[]		1	outlook	Donated
179421714	0		user	from hisami	EMAILSEARCH	search_email	from <contact_name_from>hisami</contact_name_from>	[]		1	outlook	Donated
179422257	0		user	from malik with excel attachment	EMAILSEARCH	search_email	from <contact_name_from>malik</contact_name_from> with <attachment_type>excel</attachment_type> <attachment>attachment</attachment>	[]		1	outlook	Donated
179421791	0		user	from Ming with photo	EMAILSEARCH	search_email	from <contact_name_from>Ming</contact_name_from> with <attachment_type>photo</attachment_type>	[]		1	outlook	Donated
179421471	0		user	to Kunal in April	EMAILSEARCH	search_email	to <contact_name_to>Kunal</contact_name_to> in <start_date>April</start_date>	[]		1	outlook	Donated
179421433	0		user	from Jamil on deep dive	EMAILSEARCH	search_email	from <contact_name_from>Jamil</contact_name_from> on <keyword>deep dive</keyword>	[]		1	outlook	Donated
179422416	0		user	from Ramesh on planning	EMAILSEARCH	search_email	from <contact_name_from>Ramesh</contact_name_from> <keyword>on planning</keyword>	[]		1	outlook	Donated
179421925	0		user	from Shuman on poll	EMAILSEARCH	search_email	from <contact_name_from>Shuman</contact_name_from> on <keyword>poll</keyword>	[]		1	outlook	Donated
179421999	0		user	from Jamil on LU FY20	EMAILSEARCH	search_email	from <contact_name_from>Jamil</contact_name_from> on <keyword>LU FY20</keyword>	[]		1	outlook	Donated
179423238	0		user	ELMESSILHY, Hussein / AOS Interview Scheduled for May 7th, 2019 -	EMAILSEARCH	search_email	<keyword>ELMESSILHY</keyword>, <contact_name>Hussein</contact_name> / <keyword>AOS Interview Scheduled for May 7th, 2019</keyword> -	[]		1	outlook	Donated
179421631	0		user	from Vijay on compliance	EMAILSEARCH	search_email	from <contact_name_from>Vijay</contact_name_from> on <keyword>compliance</keyword>	[]		1	outlook	Donated
179420912	0		user	from jamil last week	EMAILSEARCH	search_email	from <contact_name_from>jamil</contact_name_from> <start_date>last week</start_date>	[]		1	outlook	Donated
179422724	0		user	from xi on interview	EMAILSEARCH	search_email	from <contact_name_from>xi</contact_name_from> on <keyword>interview</keyword>	[]		1	outlook	Donated
179423241	0		user	email view id	EMAILSEARCH	search_email	<message_type>email</message_type> <keyword>view id</keyword>	[]		1	outlook	Donated
179421582	0		user	mail transport tds james	EMAILSEARCH	search_email	<message_type>mail</message_type> <keyword>transport tds</keyword> <contact_name>james</contact_name>	[]		1	outlook	Donated
179422601	0		user	to cortana science bellevue about meeting	EMAILSEARCH	search_email	to <contact_name_to>cortana science bellevue</contact_name_to> about <keyword>meeting</keyword>	[]		1	outlook	Donated
179423283	0		user	debashish from brian	EMAILSEARCH	search_email	<contact_name>debashish</contact_name> from <contact_name_from>brian</contact_name_from>	[]		1	outlook	Donated
179421119	0		user	Minu on vibranium	EMAILSEARCH	search_email	<contact_name>Minu</contact_name> on <keyword>vibranium</keyword>	[]		1	outlook	Donated
179422457	0		user	from mark	EMAILSEARCH	search_email	from <contact_name_from>mark</contact_name_from>	[]		1	outlook	Donated
179421563	0		user	from Ken about experiment	EMAILSEARCH	search_email	from <contact_name_from>Ken</contact_name_from> about <keyword>experiment</keyword>	[]		1	outlook	Donated
179421147	0		user	from shawn about interview	EMAILSEARCH	search_email	from <contact_name_from>shawn</contact_name_from> about <keyword>interview</keyword>	[]		1	outlook	Donated
179422990	0		user	from tasun data issue	EMAILSEARCH	search_email	from <contact_name_from>tasun</contact_name_from> <keyword>data issue</keyword>	[]		1	outlook	Donated
179422696	0		user	from raj on sunday	EMAILSEARCH	search_email	from <contact_name_from>raj</contact_name_from> on <start_date>sunday</start_date>	[]		1	outlook	Donated
179421674	0		user	From Subject Received Size	EMAILSEARCH	search_email	From Subject <email_subject>Received Size</email_subject>	[]		1	outlook	Donated
179421104	0		user	from Jamil on Ling	EMAILSEARCH	search_email	from <contact_name_from>Jamil</contact_name_from> on <keyword>Ling</keyword>	[]		1	outlook	Donated
179420850	0		user	tds from focus job	EMAILSEARCH	search_email	<keyword>tds</keyword> from <contact_name_from>focus job</contact_name_from>	[]		1	outlook	Donated
179422113	0		user	from tasun domains note	EMAILSEARCH	search_email	from <contact_name_from>tasun</contact_name_from> <keyword>domains note</keyword>	[]		1	outlook	Donated
179421224	0		user	from dmitrij	EMAILSEARCH	search_email	from <contact_name_from>dmitrij</contact_name_from>	[]		1	outlook	Donated
179420917	0		user	from Ming about An	EMAILSEARCH	search_email	from <contact_name_from>Ming</contact_name_from> about <keyword>An</keyword>	[]		1	outlook	Donated
179421917	0		user	example email	EMAILSEARCH	search_email	<keyword>example</keyword> <message_type>email</message_type>	[]		1	outlook	Donated
179422903	0		user	from joji about ODIN	EMAILSEARCH	search_email	from <contact_name_from>joji</contact_name_from> about <keyword>ODIN</keyword>	[]		1	outlook	Donated
179422297	0		user	from Ming about budget	EMAILSEARCH	search_email	from <contact_name_from>Ming</contact_name_from> about <keyword>budget</keyword>	[]		1	outlook	Donated
179420918	0		user	from aisha	EMAILSEARCH	search_email	from <contact_name_from>aisha</contact_name_from>	[]		1	outlook	Donated
179422062	0		user	and gilsinia	EMAILSEARCH	search_email	and <contact_name>gilsinia</contact_name>	[]		1	outlook	Donated
179422027	0		user	from Vijay with ppt	EMAILSEARCH	search_email	from <contact_name_from>Vijay</contact_name_from> with <attachment_type>ppt</attachment_type>	[]		1	outlook	Donated
179422069	0		user	from liyuan	EMAILSEARCH	search_email	from <contact_name_from>liyuan</contact_name_from>	[]		1	outlook	Donated
179421031	0		user	from Raj sent yesterday	EMAILSEARCH	search_email	from <contact_name_from>Raj</contact_name_from> sent <start_date>yesterday</start_date>	[]		1	outlook	Donated
179423098	0		user	from byungki with attachment	EMAILSEARCH	search_email	from <contact_name_from>byungki</contact_name_from> with <attachment>attachment</attachment>	[]		1	outlook	Donated
179422465	0		user	from Ramesh to Andrew	EMAILSEARCH	search_email	from <contact_name_from>Ramesh</contact_name_from> to <contact_name_to>Andrew</contact_name_to>	[]		1	outlook	Donated
179422944	0		user	from omar	EMAILSEARCH	search_email	from <contact_name_from>omar</contact_name_from>	[]		1	outlook	Donated
179422051	0		user	Hussein / AOS Interview Scheduled for May 7th, 2019 -	EMAILSEARCH	search_email	<contact_name>Hussein</contact_name> / AOS Interview Scheduled for May 7th, 2019 -	[]		1	outlook	Donated
179422186	0		user	from Shuman last week	EMAILSEARCH	search_email	from <contact_name_from>Shuman</contact_name_from> <start_date>last week</start_date>	[]		1	outlook	Donated
179423149	0		user	from Jamil on LU deep dive	EMAILSEARCH	search_email	from <contact_name_from>Jamil</contact_name_from> on <keyword>LU deep dive</keyword>	[]		1	outlook	Donated
179421094	0		user	from: <xiaojih@microsoft.com>	EMAILSEARCH	search_email	from: &lt;<contact_name_from>xiaojih@microsoft.com</contact_name_from>&gt;	[]		1	outlook	Donated
179421884	0		user	from tasun annotation rules	EMAILSEARCH	search_email	from <contact_name_from>tasun</contact_name_from> <keyword>annotation rules</keyword>	[]		1	outlook	Donated
179422912	0		user	data from brian	EMAILSEARCH	search_email	<keyword>data</keyword> from <contact_name_from>brian</contact_name_from>	[]		1	outlook	Donated
179423255	0		user	unread email	EMAILSEARCH	search_email	<message_category>unread</message_category> <message_type>email</message_type>	[]		1	outlook	Donated
179421133	0		user	from ye-yi with ppt	EMAILSEARCH	search_email	from <contact_name_from>ye-yi</contact_name_from> with <attachment_type>ppt</attachment_type>	[]		1	outlook	Donated
179420974	0		user	email join	EMAILSEARCH	search_email	<message_type>email</message_type> <keyword>join</keyword>	[]		1	outlook	Donated
179422098	0		user	from Mark with attachment	EMAILSEARCH	search_email	from <contact_name_from>Mark</contact_name_from> with <attachment>attachment</attachment>	[]		1	outlook	Donated
179422144	0		user	create tds from focus job	EMAILSEARCH	search_email	<keyword>create tds</keyword> from <contact_name_from>focus job</contact_name_from>	[]		1	outlook	Donated
179421113	0		user	november fast norway	EMAILSEARCH	search_email	<start_date>november</start_date> <keyword>fast norway</keyword>	[]		1	outlook	Donated
179422728	0		user	from dwight about compliance	EMAILSEARCH	search_email	from <contact_name_from>dwight</contact_name_from> about <keyword>compliance</keyword>	[]		1	outlook	Donated
179420744	0		user	from saurabh about outlook	EMAILSEARCH	search_email	from <contact_name_from>saurabh</contact_name_from> about <keyword>outlook</keyword>	[]		1	outlook	Donated
179423120	0		user	from ye-yi with attachment last March	EMAILSEARCH	search_email	from <contact_name_from>ye-yi</contact_name_from> with <attachment>attachment</attachment> <start_date>last March</start_date>	[]		1	outlook	Donated
179423051	0		user	from holly about 1-1	EMAILSEARCH	search_email	from <contact_name_from>holly</contact_name_from> about <keyword>1-1</keyword>	[]		1	outlook	Donated
179422050	0		user	from Ling last week	EMAILSEARCH	search_email	from <contact_name_from>Ling</contact_name_from> <start_date>last week</start_date>	[]		1	outlook	Donated
179422397	0		user	from vass	EMAILSEARCH	search_email	from <contact_name_from>vass</contact_name_from>	[]		1	outlook	Donated
179423146	0		user	from yar	EMAILSEARCH	search_email	from <contact_name_from>yar</contact_name_from>	[]		1	outlook	Donated
179422349	0		user	from Jamil last March	EMAILSEARCH	search_email	from <contact_name_from>Jamil</contact_name_from> <start_date>last March</start_date>	[]		1	outlook	Donated
179422998	0		user	november fast	EMAILSEARCH	search_email	<start_date>november</start_date> <keyword>fast</keyword>	[]		1	outlook	Donated
179422605	0		user	05/25 yang	EMAILSEARCH	search_email	<start_date>05/25</start_date> <contact_name>yang</contact_name>	[]		1	outlook	Donated
179422441	0		user	from Yue last week	EMAILSEARCH	search_email	from <contact_name_from>Yue</contact_name_from> <start_date>last week</start_date>	[]		1	outlook	Donated
179420875	0		user	divya pdf SPO	EMAILSEARCH	search_email	<contact_name>divya</contact_name> <attachment_type>pdf</attachment_type> <keyword>SPO</keyword>	[]		1	outlook	Donated
179422412	0		user	from raj sent yesterday	EMAILSEARCH	search_email	from <contact_name_from>raj</contact_name_from> sent <start_date>yesterday</start_date>	[]		1	outlook	Donated
179421377	0		user	from ming with photo	EMAILSEARCH	search_email	from <contact_name_from>ming</contact_name_from> with <attachment_type>photo</attachment_type>	[]		1	outlook	Donated
179421248	0		user	ruofan kpe doc	EMAILSEARCH	search_email	<contact_name>ruofan</contact_name> <keyword>kpe</keyword> <attachment_type>doc</attachment_type>	[]		1	outlook	Donated
179421050	0		user	email actions	EMAILSEARCH	search_email	<message_type>email</message_type> <keyword>actions</keyword>	[]		1	outlook	Donated
179423022	0		user	from jamil template	EMAILSEARCH	search_email	from <contact_name_from>jamil</contact_name_from> <keyword>template</keyword>	[]		1	outlook	Donated
179421018	0		user	scorecard from August 2018	EMAILSEARCH	search_email	<keyword>scorecard</keyword> from <start_date>August 2018</start_date>	[]		1	outlook	Donated
179421398	0		user	from inna	EMAILSEARCH	search_email	from <contact_name_from>inna</contact_name_from>	[]		1	outlook	Donated
179422811	0		user	from Tao on people	EMAILSEARCH	search_email	from <contact_name_from>Tao</contact_name_from> on <keyword>people</keyword>	[]		1	outlook	Donated
179421346	0		user	from vinbel	EMAILSEARCH	search_email	from <contact_name_from>vinbel</contact_name_from>	[]		1	outlook	Donated
179420762	0		user	civ june	EMAILSEARCH	search_email	<keyword>civ</keyword> june	[]		1	outlook	Donated
179422611	0		user	from alexw	EMAILSEARCH	search_email	from <contact_name_from>alexw</contact_name_from>	[]		1	outlook	Donated
179420855	0		user	from Ling yesterday	EMAILSEARCH	search_email	from <contact_name_from>Ling</contact_name_from> <start_date>yesterday</start_date>	[]		1	outlook	Donated
179421459	0		user	from Ye-yi yesterday	EMAILSEARCH	search_email	from <contact_name_from>Ye-yi</contact_name_from> <start_date>yesterday</start_date>	[]		1	outlook	Donated
179423002	0		user	From Subject Received Size Categories	EMAILSEARCH	search_email	From Subject <email_subject>Received Size Categories</email_subject>	[]		1	outlook	Donated
179422921	0		user	olga and shilpa	EMAILSEARCH	search_email	<contact_name>olga</contact_name> and <contact_name>shilpa</contact_name>	[]		1	outlook	Donated
179422792	0		user	from ming about design	EMAILSEARCH	search_email	from <contact_name_from>ming</contact_name_from> about <keyword>design</keyword>	[]		1	outlook	Donated
179422237	0		user	sukwon deck ppt	EMAILSEARCH	search_email	<contact_name>sukwon</contact_name> <keyword>deck</keyword> <attachment_type>ppt</attachment_type>	[]		1	outlook	Donated
179421191	0		user	to Kunal	EMAILSEARCH	search_email	to <contact_name_to>Kunal</contact_name_to>	[]		1	outlook	Donated
179422600	0		user	messages not rolling up	EMAILSEARCH	search_email	messages <keyword>not rolling up</keyword>	[]		1	outlook	Donated
179422435	0		user	from felipe	EMAILSEARCH	search_email	from <contact_name_from>felipe</contact_name_from>	[]		1	outlook	Donated
179421165	0		user	from specified code page	EMAILSEARCH	search_email	from <contact_name_from>specified code page</contact_name_from>	[]		1	outlook	Donated
179422593	0		user	to Jamil on Ling	EMAILSEARCH	search_email	to <contact_name_to>Jamil</contact_name_to> on <keyword>Ling</keyword>	[]		1	outlook	Donated
179421513	0		user	from zhiguo	EMAILSEARCH	search_email	from <contact_name_from>zhiguo</contact_name_from>	[]		1	outlook	Donated
179421622	0		user	torus SAW	NOTSURE	other_domain	torus SAW	[]		1	outlook	Donated
179423082	0		user	adam levi Le	NOTSURE	other_domain	adam levi Le	[]		1	outlook	Donated
179421414	0		user	parental leave askhr	NOTSURE	other_domain	parental leave askhr	[]		1	outlook	Donated
179421819	0		user	machine learning	NOTSURE	other_domain	machine learning	[]		1	outlook	Donated
179422846	0		user	Exchange Datacenter Research Access	NOTSURE	other_domain	Exchange Datacenter Research Access	[]		1	outlook	Donated
179422125	0		user	deploy ssa	NOTSURE	other_domain	deploy ssa	[]		1	outlook	Donated
179421971	0		user	Azure devops	NOTSURE	other_domain	Azure devops	[]		1	outlook	Donated
179423017	0		user	QF SBS	NOTSURE	other_domain	QF SBS	[]		1	outlook	Donated
179422434	0		user	query editing	NOTSURE	other_domain	query editing	[]		1	outlook	Donated
179421349	0		user	azure kpe	NOTSURE	other_domain	azure kpe	[]		1	outlook	Donated
179422345	0		user	frisbee anid	NOTSURE	other_domain	frisbee anid	[]		1	outlook	Donated
179421789	0		user	hisami + performance	NOTSURE	other_domain	hisami + performance	[]		1	outlook	Donated
179421245	0		user	david sbs	NOTSURE	other_domain	david sbs	[]		1	outlook	Donated
179422885	0		user	next meeting with Nidhi	NOTSURE	other_domain	next meeting with Nidhi	[]		1	outlook	Donated
179422643	0		user	action items	NOTSURE	other_domain	action items	[]		1	outlook	Donated
179421907	0		user	tasun baby	NOTSURE	other_domain	tasun baby	[]		1	outlook	Donated
179421208	0		user	install kusto explorer	NOTSURE	other_domain	install kusto explorer	[]		1	outlook	Donated
179421832	0		user	visual studio	NOTSURE	other_domain	visual studio	[]		1	outlook	Donated
179421606	0		user	nikita tasun ha	NOTSURE	other_domain	nikita tasun ha	[]		1	outlook	Donated
179421229	0		user	Getting a coverage of query terms in ODB	NOTSURE	other_domain	Getting a coverage of query terms in ODB	[]		1	outlook	Donated
179421099	0		user	yong cosmos 11	NOTSURE	other_domain	yong cosmos 11	[]		1	outlook	Donated
179422413	0		user	rishi feature store	NOTSURE	other_domain	rishi feature store	[]		1	outlook	Donated
179422003	0		user	byungki checkin	NOTSURE	other_domain	byungki checkin	[]		1	outlook	Donated
179422978	0		user	xrank operator	NOTSURE	other_domain	xrank operator	[]		1	outlook	Donated
179422116	0		user	jacob codeflow	NOTSURE	other_domain	jacob codeflow	[]		1	outlook	Donated
179421359	0		user	uber receipts	NOTSURE	other_domain	uber receipts	[]		1	outlook	Donated
179421675	0		user	GH RCCI Feedback Form	NOTSURE	other_domain	GH RCCI Feedback Form	[]		1	outlook	Donated
179421788	0		user	gaurish sukwon	NOTSURE	other_domain	gaurish sukwon	[]		1	outlook	Donated
179422425	0		user	ram ba	NOTSURE	other_domain	ram ba	[]		1	outlook	Donated
179423257	0		user	results vassilis	NOTSURE	other_domain	results vassilis	[]		1	outlook	Donated
179423139	0		user	iving well	NOTSURE	other_domain	iving well	[]		1	outlook	Donated
179421920	0		user	biao he	NOTSURE	other_domain	biao he	[]		1	outlook	Donated
179421404	0		user	abhishek recommendations	NOTSURE	other_domain	abhishek recommendations	[]		1	outlook	Donated
179421916	0		user	consistency check	NOTSURE	other_domain	consistency check	[]		1	outlook	Donated
179420779	0		user	ward l2	NOTSURE	other_domain	ward l2	[]		1	outlook	Donated
179423053	0		user	hussein azure	NOTSURE	other_domain	hussein azure	[]		1	outlook	Donated
179421457	0		user	hisami +	NOTSURE	other_domain	hisami +	[]		1	outlook	Donated
179422654	0		user	levi melnick emnlp 2018 brief summary	NOTSURE	other_domain	levi melnick emnlp 2018 brief summary	[]		1	outlook	Donated
179422052	0		user	lpc and loki	NOTSURE	other_domain	lpc and loki	[]		1	outlook	Donated
179422399	0		user	dmitrij COrtana git	NOTSURE	other_domain	dmitrij COrtana git	[]		1	outlook	Donated
179421266	0		user	internship yeyi	NOTSURE	other_domain	internship yeyi	[]		1	outlook	Donated
179422741	0		user	Post model null	NOTSURE	other_domain	Post model null	[]		1	outlook	Donated
179420896	0		user	bala keyphrase stamp	NOTSURE	other_domain	bala keyphrase stamp	[]		1	outlook	Donated
179422975	0		user	azure key phrase	NOTSURE	other_domain	azure key phrase	[]		1	outlook	Donated
179421934	0		user	doc kpe	NOTSURE	other_domain	doc kpe	[]		1	outlook	Donated
179422036	0		user	vijay sujith FST	NOTSURE	other_domain	vijay sujith FST	[]		1	outlook	Donated
179420925	0		user	update torus	NOTSURE	other_domain	update torus	[]		1	outlook	Donated
179421727	0		user	Repeated user queries for Windows endpoint	NOTSURE	other_domain	Repeated user queries for Windows endpoint	[]		1	outlook	Donated
179422986	0		user	julie hall	NOTSURE	other_domain	julie hall	[]		1	outlook	Donated
179420761	0		user	qas validation is stuck	NOTSURE	other_domain	qas validation is stuck	[]		1	outlook	Donated
179421109	0		user	omar khan	NOTSURE	other_domain	omar khan	[]		1	outlook	Donated
179421144	0		user	opentable mc	NOTSURE	other_domain	opentable mc	[]		1	outlook	Donated
179421039	0		user	Fun day	NOTSURE	other_domain	Fun day	[]		1	outlook	Donated
179423186	0		user	mat v	NOTSURE	other_domain	mat v	[]		1	outlook	Donated
179421309	0		user	world wide feat	NOTSURE	other_domain	world wide feat	[]		1	outlook	Donated
179422731	0		user	tokenissuer restart	NOTSURE	other_domain	tokenissuer restart	[]		1	outlook	Donated
179421569	0		user	priya samnerkar	NOTSURE	other_domain	priya samnerkar	[]		1	outlook	Donated
179423074	0		user	incorrect code path	NOTSURE	other_domain	incorrect code path	[]		1	outlook	Donated
179421308	0		user	legal brexit	NOTSURE	other_domain	legal brexit	[]		1	outlook	Donated
179421802	0		user	version tds	NOTSURE	other_domain	version tds	[]		1	outlook	Donated
179420880	0		user	rahul scrape	NOTSURE	other_domain	rahul scrape	[]		1	outlook	Donated
179420782	0		user	edi changes	NOTSURE	other_domain	edi changes	[]		1	outlook	Donated
179422980	0		user	restlogs pii	NOTSURE	other_domain	restlogs pii	[]		1	outlook	Donated
179420952	0		user	zhiguo michael outlookcommute	NOTSURE	other_domain	zhiguo michael outlookcommute	[]		1	outlook	Donated
179422423	0		user	oacr 68023	NOTSURE	other_domain	oacr 68023	[]		1	outlook	Donated
179421038	0		user	meng ai crowd test join	NOTSURE	other_domain	meng ai crowd test join	[]		1	outlook	Donated
179422896	0		user	vijay vok	NOTSURE	other_domain	vijay vok	[]		1	outlook	Donated
179422702	0		user	teams shuyin	NOTSURE	other_domain	teams shuyin	[]		1	outlook	Donated
179421662	0		user	git utah	NOTSURE	other_domain	git utah	[]		1	outlook	Donated
179421142	0		user	rajpal kulhari	NOTSURE	other_domain	rajpal kulhari	[]		1	outlook	Donated
179420874	0		user	kalyan ayloo	NOTSURE	other_domain	kalyan ayloo	[]		1	outlook	Donated
179422081	0		user	annotation guidelines	NOTSURE	other_domain	annotation guidelines	[]		1	outlook	Donated
179422004	0		user	l1 model	NOTSURE	other_domain	l1 model	[]		1	outlook	Donated
179421678	0		user	utah git swafford	NOTSURE	other_domain	utah git swafford	[]		1	outlook	Donated
179422850	0		user	ionization smoke detectors	NOTSURE	other_domain	ionization smoke detectors	[]		1	outlook	Donated
179422205	0		user	david karl	NOTSURE	other_domain	david karl	[]		1	outlook	Donated
179421393	0		user	Matthew Kerian	NOTSURE	other_domain	Matthew Kerian	[]		1	outlook	Donated
179421567	0		user	codeflow code coverage	NOTSURE	other_domain	codeflow code coverage	[]		1	outlook	Donated
179422374	0		user	company store	NOTSURE	other_domain	company store	[]		1	outlook	Donated
179422617	0		user	KPE in Azure	NOTSURE	other_domain	KPE in Azure	[]		1	outlook	Donated
179422598	0		user	ce ye-yi	NOTSURE	other_domain	ce ye-yi	[]		1	outlook	Donated
179421388	0		user	perm labor	NOTSURE	other_domain	perm labor	[]		1	outlook	Donated
179421954	0		user	sukwon joji	NOTSURE	other_domain	sukwon joji	[]		1	outlook	Donated
179421412	0		user	ye-yi wang	NOTSURE	other_domain	ye-yi wang	[]		1	outlook	Donated
179420751	0		user	currently we still have some data quality issue with the log uploading	NOTSURE	other_domain	currently we still have some data quality issue with the log uploading	[]		1	outlook	Donated
179423270	0		user	logs onedrive	NOTSURE	other_domain	logs onedrive	[]		1	outlook	Donated
179422274	0		user	meed expiry	NOTSURE	other_domain	meed expiry	[]		1	outlook	Donated
179421397	0		user	idf script ravi	NOTSURE	other_domain	idf script ravi	[]		1	outlook	Donated
179420858	0		user	Crowd test	NOTSURE	other_domain	Crowd test	[]		1	outlook	Donated
179421473	0		user	jacob stevenson	NOTSURE	other_domain	jacob stevenson	[]		1	outlook	Donated
179423059	0		user	ANID ling	NOTSURE	other_domain	ANID ling	[]		1	outlook	Donated
179422714	0		user	vassilis lsa	NOTSURE	other_domain	vassilis lsa	[]		1	outlook	Donated
179423101	0		user	yubi key	NOTSURE	other_domain	yubi key	[]		1	outlook	Donated
179423224	0		user	blood type	NOTSURE	other_domain	blood type	[]		1	outlook	Donated
