ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	ConversationContext	MetaData	Frequency
BVT-488	0		user	Tell Fred I don't see anyone. Where are you guys?	COMMUNICATION	send_text	Tell <contact_name>Fred</contact_name> <message>I don't see anyone. Where are you guys?</message>		[]	1
BVT-493	0		user	Send a message to Haim Can you come to my office. We have to talk.	COMMUNICATION	send_text	Send a message to <contact_name>Haim</contact_name> <message>Can you come to my office. We have to talk</message>.		[]	1
BVT-499	0		user	Send Text to Jacob Can you come to my office. We have to talk.	COMMUNICATION	send_text	Send Text to <contact_name>Jacob</contact_name> <message>Can you come to my office. We have to talk</message>.		[]	1
BVT-159	0		user	Share the Gun Smoke pdf with Clinton	FILES	file_share	Share the <file_keyword>Gun Smoke</file_keyword> <file_type>pdf</file_type> with <to_contact_name>Clinton</to_contact_name>		[]	1
BVT-164	0		user	Share the Best Lady pdf with Magical Freedom Galaxy	FILES	file_share	Share the <file_keyword>Best Lady</file_keyword> <file_type>pdf</file_type> with <sharetarget_name>Magical Freedom Galaxy</sharetarget_name>		[]	1
BVT-166	0		user	Share the Amelia Earhart pdf with this chat	FILES	file_share	Share the <file_keyword>Amelia Earhart</file_keyword> <file_type>pdf</file_type> with <sharetarget_name>this</sharetarget_name> <sharetarget_type>chat</sharetarget_type>		[]	1
BVT-173	0		user	Share the Gunsmoke pdf with Testing is meeting	FILES	file_share	Share the <file_keyword>Gunsmoke</file_keyword> <file_type>pdf</file_type> with <sharetarget_name>Testing is</sharetarget_name> <sharetarget_type>meeting</sharetarget_type>		[]	1
BVT-193	0		user	Share the Happy pdf with John Henry	FILES	file_share	Share the <file_keyword>Happy</file_keyword> <file_type>pdf</file_type> with <to_contact_name>John Henry</to_contact_name>		[]	1
BVT-165	0		user	Share the pdf I was working on with Trigger Tech	FILES	file_share	Share the <file_type>pdf</file_type> <contact_name>I</contact_name> was <file_action>working</file_action> on with <sharetarget_name>Trigger Tech</sharetarget_name>		[]	1
BVT-186	0		user	Share the Diet Brian excel with Cap'n Crunch Time	FILES	file_share	Share the <file_keyword>Diet Brian</file_keyword> <file_type>excel</file_type> with<sharetarget_name>Cap'n Crunch Time</sharetarget_name>		[]	1
BVT-187	0		user	Share the Microsoft Best Practices excel with Magical Freedom Galaxy	FILES	file_share	Share the <file_keyword>Microsoft Best Practices</file_keyword> <file_type>excel</file_type> with <sharetarget_name>Magical Freedom Galaxy</sharetarget_name>		[]	1
BVT-188	0		user	Share the excel I was working on with Business Plan Review	FILES	file_share	Share the <file_type>excel</file_type> <contact_name>I</contact_name> was <file_action>working</file_action> on with <sharetarget_name>Business Plan Review</sharetarget_name>		[]	1
BVT-163	0		user	Share the Best pdf with All Hands Meeting meeting	FILES	file_share	Share the <file_keyword>Best</file_keyword> <file_type>pdf</file_type> with <sharetarget_name>All Hands Meeting</sharetarget_name> <sharetarget_type>meeting</sharetarget_type>		[]	1
BVT-194	0		user	Share the Radical pdf with Meeting for Cool and Attractive People meeting	FILES	file_share	Share the <file_keyword>Radical</file_keyword> <file_type>pdf</file_type> with <sharetarget_name>Meeting for Cool and Attractive People</sharetarget_name> <sharetarget_type>meeting</sharetarget_type>		[]	1
BVT-214	0		user	Share the Happy presentation with Testing is My Favorite meeting	FILES	file_share	Share the <file_keyword>Happy</file_keyword> <file_type>presentation</file_type> with <sharetarget_name>Testing is My Favorite</sharetarget_name> <sharetarget_type>meeting</sharetarget_type>		[]	1
BVT-221	0		user	Share the document I was working on with Meeting for Cool and Attractive People	FILES	file_share	Share the document <contact_name>I</contact_name> was <file_action>working</file_action> on with <sharetarget_type>Meeting</sharetarget_type> <sharetarget_name>for Cool and Attractive People</sharetarget_name>		[]	1
BVT-113	0		user	Move to the slide Meeting for	INMEETING	goto_slide	Move to the slide <slide_name>Meeting for</slide_name>		[]	1
BVT-148	0		user	Jump to the Flower, Bird, slide	INMEETING	goto_slide	Jump to the <slide_name>Flower, Bird</slide_name>, slide		[]	1

