ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency	GuidelineVersion
8d43dba9-541f-42db-bc44-add430963e45	0	11/1/2019 7:02	user	Hey Cortana what can you do.	Here's how I can help.	COMMON	help	Hey Cortana what can you do.	[]		Teams	Speech	93	19.17
1a858c41-09e7-4253-9f58-4803a26f5f5e	0	11/5/2019 7:23	user	Hey Cortana join my meeting.		CALENDAR	connect_to_meeting	Hey Cortana join my meeting.	[]		Teams	Speech	87	19.17
21144c38-0128-4391-9dad-a6d43e118f09	0	11/26/2019 10:37	user	What's on my calendar?		CALENDAR	find_calendar_entry	What&apos;s on my calendar?	[]		Teams	Speech	86	19.17
9b2931d7-aa53-48e4-91cf-b656e38d1856	0	11/1/2019 7:46	user	Hey Cortana present the deck.	I can only pull up presentations once a meeting's in progress.	INMEETING	start_presenting	Hey Cortana present the deck.	[]		Teams	Speech	83	19.17
40b7a0b6-edb6-4184-b4d6-862046ce3a91	0	11/30/2019 9:12	user	Call.	Who would you like to call?	COMMUNICATION	make_call	Call.	[]		Teams	Speech	76	19.17
045f8e72-3fde-4a14-b7f3-6480c671ca32	0	11/7/2019 16:31	user	Hey Cortana what's on my calendar.		CALENDAR	find_calendar_entry	Hey Cortana what&apos;s on my calendar.	[]		Teams	Speech	70	19.17
a283663e-8d56-4d4e-8d17-1bd92fa88d82	0	11/19/2019 9:20	user	Hey Cortana join my next meeting.	Join your %StartTime% now?	CALENDAR	connect_to_meeting	Hey Cortana join my <start_time>next</start_time> meeting.	[]		Teams	Speech	70	19.17
0b062aae-d629-44a1-8620-4d342e80684b	0	11/21/2019 0:47	user	Cortana.		NOTSURE	notsure_other	Cortana.	[]		Teams	Speech	69	19.17
99afaa5f-5b98-4807-b8cc-4c4972b5d500	0	11/7/2019 8:10	user	Call him.	Calling %ContactName%...	COMMUNICATION	make_call	Call him.	[]		Teams	Speech	69	19.17
343e1d33-c459-4787-9b4e-6bd5f74334bf	0	11/12/2019 3:24	user	Hey Cortana what meetings do I have today.	I'm finding %NumberOfResults% events for today.	CALENDAR	find_calendar_entry	Hey Cortana what meetings do I have <start_date>today</start_date>.	[]		Teams	Speech	68	19.17
e0e71617-fd65-41b4-ae58-f1d17a133e7c	0	11/7/2019 6:37	user	Share PDP file to Paul Liu.	I shared it in your chat.	FILES	file_share	Share <file_keyword>PDP</file_keyword> file to <to_contact_name>Paul Liu</to_contact_name>.	[]		Teams	Speech	68	19.17
48f18b52-a476-498c-8abc-3204748d5ebf	0	11/7/2019 1:13	user	When is my next meeting?		CALENDAR	find_calendar_when	When is my <start_time>next</start_time> meeting?	[]		Teams	Speech	67	19.17
22c2868d-526b-413a-82f1-24afd40288fd	0	11/2/2019 13:52	user	Send a message to Paul.	What's your message?	COMMUNICATION	send_text	Send a message to <contact_name>Paul</contact_name>.	[]		Teams	Speech	66	19.17
79435862-dc4b-4318-86b3-a3e3b5dae737	0	11/5/2019 7:15	user	Who is Jim?	Jim Xu, PRINCIPAL SW ENGINEERING LEAD in Cortana PM_Suzhou, reports to Haoyong Zhang. Try saying, call him or message him.	PEOPLE	search_people_by_name	Who is <contact_name>Jim</contact_name>?	[]		Teams	Speech	60	19.17
c674e852-e229-417c-bad4-7df354fd8bde	0	11/26/2019 14:05	user	Send a message to rose.	Which one do you want to message?	COMMUNICATION	send_text	Send a message to <contact_name>rose</contact_name>.	[]		Teams	Speech	59	19.17
4ae6971d-3ba3-4c50-932c-6262da1ff7a9	0	11/26/2019 13:55	user	Who is Daniel?	I have found 3 Daniel's in your contacts. Which one do you want to see?	PEOPLE	search_people_by_name	Who is <contact_name>Daniel</contact_name>?	[]		Teams	Speech	53	19.17
e4aa2fab-50b6-4c9a-9307-6e0d0fe10dbc	0	11/18/2019 5:15	user	Go to settings.	Here's the settings page.	NOTSURE	notsure_other	Go to settings.	[]		Teams	Speech	50	19.17
d9779f31-a411-401e-b53c-540aa1f20e50	0	11/26/2019 2:09	user	Hey Cortana send a message.	Who's the message going to?	COMMUNICATION	send_text	Hey Cortana send a message.	[]		Teams	Speech	50	19.17
d65db453-0314-4f9a-8c1f-76954dc4f9a4	0	11/26/2019 3:26	user	Who is Kaiqi?	Kaiqi Wang (Wicresoft). reports to Lei Zhai. You can ask me to call or message this person.	PEOPLE	search_people_by_name	Who is <contact_name>Kaiqi</contact_name>?	[]		Teams	Speech	50	19.17
adb9b7c3-79c3-436a-974f-b21d1f04a68e	0	11/12/2019 9:17	user	Hey Cortana send a message to Rose.		COMMUNICATION	send_text	Hey Cortana send a message to <contact_name>Rose</contact_name>.	[]		Teams	Speech	49	19.17
0f8fe857-8eb1-4dda-9f14-074aa546aa89	0	11/5/2019 0:16	user	Hey Cortana end presentation.	I'll end the presentation.	INMEETING	stop_presenting	Hey Cortana end presentation.	[]		Teams	Speech	48	19.17
d9c040cf-9a5d-4b94-9a55-9230fc94b405	0	11/4/2019 23:06	user	Make a call.		COMMUNICATION	make_call	Make a call.	[]		Teams	Speech	46	19.17
2b96425e-ebe0-4dc8-8ed0-faa372eb9d27	0	11/20/2019 7:40	user	What meetings do I have today?	I found %NumberOfResults% events for today.	CALENDAR	find_calendar_entry	What meetings do I have <start_date>today</start_date>?	[]		Teams	Speech	45	19.17
de4f176e-085d-47b8-8c7f-ba12086f3322	0	11/29/2019 9:53	user	Join the meeting.		CALENDAR	connect_to_meeting	Join the meeting.	[]		Teams	Speech	44	19.17
b951b58f-c0ba-4466-b858-3bc424b3891e	0	11/7/2019 6:30	user	Hey Cortana next slide.	This is the last slide.	INMEETING	next_slide	Hey Cortana next slide.	[]		Teams	Speech	44	19.17
b999d003-4535-4557-8023-850d624ed802	0	11/13/2019 5:33	user	Who is Dexter?	Working on it.	PEOPLE	search_people_by_name	Who is <contact_name>Dexter</contact_name>?	[]		Teams	Speech	42	19.17
2980bebc-ffa1-4d8d-9a43-b089489c7575	0	11/26/2019 14:06	user	Call sales test.	Which one would you like to call?	COMMUNICATION	make_call	Call <contact_name>sales test</contact_name>.	[]		Teams	Speech	40	19.17
a32188f2-6e03-4ce2-a113-41f6e8c143e9	0	11/1/2019 5:19	user	Hey Cortana show my calendar.	Here's your schedule for today.	CALENDAR	navigate_calendar	Hey Cortana show my calendar.	[]		Teams	Speech	40	19.17
676b7dbe-22b3-41fc-9413-96c472924a7a	0	11/8/2019 7:57	user	What's on my calendar tomorrow?		CALENDAR	find_calendar_entry	What&apos;s on my calendar <start_date>tomorrow</start_date>?	[]		Teams	Speech	38	19.17
a06c71b0-9128-4e27-b167-2905c31c0f14	0	11/18/2019 7:54	user	Message him.	What's your message?	COMMUNICATION	send_text	Message him.	[]		Teams	Speech	35	19.17
e022d8d1-482e-4413-8343-804eb06552b1	0	11/8/2019 10:42	user	Set my status to busy.	I've set your status to 'Busy'.	TEAMSACTION	teamsuser_setstatus	Set my status to <teamsuser_status>busy</teamsuser_status>.	[]		Teams	Speech	35	19.17
b9428f0d-20e6-493d-83a9-3e6f4e72982c	0	11/18/2019 3:02	user	Search for Cortana.	Sorry, I don't know the answer to this one.	TEAMSACTION	teamspace_search	Search for <teamspace_keyword>Cortana</teamspace_keyword>.	[]		Teams	Speech	35	19.17
e2d6dadd-6f8b-4db6-ac29-2bfad07aafe7	0	11/14/2019 6:38	user	Hey Cortana help.	Here's how I can help.	COMMON	help	Hey Cortana help.	[]		Teams	Speech	34	19.17
868d216c-17c1-4560-8b70-c84e2f1f58f7	0	11/21/2019 6:34	user	Send a message to Rose.	Which one do you want to message?	COMMUNICATION	send_text	Send a message to <contact_name>Rose</contact_name>.	[]		Teams	Speech	34	19.17
70adfea5-4d29-4d5e-8e66-42aa0f0f5a7b	0	11/8/2019 5:53	user	Hey Cortana resume the call.	You're back on the call.	COMMUNICATION	resume	Hey Cortana resume the call.	[]		Teams	Speech	33	19.17
de02b2b6-d936-45ca-931f-5971316abb20	0	11/6/2019 9:12	user	Test.	I'm sorry, I don't know the answer to that one yet, but I'm always learning.	NOTSURE	notsure_other	Test.	[]		Teams	Speech	32	19.17
5f468ba2-03be-4a03-979b-f911a4f4be3e	0	11/5/2019 7:25	user	Hey Cortana end the call.	I'll end the call.	COMMUNICATION	end_call	Hey Cortana end the call.	[]		Teams	Speech	32	19.17
9baa1d81-a98a-4fef-95ca-87bf1f2de9f1	0	11/5/2019 6:14	user	Hey Cortana make a call.	Who do you want to call?	COMMUNICATION	make_call	Hey Cortana make a call.	[]		Teams	Speech	31	19.17
5ebf9023-2ae1-4912-9589-f6dedb73ffcc	0	11/18/2019 9:51	user	Read messages.	You have 2 new messages.Ahmad Sbeih (ASAL Technologies Ltd) sent you at Yesterday's Afternoon the following messages: salallybles.	COMMUNICATION	query_message	Read messages.	[]		Teams	Speech	31	19.17
2bda689c-bad3-41b8-b6b5-7cd3fdd1f56d	0	11/12/2019 6:21	user	Hey Cortana end the meeting.	You're not on a call right now.	CALENDAR	disconnect_from_meeting	Hey Cortana end the meeting.	[]		Teams	Speech	31	19.17
f70a7306-d088-49ce-82ee-fb6f8d73d5fb	0	11/22/2019 18:57	user	Hey Cortana what's my next meeting.		CALENDAR	find_calendar_entry	Hey Cortana what&apos;s my <start_time>next</start_time> meeting.	[]		Teams	Speech	30	19.17
666fc6ee-c7dc-490a-a69b-fffe1f4688af	0	11/28/2019 1:29	user	Hey Cortana when is my next meeting.		CALENDAR	find_calendar_when	Hey Cortana when is my <start_time>next</start_time> meeting.	[]		Teams	Speech	30	19.17
b59eea98-5dff-43ec-9f11-a4b22e041023	0	11/13/2019 8:51	user	Open file.	What file would you like to open?	FILES	file_open	Open file.	[]		Teams	Speech	29	19.17
f20d2bca-235f-45f4-985e-d90e3994ccef	0	11/14/2019 6:37	user	Send feedback.	Here's where you can write your feedback.	NOTSURE	other_domain	Send feedback.	[]		Teams	Speech	28	19.17
ec55fae9-a5ff-496f-84f7-1363bf1d49c2	0	11/11/2019 6:50	user	Show me my activity.	Here's your recent activity.	TEAMSACTION	teamsuser_showactivity	Show me my activity.	[]		Teams	Speech	27	19.17
aca97c57-0d4c-4a2a-96c7-8c10d19cfcc0	0	11/28/2019 3:12	user	Send a message to him.	What's your message?	COMMUNICATION	send_text	Send a message to him.	[]		Teams	Speech	27	19.17
b548ef60-d8bd-41f8-a15e-af5f95f8ffb5	0	11/1/2019 6:16	user	Hey Cortana go to settings.	Here's the settings page.	NOTSURE	other_domain	Hey Cortana go to settings.	[]		Teams	Speech	26	19.17
9248e01f-4584-401a-a113-bc933fcb5503	0	11/4/2019 20:27	user	Show my calendar.		CALENDAR	navigate_calendar	Show my calendar.	[]		Teams	Speech	26	19.17
b5747917-7f84-4112-8513-8c2232c66a54	0	11/13/2019 6:29	user	Who is Lucas?	Working on it.	PEOPLE	search_people_by_name	Who is <contact_name>Lucas</contact_name>?	[]		Teams	Speech	25	19.17
f00b3554-9ecf-4433-8849-5d931ad3a451	0	11/12/2019 6:57	user	Hey Cortana open files.	What file would you like to open?	FILES	file_open	Hey Cortana open files.	[]		Teams	Speech	25	19.17
e3ae5525-ebf9-45f9-8378-92cf10485ce9	0	11/4/2019 20:31	user	Share the deck.	I'm sorry, I don't know the answer to that one yet, but I'm always learning.	FILES	file_share	Share the <file_type>deck</file_type>.	[]		Teams	Speech	24	19.17
6249836b-1906-4338-bb41-b09dc33d2e82	0	11/14/2019 8:11	user	Open files.	What file would you like to open?	FILES	file_open	Open files.	[]		Teams	Speech	24	19.17
2990208b-3468-46ab-9e0a-73e4e2614e79	0	11/4/2019 7:07	user	Hey Cortana what meetings do I have tomorrow.		CALENDAR	find_calendar_entry	Hey Cortana what meetings do I have <start_date>tomorrow</start_date>.	[]		Teams	Speech	23	19.17
fa192e5c-9716-4af1-9824-3b3b51e8c8cb	0	11/25/2019 21:15	user	Send message.	Who's the message going to?	COMMUNICATION	send_text	Send message.	[]		Teams	Speech	23	19.17
c6110f30-c023-450e-add4-5930a7761301	0	11/28/2019 2:22	user	Go to leo's activity.	Here is %PersonName%'s activity.	TEAMSACTION	teamsuser_showactivity	Go to <contact_name>leo</contact_name>&apos;s activity.	[]		Teams	Speech	22	19.17
ccef93b9-d46b-4392-a26e-b3ce522ff779	0	11/20/2019 6:40	user	Hey Cortana navigate to calendar.	Here's your schedule for today.	CALENDAR	navigate_calendar	Hey Cortana navigate to calendar.	[]		Teams	Speech	22	19.17
fa88cbb2-38e5-4584-9db5-e9191470ca1f	0	11/21/2019 19:56	user	Cortana Cortana.	Sorry, I don't know the answer to this one.	NOTSURE	ambiguous	Cortana Cortana.	[]		Teams	Speech	22	19.17
02497ac1-9aa3-440a-9ef1-e1ed5e11b5d7	0	11/1/2019 9:07	user	Cancel.		COMMON	cancel	Cancel.	[]		Teams	Speech	22	19.17
6cfe8d2e-c1a3-4e8c-b745-f9ab0e208720	0	11/27/2019 3:08	user	Call platform test.	Which one would you like to call?	COMMUNICATION	make_call	Call <contact_name>platform test</contact_name>.	[]		Teams	Speech	21	19.17
9ab0ee6d-7003-4cd3-8dfe-3ee1c76ce6f6	0	11/7/2019 2:04	user	Send a message to Jim.	What's your message?	COMMUNICATION	send_text	Send a message to <contact_name>Jim</contact_name>.	[]		Teams	Speech	21	19.17
9493725a-f74f-4035-9959-e0a066434520	0	11/15/2019 8:09	user	Send a message to Paul Liu.		COMMUNICATION	send_text	Send a message to <contact_name>Paul Liu</contact_name>.	[]		Teams	Speech	21	19.17
cda4889d-6684-4e4b-9f26-b622f1608c1d	0	11/9/2019 1:26	user	Set my status to available.	I've set your status to 'Available'.	TEAMSACTION	teamsuser_setstatus	Set my status to <teamsuser_status>available</teamsuser_status>.	[]		Teams	Speech	21	19.17
ded02fea-71d9-4692-b9bf-34c950ad29b1	0	11/26/2019 11:33	user	Cortana present the deck.	Which presentation?	INMEETING	start_presenting	Cortana present the deck.	[]		Teams	Speech	21	19.17
96c1d82d-a70e-4ef6-a1d1-00ccc32620f9	0	11/27/2019 6:29	user	Hey Cortana what do I have today.		CALENDAR	find_calendar_entry	Hey Cortana what do I have <start_date>today</start_date>.	[]		Teams	Speech	20	19.17
10dc27c8-3e08-4f15-9ec5-6d89b586c7d3	0	11/8/2019 8:18	user	What meetings do I have tomorrow?		CALENDAR	find_calendar_entry	What meetings do I have <start_date>tomorrow</start_date>?	[]		Teams	Speech	20	19.17
6c6d322d-ef06-43d3-9d27-4f7c3e8e0438	0	11/25/2019 7:40	user	Show me my at mentions.	Here's where mentions of you would go.	TEAMSACTION	teamsuser_showactivity	Show me my <teamsuser_activitytype>at mentions</teamsuser_activitytype>.	[]		Teams	Speech	20	19.17
6422e33c-6129-4f9d-8b3a-fb8fc6280b44	0	11/22/2019 1:57	user	Hey Cortana send feedback.	Here's where you can write your feedback.	FEEDBACK	submit_feedback	Hey Cortana send feedback.	[]		Teams	Speech	20	19.17
428a8072-84d9-4cb7-b79b-81b47eaeb0c2	0	11/20/2019 6:42	user	Hey Cortana hold the call.	The call's on hold.	COMMUNICATION	hold	Hey Cortana hold the call.	[]		Teams	Speech	20	19.17
686ca0f6-7fd9-4841-a7f6-c79764c12392	0	11/25/2019 13:19	user	Read my missed calls.	Sorry, it looks like something went wrong.	COMMUNICATION	call_voice_mail	Read my missed calls.	[]		Teams	Speech	20	19.17
a66cc51e-bf12-488c-8c86-47e77566cf0d	0	11/8/2019 12:46	user	Share file.	I'm sorry, I can't share without target location.	FILES	file_share	Share file.	[]		Teams	Speech	19	19.17
0c55912d-172b-4fab-b6ac-ebf2277947ce	0	11/13/2019 8:38	user	Hey Cortana hello.	Sorry, I'm not able to help with this one.	NOTSURE	other_domain	Hey Cortana hello.	[]		Teams	Speech	19	19.17
55b193fb-ffa6-4d4c-ae53-275873eaa1c2	0	11/1/2019 15:38	user	Send him a message.	What's your message?	COMMUNICATION	send_text	Send him a message.	[]		Teams	Speech	19	19.17
1410bf9c-9a17-4187-b5ad-1bb89a4edb0d	0	11/4/2019 10:03	user	Who is Paul?	Paul Liu, SOFTWARE ENGINEER II in Cortana PM_Suzhou, reports to Richard Zhao. Try saying, call him or message him.	PEOPLE	search_people_by_name	Who is <contact_name>Paul</contact_name>?	[]		Teams	Speech	19	19.17
4c455b74-294e-4dc9-90d6-b9a3e3053df5	0	11/20/2019 11:32	user	Next meeting.	Here's what's next.	CALENDAR	find_calendar_entry	<start_time>Next</start_time> meeting.	[]		Teams	Speech	18	19.17
6842c0e3-ce9e-458e-b918-8da2effed466	0	11/8/2019 7:59	user	Share PDP file 2 Paul Liu.	I'm sorry, I can't share without target location.	FILES	file_share	Share <file_keyword>PDP</file_keyword> file 2 <to_contact_name>Paul Liu</to_contact_name>.	[]		Teams	Speech	18	19.17
e0d0d6a3-8011-4676-8e55-b7103c336d23	0	11/6/2019 10:26	user	Join next meeting.		CALENDAR	connect_to_meeting	Join <start_time>next</start_time> meeting.	[]		Teams	Speech	18	19.17
63c96361-b29f-41a4-907c-da860d2c7417	0	11/21/2019 12:21	user	Message.	Who's the message going to?	COMMUNICATION	send_text	Message.	[]		Teams	Speech	18	19.17
442a04f6-180f-4cb5-8d27-d57c1063ddb8	0	11/12/2019 21:53	user	Open.	Sorry, I'm not able to help with this one.	NOTSURE	ambiguous	Open.	[]		Teams	Speech	18	19.17
4e93a4be-396c-4e37-b8d8-71f90d801beb	0	11/14/2019 5:54	user	Hey Cortana show me my activity.	Here's your recent activity.	TEAMSACTION	teamsuser_showactivity	Hey Cortana show me my activity.	[]		Teams	Speech	17	19.17
781801e7-bc00-4d7e-b584-a55c6041c309	0	11/26/2019 6:56	user	Give me Harry's manage your name.	Sorry, I'm not able to help with this one.	PEOPLE	search_org_chart	Give me <contact_name>Harry</contact_name>&apos;s <relationship_name>manage</relationship_name> your name.	[]		Teams	Speech	17	19.17
fdecf0be-4e93-48b1-8508-e9a285361b7d	0	11/22/2019 1:30	user	Hey Cortana dial.	Who do you want to call?	COMMUNICATION	make_call	Hey Cortana dial.	[]		Teams	Speech	17	19.17
7d80fc49-897a-45a5-b510-76001b47dde7	0	11/27/2019 8:47	user	Send message to Jim.	What's your message?	COMMUNICATION	send_text	Send message to <contact_name>Jim</contact_name>.	[]		Teams	Speech	17	19.17
aca2c4a3-ac7c-4232-bb27-e47eb5bd6184	0	11/5/2019 0:42	user	Hey Cortana end meeting.	You're not on a call right now.	CALENDAR	disconnect_from_meeting	Hey Cortana end meeting.	[]		Teams	Speech	17	19.17
e8cc1a8a-7d43-4ad6-840c-c0cbc7f25478	0	11/20/2019 6:47	user	Cortana Hey Cortana.	I'm sorry, but I can't help with that.	NOTSURE	ambiguous	Cortana Hey Cortana.	[]		Teams	Speech	17	19.17
018cb634-90af-4f15-90bd-ab8d29e57c97	0	11/8/2019 8:23	user	Search for Kingston.	I'll look up '%SearchString%'.	TEAMSACTION	teamspace_search	Search for <teamspace_keyword>Kingston</teamspace_keyword>.	[]		Teams	Speech	17	19.17
fbcb83a4-58ef-48ca-8007-cb1d65318fe6	0	11/13/2019 8:58	user	Hey Cortana go to unread activity.	Here's where unread activity goes.	TEAMSACTION	teamsuser_showactivity	Hey Cortana go to <teamsuser_activitytype>unread</teamsuser_activitytype> activity.	[]		Teams	Speech	16	19.17
78175093-476d-41d2-8fbf-4996230dc14d	0	11/11/2019 19:13	user	Hey Cortana call.	Who do you want to call?	COMMUNICATION	make_call	Hey Cortana call.	[]		Teams	Speech	16	19.17
8027546c-4ab9-4b76-97bc-f98bfa5476f3	0	11/11/2019 23:35	user	Hey Cortana call 409-444-6721.	Calling %ContactNumber%...	COMMUNICATION	make_call	Hey Cortana call <phone_number>409-444-6721</phone_number>.	[]		Teams	Speech	16	19.17
81337f32-a042-4ad4-ac07-ea78655982b0	0	11/11/2019 6:26	user	Hey Cortana call rose.	Which one would you like to call?	COMMUNICATION	make_call	Hey Cortana call <contact_name>rose</contact_name>.	[]		Teams	Speech	16	19.17
e912d998-fbb7-4b3e-a2cf-ac04003fea98	0	11/26/2019 5:19	user	Who is Hari?	Hari Samrat. the PRINCIPAL SOFTWARE ENGINEERING. reports to Victoria Taranov. You can ask me to call or message this person.	PEOPLE	search_people_by_name	Who is <contact_name>Hari</contact_name>?	[]		Teams	Speech	16	19.17
aa3206b8-d086-4184-b674-f5584ca317cd	0	11/1/2019 1:45	user	Who is Satya?		PEOPLE	search_people_by_name	Who is <contact_name>Satya</contact_name>?	[]		Teams	Speech	16	19.17
2199da58-fe86-42d6-a2b2-ebf3aa1d565e	0	11/8/2019 7:56	user	Create a meeting.	I'm sorry, I can't put things on your calendar here. Try the Cortana app on your PC or phone.	CALENDAR	create_calendar_entry	Create a meeting.	[]		Teams	Speech	16	19.17
71aa0b3d-aef9-443c-902b-68d762339330	0	11/1/2019 15:17	user	Schedule a meeting.		CALENDAR	create_calendar_entry	Schedule a meeting.	[]		Teams	Speech	16	19.17
71f76a05-f8d4-44e5-b92d-f5cc200abaaa	0	11/26/2019 3:52	user	Add to call.	You're not on a call right now.	COMMUNICATION	add_to_call	Add to call.	[]		Teams	Speech	16	19.17
19bda1bc-5fcc-412f-9166-533c660f5eb1	0	11/15/2019 7:19	user	Hey Cortana transfer the call.		COMMUNICATION	transfer	Hey Cortana transfer the call.	[]		Teams	Speech	16	19.17
00ece773-16cd-493b-a821-5f6b245a6821	0	11/4/2019 6:54	user	What do I have tomorrow?		CALENDAR	find_calendar_entry	What do I have <start_date>tomorrow</start_date>?	[]		Teams	Speech	15	19.17
7c24324b-fb22-4fb6-b1a7-85d49368e0de	0	11/11/2019 1:36	user	Go to my activity.	Here's your recent activity.	TEAMSACTION	teamsuser_showactivity	Go to my activity.	[]		Teams	Speech	15	19.17
6675db79-915f-4081-bd71-d2dcf14a8acb	0	11/1/2019 7:29	user	What's the weather?	I'm sorry, I don't know the answer to that one yet, but I'm always learning.	NOTSURE	other_domain	What&apos;s the weather?	[]		Teams	Speech	15	19.17
afe827a5-d189-4e04-976c-e8f5481b7738	0	11/21/2019 2:51	user	Hey Cortana call Zhen Lu.	Calling %ContactName%...	COMMUNICATION	make_call	Hey Cortana call <contact_name>Zhen Lu</contact_name>.	[]		Teams	Speech	15	19.17
0c480229-14f0-4a22-b1d0-32bfa756cf86	0	11/11/2019 19:12	user	Hey Cortana Phone.	Who do you want to call?	COMMUNICATION	make_call	Hey Cortana Phone.	[]		Teams	Speech	15	19.17
c77a7c63-19ba-434a-ba68-d95ba6cb63e2	0	11/16/2019 23:07	user	Send a message to Jason.		COMMUNICATION	send_text	Send a message to <contact_name>Jason</contact_name>.	[]		Teams	Speech	15	19.17
a575f472-3db2-48ed-8a56-81f22292039b	0	11/27/2019 7:07	user	When is my next meeting with Carter?		CALENDAR	find_calendar_when	When is my <start_time>next</start_time> meeting with <contact_name>Carter</contact_name>?	[]		Teams	Speech	15	19.17
31569e5e-498c-48a8-a22a-cb4e8ce121ad	0	11/12/2019 7:22	user	Hey Cortana go to Rose chat.	Here's your chat with %PersonName%.	TEAMSACTION	teamsuser_openchat	Hey Cortana go to <contact_name>Rose</contact_name> chat.	[]		Teams	Speech	15	19.17
69fbcff1-9705-4b67-8493-754c4dd4000a	0	11/21/2019 5:56	user	Who is Siyao Hu's manager?	Xiao Zhang is the manager of Siyao Hu (Wicresoft) You can ask me to call or message this person.	PEOPLE	search_org_chart	Who is <contact_name>Siyao Hu</contact_name>&apos;s <relationship_name>manager</relationship_name>?	[]		Teams	Speech	14	19.17
d8507630-4b46-4ef7-b3df-a4359bb2529e	0	11/6/2019 8:42	user	Share specs file with next meeting.	Working on itShare with which meeting?	FILES	file_share	Share <file_keyword>specs</file_keyword> file with <meeting_starttime>next</meeting_starttime> <sharetarget_type>meeting</sharetarget_type>.	[]		Teams	Speech	14	19.17
329c2803-d158-4dfe-99bd-3353bb583180	0	11/7/2019 11:43	user	Share Cortana file to this meeting.	Share which file?	FILES	file_share	Share <file_keyword>Cortana</file_keyword> file to <sharetarget_name>this</sharetarget_name> <sharetarget_type>meeting</sharetarget_type>.	[]		Teams	Speech	14	19.17
03e00384-f2c4-4744-8e55-6d9b3ebf3f7b	0	11/4/2019 21:08	user	Join my meeting right now.		CALENDAR	connect_to_meeting	Join my meeting right <start_time>now</start_time>.	[]		Teams	Speech	14	19.17
