MessageText	JudgedDomain	JudgedConstraints	JudgedIntent
can you find לגלוש על גלי הרגש word by venkata	FILES	can you find <file_keyword> לגלוש על גלי הרגש </file_keyword> <file_type> word </file_type> by <contact_name> venkata </contact_name>	file_search
word venkata suman yaram shared about MTIS Overview	FILES	<file_type> word </file_type> <contact_name> venkata suman yaram </contact_name> <file_action> shared </file_action> about <file_keyword> MTIS Overview </file_keyword>	file_search
find me Contextual Email Ranking Stack - One Pager xls by ashuthosh upadhyaya	FILES	find me <file_name> Contextual Email Ranking Stack - One Pager </file_name> <file_type> xls </file_type> by <contact_name> ashuthosh upadhyaya </contact_name>	file_search
messages on Meeting between sep 26 and oct 1	TEAMSMESSAGE	messages on <keyword> Meeting </keyword> between <start_date> sep 26 </start_date> and <end_date> oct 1 </end_date>	search_message
remind me to GAPON_SPO_Sites_VM02_Output.SiteCollectionReport.16Jan2020-181101 at 900 pm today	REMINDER	remind me to <reminder_text> GAPON_SPO_Sites_VM02_Output.SiteCollectionReport.16Jan2020-181101 </reminder_text> at <start_time> 900 pm </start_time> <start_date> today </start_date>	create_single_reminder
next נסיעה לשדה תעופה meeting with rachna	CALENDAR	<start_time> next </start_time> <title> נסיעה לשדה תעופה </title> meeting with <contact_name> rachna </contact_name>	find_calendar_entry
where is hanjiangs Weekly Whole Page and Answers Ship Meeting	PEOPLE	where is <contact_name> hanjiang </contact_name> s <people_attribute> Weekly Whole Page and Answers Ship Meeting </people_attribute>	search_people_attribute
whats in my calendar for monday	CALENDAR	whats in my calendar for <start_date> monday </start_date>	find_calendar_entry
send mail to nitin that OM Cortana	EMAIL	send <message_type> mail </message_type> to <contact_name> nitin </contact_name> that <message> OM Cortana </message>	send_email
send an email to allison that Endpoints Table	EMAIL	send an <message_type> email </message_type> to <contact_name> allison </contact_name> that <message> Endpoints Table </message>	send_email
when is my next QuestionsPerCategory	CALENDAR	when is my <start_time> next </start_time> <title> QuestionsPerCategory </title>	find_calendar_when
find allisons Shashank FY20 Q3 OKRs	PEOPLE	find <contact_name> allison </contact_name> s <people_attribute> Shashank FY20 Q3 OKRs </people_attribute>	search_people_attribute
files siobhan sent to me two months ago	FILES	files <contact_name> siobhan </contact_name> <file_action> sent </file_action> to <to_contact_name> me </to_contact_name> <date> two months ago </date>	file_search
suman venkatas docx files shared with me	FILES	<contact_name> suman venkata </contact_name> s <file_type> docx </file_type> files <file_action> shared </file_action> with <to_contact_name> me </to_contact_name>	file_search
Cortana in Teams - Contact Resolution in Communication Skills xls by upadhyaya	FILES	<file_keyword> Cortana in Teams - Contact Resolution in Communication Skills </file_keyword> <file_type> xls </file_type> by <contact_name> upadhyaya </contact_name>	file_search
ashuthosh upadhyaya excel	FILES	<contact_name> ashuthosh upadhyaya </contact_name> <file_type> excel </file_type>	file_search
document venkata shared about Toads Awesome(1)	FILES	document <contact_name> venkata </contact_name> <file_action> shared </file_action> about <file_keyword> Toads Awesome(1) </file_keyword>	file_search
find time on mary anns calendar so we can FY21 Substrate Budget Planning	CALENDAR	find time on <contact_name> mary ann </contact_name> s calendar so we can <title> FY21 Substrate Budget Planning </title>	check_availability
where is yvonne QuickBuild	PEOPLE	where is <contact_name> yvonne </contact_name> <people_attribute> QuickBuild </people_attribute>	search_people_attribute
what is my most recently created file which was named Cortana Israel - Action Item extraction - Shiproom	FILES	what is my most <file_recency> recently </file_recency> <file_action> created </file_action> file which was named <file_name> Cortana Israel - Action Item extraction - Shiproom </file_name>	file_search
open recent created file 05-07-2019 Cortana - Hosting skills outside Cortex - Full	FILES	open <file_recency> recent </file_recency> <file_action> created </file_action> file <file_keyword> 05-07-2019 Cortana - Hosting skills outside Cortex - Full </file_keyword>	file_open
powerpoint deck on Jan Review	FILES	<file_type> powerpoint deck </file_type> on <file_keyword> Jan Review </file_keyword>	file_search
remove FY21 Substrate Budget Planning from my cleaning list	NOTE	remove <note_text> FY21 Substrate Budget Planning </note_text> from my <title> cleaning </title> <data_type> list </data_type>	delete_note_item
remind me to OMC feedback_UX 1911 every tuesday in evening	REMINDER	remind me to <reminder_text> OMC feedback_UX 1911 </reminder_text> <start_date> every tuesday </start_date> in <start_time> evening </start_time>	create_single_reminder
email chad Highlights extraction from meeting transcript - Jan 2020	EMAIL	email <contact_name> chad </contact_name> <message> Highlights extraction from meeting transcript - Jan 2020 </message>	send_email
next Voice Skills - Native Flow Fallback for Contact Resolution with dinesh	CALENDAR	<start_time> next </start_time> <title> Voice Skills - Native Flow Fallback for Contact Resolution </title> with <contact_name> dinesh </contact_name>	find_calendar_entry
find Relevance of lisa	PEOPLE	find <people_attribute> Relevance </people_attribute> of <contact_name> lisa </contact_name>	search_people_attribute
open Product AI investments - FY19 xls	FILES	open <file_keyword> Product AI investments - FY19 </file_keyword> <file_type> xls </file_type>	file_open
find Calling out new features files by gigi	FILES	find <file_keyword> Calling out new features </file_keyword> files by <contact_name> gigi </contact_name>	file_search
who works in bellevue avanta Q3 FY20 plan and OKRs	PEOPLE	who works in bellevue <org_name> avanta </org_name> <people_attribute> Q3 FY20 plan and OKRs </people_attribute>	search_people_attribute
xls upadhyaya sent	FILES	<file_type> xls </file_type> <contact_name> upadhyaya </contact_name> <file_action> sent </file_action>	file_search
email chad Cortana UWP app - skill readiness	EMAIL	email <contact_name> chad </contact_name> <message> Cortana UWP app - skill readiness </message>	send_email
yvonnes work Worksheet	PEOPLE	<contact_name> yvonne </contact_name> s <attribute_type> work </attribute_type> <people_attribute> Worksheet </people_attribute>	search_people_attribute
MS EVENT POLICY file shared by vivek	FILES	<file_keyword> MS EVENT POLICY </file_keyword> file <file_action> shared </file_action> by <contact_name> vivek </contact_name>	file_search
find what i said to joe about Scrum	TEAMSMESSAGE	find what <contact_name_from> i </contact_name_from> said to <contact_name_to> joe </contact_name_to> about <keyword> Scrum </keyword>	search_message
where am i Voice Skills BVT - basic test cases today	CALENDAR	where am i <title> Voice Skills BVT - basic test cases </title> <start_date> today </start_date>	find_calendar_where
Processed_2016_08_22.ss_TOP_100 docx	FILES	<file_keyword> Processed_2016_08_22.ss_TOP_100 </file_keyword> <file_type> docx </file_type>	file_search
when is my meeting with sumit	CALENDAR	when is my meeting with <contact_name> sumit </contact_name>	find_calendar_when
excel by ashuthosh upadhyaya called Data Oracle	FILES	<file_type> excel </file_type> by <contact_name> ashuthosh upadhyaya </contact_name> called <file_name> Data Oracle </file_name>	file_search
word named Running Experiments - Advanced	FILES	<file_type> word </file_type> named <file_name> Running Experiments - Advanced </file_name>	file_search
open New Hire word by yaram	FILES	open <file_keyword> New Hire </file_keyword> <file_type> word </file_type> by <contact_name> yaram </contact_name>	file_open
what do i have this evening	CALENDAR	what do i have <start_time> this evening </start_time>	find_calendar_entry
remind me about Platform Requirement Summary_v3	REMINDER	remind me about <reminder_text> Platform Requirement Summary_v3 </reminder_text>	create_single_reminder
festival	NOTE	<title> festival </title>	create_note
send email to andrew that 202001_SubstrateIntelligenceWorkingSession_RoleOfAIInEffectiveMeetings	EMAIL	send <message_type> email </message_type> to <contact_name> andrew </contact_name> that <message> 202001_SubstrateIntelligenceWorkingSession_RoleOfAIInEffectiveMeetings </message>	send_email
excel shuthosh upadhyaya	FILES	<file_type> excel </file_type> <contact_name> shuthosh upadhyaya </contact_name>	file_search
when is calendar iOS Core Skills + Extras	CALENDAR	when is calendar <title> iOS Core Skills + Extras </title>	find_calendar_when
document Cortana Israel - Requests and Scheduling Intent- Shiproom	FILES	document <file_keyword> Cortana Israel - Requests and Scheduling Intent- Shiproom </file_keyword>	file_search
Messaging Query Patterns for LU xls by upadhyay	FILES	<file_keyword> Messaging Query Patterns for LU </file_keyword> <file_type> xls </file_type> by <contact_name> upadhyay </contact_name>	file_search
schedule for 2019-11 MSAI IL Research - Task Modeling Overview with Nitin	CALENDAR	schedule for <title> 2019-11 MSAI IL Research - Task Modeling Overview with Nitin </title>	find_calendar_entry
document venkata shared about GAPON_SPO_Sites_VM02_Output.TermStoreReport.17Jan2020-230829	FILES	document <contact_name> venkata </contact_name> <file_action> shared </file_action> about <file_keyword> GAPON_SPO_Sites_VM02_Output.TermStoreReport.17Jan2020-230829 </file_keyword>	file_search
rename thursdays event to Towards a theory of software development expertise present	CALENDAR	rename <start_date> thursdays </start_date> event to <title> Towards a theory of software development expertise present </title>	change_calendar_entry
send mail to chad that 苏州 中信银行网点	EMAIL	send <message_type> mail </message_type> to <contact_name> chad </contact_name> that <message> 苏州 中信银行网点 </message>	send_email
anujas FY20 Q2 Action Item Extraction from Meetings OKRs Reflection	PEOPLE	<contact_name> anuja </contact_name> s <people_attribute> FY20 Q2 Action Item Extraction from Meetings OKRs Reflection </people_attribute>	search_people_attribute
find me Growth - OneNote word by suman	FILES	find me <file_keyword> Growth - OneNote </file_keyword> <file_type> word </file_type> by <contact_name> suman </contact_name>	file_search
open up my Cortana_Briefing_WS3 presentation	FILES	open up <contact_name> my </contact_name> <file_keyword> Cortana_Briefing_WS3 </file_keyword> <file_type> presentation </file_type>	file_open
can you find 01-30-2020 Knowledge Bot - Full excel by ashuthosh upadhyaya	FILES	can you find <file_keyword> 01-30-2020 Knowledge Bot - Full </file_keyword> <file_type> excel </file_type> by <contact_name> ashuthosh upadhyaya </contact_name>	file_search
open MSAI-MyA Q3 plan and dependencies xls	FILES	open <file_keyword> MSAI-MyA Q3 plan and dependencies </file_keyword> <file_type> xls </file_type>	file_open
word modified by suman	FILES	<file_type> word </file_type> <file_action> modified </file_action> by <contact_name> suman </contact_name>	file_search
xlsx ashuthosh upadhyaya shared	FILES	<file_type> xlsx </file_type> <contact_name> ashuthosh upadhyaya </contact_name> <file_action> shared </file_action>	file_search
where is hanjiangs Cortana in Teams - Pending work for GA	PEOPLE	where is <contact_name> hanjiang </contact_name> s <people_attribute> Cortana in Teams - Pending work for GA </people_attribute>	search_people_attribute
whats my first meeting on monday	CALENDAR	whats my <order_ref> first </order_ref> meeting on <start_date> monday </start_date>	find_calendar_entry
find FY20 Q3 Email Triage of lisa	PEOPLE	find <people_attribute> FY20 Q3 Email Triage </people_attribute> of <contact_name> lisa </contact_name>	search_people_attribute
Calendar Quarterly OKR &amp; Check Point FY20Q2 document by suman	FILES	<file_keyword> Calendar Quarterly OKR &amp; Check Point FY20Q2 </file_keyword> document by <contact_name> suman </contact_name>	file_search
add Running Feature Rollouts to my to do today to do list	NOTE	add <note_text> Running Feature Rollouts </note_text> to my <title> to do today to do </title> <data_type> list </data_type>	add_to_note
docx shared by suman venkata	FILES	<file_type> docx </file_type> <file_action> shared </file_action> by <contact_name> suman venkata </contact_name>	file_search
remind me to iOS Core Skills + Extras every tuesday in evening	REMINDER	remind me to <reminder_text> iOS Core Skills + Extras </reminder_text> <start_date> every tuesday </start_date> in <start_time> evening </start_time>	create_single_reminder
send an email to perry that 01-30-2020 Knowledge Bot - Full	EMAIL	send an <message_type> email </message_type> to <contact_name> perry </contact_name> that <message> 01-30-2020 Knowledge Bot - Full </message>	send_email
add flour honey and DSAT List to my pancake list	NOTE	add <note_text> DSAT List </note_text> <note_text> DSAT List </note_text> and <note_text> DSAT List </note_text> to my <title> pancake </title> <data_type> list </data_type>	add_to_note
find jose	PEOPLE	find <contact_name> jose </contact_name>	search_people_by_name
remind me to OMC Perf doc on friday	REMINDER	remind me to <reminder_text> OMC Perf doc </reminder_text> on <start_date> friday </start_date>	create_single_reminder
add Private build to	NOTE	add <note_text> Private build </note_text> to	add_to_note
image from richard	FILES	<file_type> image </file_type> from <contact_name> richard </contact_name>	file_search
what is sha lis Working From Home Guidance	PEOPLE	what is <contact_name> sha li </contact_name> s <people_attribute> Working From Home Guidance </people_attribute>	search_people_attribute
Metrics + Signals + Data - FY20 Q3 OKRs document by venkata suman yaram	FILES	<file_keyword> Metrics + Signals + Data - FY20 Q3 OKRs </file_keyword> document by <contact_name> venkata suman yaram </contact_name>	file_search
document modified by venkata suman yaram	FILES	document <file_action> modified </file_action> by <contact_name> venkata suman yaram </contact_name>	file_search
jonathan harriss Coral Scenario Checkup info	PEOPLE	<contact_name> jonathan harris </contact_name> s <people_attribute> Coral Scenario Checkup </people_attribute> info	search_people_attribute
my last VS output meeting with joe	CALENDAR	my <order_ref> last </order_ref> <title> VS output </title> meeting with <contact_name> joe </contact_name>	find_calendar_entry
who is kirti	PEOPLE	who is <contact_name> kirti </contact_name>	search_people_by_name
xls by ashuthosh upadhyaya called STCI MSAI Shiproom - Current	FILES	<file_type> xls </file_type> by <contact_name> ashuthosh upadhyaya </contact_name> called <file_name> STCI MSAI Shiproom - Current </file_name>	file_search
files sent from siobhan to montego	FILES	files <file_action> sent </file_action> from <contact_name> siobhan </contact_name> to <to_contact_name> montego </to_contact_name>	file_search
Cortana UWP app - skill readiness docx by suman venkata	FILES	<file_keyword> Cortana UWP app - skill readiness </file_keyword> <file_type> docx </file_type> by <contact_name> suman venkata </contact_name>	file_search
xls ashuthosh upadhyaya shared about MSX Academy - Account Planning Process_Sellers Facilitator deck_ACADEMY_TEMPLATE_APAC	FILES	<file_type> xls </file_type> <contact_name> ashuthosh upadhyaya </contact_name> <file_action> shared </file_action> about <file_keyword> MSX Academy - Account Planning Process_Sellers Facilitator deck_ACADEMY_TEMPLATE_APAC </file_keyword>	file_search
add 2015-Baofeng meeting for monday at 300 pm located at microsoft	CALENDAR	add <title> 2015-Baofeng </title> meeting for <start_date> monday </start_date> at <start_time> 300 pm </start_time> located at <implicit_location> microsoft </implicit_location>	create_calendar_entry
find me LinkedIn_Spec document by yaram	FILES	find me <file_keyword> LinkedIn_Spec </file_keyword> document by <contact_name> yaram </contact_name>	file_search
can you find 01-30-2020 Knowledge Bot - Full excel by ashuthosh	FILES	can you find <file_keyword> 01-30-2020 Knowledge Bot - Full </file_keyword> <file_type> excel </file_type> by <contact_name> ashuthosh </contact_name>	file_search
in 15 minutes	REMINDER	<start_time> in 15 minutes </start_time>	create_single_reminder
todays schedule	CALENDAR	<start_date> today </start_date> s schedule	find_calendar_entry
messages about server_configured_tips&amp;help in lukas channel	TEAMSMESSAGE	messages about <keyword> server_configured_tips&amp;help </keyword> in <channel> lukas </channel> channel	search_message
find shwetambari Spec for Outlook commute feedback	PEOPLE	find <contact_name> shwetambari </contact_name> <people_attribute> Spec for Outlook commute feedback </people_attribute>	search_people_attribute
add ITAdminInterviewScript to my festival list	NOTE	add <note_text> ITAdminInterviewScript </note_text> to my <title> festival </title> <data_type> list </data_type>	add_to_note
remind me to Name-Resolution-UX-Improvements next week or friday	REMINDER	remind me to <reminder_text> Name-Resolution-UX-Improvements </reminder_text> <start_date> next week </start_date> or <start_date> friday </start_date>	create_single_reminder
what is allisons weeklySmaugMeeting	PEOPLE	what is <contact_name> allison </contact_name> s <people_attribute> weeklySmaugMeeting </people_attribute>	search_people_attribute
D365OKRs from last weeks brownbag lunch meeting chat	TEAMSMESSAGE	<keyword> D365OKRs </keyword> from <start_date> last weeks </start_date> <chat_name> brownbag lunch meeting </chat_name> chat	search_message
xlsx by ashuthosh upadhyaya called Cortana API Gateway	FILES	<file_type> xlsx </file_type> by <contact_name> ashuthosh upadhyaya </contact_name> called <file_name> Cortana API Gateway </file_name>	file_search
what is chelsea bodes Metrics	PEOPLE	what is <contact_name> chelsea bode </contact_name> s <people_attribute> Metrics </people_attribute>	search_people_attribute
meeting on nidhi	CALENDAR	meeting on <contact_name> nidhi </contact_name>	find_calendar_entry
please set a reminder tomorrow 1000 am to Quarterly Quality Review	REMINDER	please set a reminder <start_date> tomorrow </start_date> <start_time> 1000 am </start_time> to <reminder_text> Quarterly Quality Review </reminder_text>	create_single_reminder
but reminder	REMINDER	but reminder	create_single_reminder
word named Aspiring Agents Pre-Read	FILES	<file_type> word </file_type> named <file_name> Aspiring Agents Pre-Read </file_name>	file_search
show me FY21 Substrate Budget Planning of sha li	PEOPLE	show me <people_attribute> FY21 Substrate Budget Planning </people_attribute> of <contact_name> sha li </contact_name>	search_people_attribute
set a reminder to Search fallback on Teams product plan - H2FY20 on saturday	REMINDER	set a reminder to <reminder_text> Search fallback on Teams product plan - H2FY20 </reminder_text> on <start_date> saturday </start_date>	create_single_reminder
what is lisas OneNote_DeletedPages	PEOPLE	what is <contact_name> lisa </contact_name> s <people_attribute> OneNote_DeletedPages </people_attribute>	search_people_attribute
add Cortana on Teams - Messaging Skills Improvements to my wunderlist	NOTE	add <note_text> Cortana on Teams - Messaging Skills Improvements </note_text> to my <app_name> wunderlist </app_name>	add_to_note
what is Audience Expansion for allison	PEOPLE	what is <people_attribute> Audience Expansion </people_attribute> for <contact_name> allison </contact_name>	search_people_attribute
spreadsheet by upadhyaya named Transition to MSE 2.0 - Israel	FILES	<file_type> spreadsheet </file_type> by <contact_name> upadhyaya </contact_name> named <file_name> Transition to MSE 2.0 - Israel </file_name>	file_search
add UWP Skill roundup - Privacy Security Compliance tracking to my calendar at 630 pm today	CALENDAR	add <title> UWP Skill roundup - Privacy Security Compliance tracking </title> to my calendar at <start_time> 630 pm </start_time> <start_date> today </start_date>	create_calendar_entry
add 2020-01-16-MSAI Assistant Initiative Review to my packing list	NOTE	add <note_text> 2020-01-16-MSAI Assistant Initiative Review </note_text> to my <title> packing </title> <data_type> list </data_type>	add_to_note
remind me to Exchange Service Overview when i reach starbucks	REMINDER	remind me to <reminder_text> Exchange Service Overview </reminder_text> when i reach <implicit_location> starbucks </implicit_location>	create_single_reminder
mail perry	EMAIL	mail <contact_name> perry </contact_name>	send_email
what is shwetambari mokadam Gunsmoke Alpha	PEOPLE	what is <contact_name> shwetambari mokadam </contact_name> <people_attribute> Gunsmoke Alpha </people_attribute>	search_people_attribute
what do i have on april 10th	CALENDAR	what do i have on <start_date> april 10th </start_date>	find_calendar_entry
can you fin Jan Review word by yaram venkata	FILES	can you fin <file_keyword> Jan Review </file_keyword> <file_type> word </file_type> by <contact_name> yaram venkata </contact_name>	file_search
find allisons Search_backlog	PEOPLE	find <contact_name> allison </contact_name> s <people_attribute> Search_backlog </people_attribute>	search_people_attribute
find me Analyzing Experiments - Advanced docx by suman	FILES	find me <file_keyword> Analyzing Experiments - Advanced </file_keyword> <file_type> docx </file_type> by <contact_name> suman </contact_name>	file_search
my upcoming iOS Commute Pass - Weekly meeting location	CALENDAR	my <start_time> upcoming </start_time> <title> iOS Commute Pass - Weekly </title> meeting location	find_calendar_where
excel by ashuthosh upadhyaya about Online Experiment Review - VATI Commercial	FILES	<file_type> excel </file_type> by <contact_name> ashuthosh upadhyaya </contact_name> about <file_keyword> Online Experiment Review - VATI Commercial </file_keyword>	file_search
open Signals Across Stack docx by yaram	FILES	open <file_keyword> Signals Across Stack </file_keyword> <file_type> docx </file_type> by <contact_name> yaram </contact_name>	file_open
send a note to beryl Tasks Skill = Answer	EMAIL	send a <message_type> note </message_type> to <contact_name> beryl </contact_name> <message> Tasks Skill = Answer </message>	send_email
add Convergence_TVS+SA to my list	NOTE	add <note_text> Convergence_TVS+SA </note_text> to my <data_type> list </data_type>	add_to_note
remove [Dev spec]Teams Mobile Search Baseline Instrumentation from my baking list	NOTE	remove <note_text> [Dev spec]Teams Mobile Search Baseline Instrumentation </note_text> from my <title> baking </title> <data_type> list </data_type>	delete_note_item
whats craigs Bootcamp TOC	PEOPLE	whats <contact_name> craig </contact_name> s <people_attribute> Bootcamp TOC </people_attribute>	search_people_attribute
send a note to ashok Substrate Perf Shiproom - 2020-1-08	EMAIL	send a <message_type> note </message_type> to <contact_name> ashok </contact_name> <message> Substrate Perf Shiproom - 2020-1-08 </message>	send_email
where is shirishs S+A OM focused Shiproom 01212020	PEOPLE	where is <contact_name> shirish </contact_name> s <people_attribute> S+A OM focused Shiproom 01212020 </people_attribute>	search_people_attribute
schedule a meeting with august niehaus and ryan bielby about Monitoring and Diagnostics Brown Bag	CALENDAR	schedule a meeting with <contact_name> august niehaus </contact_name> and <contact_name> ryan bielby </contact_name> about <title> Monitoring and Diagnostics Brown Bag </title>	create_calendar_entry
i need STCA Tech Talk Series for nitin pande	PEOPLE	i need <people_attribute> STCA Tech Talk Series </people_attribute> for <contact_name> nitin pande </contact_name>	search_people_attribute
open Cortana on Windows Vibranium International Plan document by venkata suman yara	FILES	open <file_keyword> Cortana on Windows Vibranium International Plan </file_keyword> document by <contact_name> venkata suman yara </contact_name>	file_open
find Teams Free Teams Paid  Business Review - Nov 2019 word	FILES	find <file_keyword> Teams Free Teams Paid  Business Review - Nov 2019 </file_keyword> <file_type> word </file_type>	file_search
word named Teams Instrumentation Events Breakdown	FILES	<file_type> word </file_type> named <file_name> Teams Instrumentation Events Breakdown </file_name>	file_search
mail satya Alerts	EMAIL	mail <contact_name> satya </contact_name> <message> Alerts </message>	send_email
can you give me richs 6to5	PEOPLE	can you give me <contact_name> rich </contact_name> s <people_attribute> 6to5 </people_attribute>	search_people_attribute
email ashok Efficient Monitoring With Geneva - Best Practices	EMAIL	email <contact_name> ashok </contact_name> <message> Efficient Monitoring With Geneva - Best Practices </message>	send_email
send email to beryl	EMAIL	send <message_type> email </message_type> to <contact_name> beryl </contact_name>	send_email
Birthdays document by yaram venkata	FILES	<file_keyword> Birthdays </file_keyword> document by <contact_name> yaram venkata </contact_name>	file_search
where is my next [PM Spec] Metrics (Client) in PME Scorecard for Experiment meeting with tony	CALENDAR	where is my <start_time> next </start_time> <title> [PM Spec] Metrics (Client) in PME Scorecard for Experiment </title> meeting with <contact_name> tony </contact_name>	find_calendar_where
find messages in dri chat about Untitled Section	TEAMSMESSAGE	find messages in <chat_name> dri </chat_name> chat about <keyword> Untitled Section </keyword>	search_message
xlsx by ashuthosh upadhyaya called FY20 Q3  Scheduling Intent OKRs	FILES	<file_type> xlsx </file_type> by <contact_name> ashuthosh upadhyaya </contact_name> called <file_name> FY20 Q3  Scheduling Intent OKRs </file_name>	file_search
add Business Voice Updates 1 24 20 into my task list	NOTE	add <note_text> Business Voice Updates 1 24 20 </note_text> into my <title> task </title> <data_type> list </data_type>	add_to_note
email andrew Teams Offsite 2020 (Kollam)	EMAIL	email <contact_name> andrew </contact_name> <message> Teams Offsite 2020 (Kollam) </message>	send_email
can you find QuestionsPerCategory xls by upadhyaya	FILES	can you find <file_keyword> QuestionsPerCategory </file_keyword> <file_type> xls </file_type> by <contact_name> upadhyaya </contact_name>	file_search
when is my next Drive VST Reach &amp; Retention via Data meeting	CALENDAR	when is my <start_time> next </start_time> <title> Drive VST Reach &amp; Retention via Data </title> meeting	find_calendar_when
what is beryls Kingston-WorkingDeck	PEOPLE	what is <contact_name> beryl </contact_name> s <people_attribute> Kingston-WorkingDeck </people_attribute>	search_people_attribute
excel ashuthosh upadhyaya shared about Cortana in Teams - Contact Resolution in Communication Skills	FILES	<file_type> excel </file_type> <contact_name> ashuthosh upadhyaya </contact_name> <file_action> shared </file_action> about <file_keyword> Cortana in Teams - Contact Resolution in Communication Skills </file_keyword>	file_search
find AzureArmManagementPortsfc7ebf7d-b3ae-45c2-9c08-67d0ae8ce012_1-27-2020 of jaclyn	PEOPLE	find <people_attribute> AzureArmManagementPortsfc7ebf7d-b3ae-45c2-9c08-67d0ae8ce012_1-27-2020 </people_attribute> of <contact_name> jaclyn </contact_name>	search_people_attribute
what time is my last meeting	CALENDAR	what time is my <order_ref> last </order_ref> meeting	find_calendar_when
vind me Voice Skills - Native Flow Fallback for Contact Resolution xlsx by upadhyaya	FILES	vind me <file_keyword> Voice Skills - Native Flow Fallback for Contact Resolution </file_keyword> <file_type> xlsx </file_type> by <contact_name> upadhyaya </contact_name>	file_search
send mail to perry that Microsoft Search Overview	EMAIL	send <message_type> mail </message_type> to <contact_name> perry </contact_name> that <message> Microsoft Search Overview </message>	send_email
share Perf Dependencies &amp; Contracts presentation with carrie parker	FILES	share <file_keyword> Perf Dependencies &amp; Contracts </file_keyword> <file_type> presentation </file_type> with <to_contact_name> carrie parker </to_contact_name>	file_share
what is erins iOS Core Skills + Extras	PEOPLE	what is <contact_name> erin </contact_name> s <people_attribute> iOS Core Skills + Extras </people_attribute>	search_people_attribute
