ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedIntent	JudgedDomain	JudgedConstraints	ConversationContext	MetaData	Frequency	Cat
filesearch_fileType_20	0		user	spreadsheet by ashuthosh upadhyaya called Alternates Support for Dictation (Confusion Networks)	file_search	FILES	<file_type> spreadsheet </file_type> by <contact_name> ashuthosh upadhyaya </contact_name> called <file_name> Alternates Support for Dictation (Confusion Networks) </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_21	0		user	find Voice Skills Manual Test Plan spreadsheet	file_search	FILES	find <file_keyword> Voice Skills Manual Test Plan </file_keyword> <file_type> spreadsheet </file_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_22	0		user	QuestionsPerCategory	find_calendar_entry	CALENDAR	<title> QuestionsPerCategory </title>	{}	[]	1	PositiveFullMatch
filesearch_fileType_23	0		user	find me 01-30-2020 RealTime Flight Updates on TxP Cards in Outlook - Full document by suman venkata	file_search	FILES	find me <file_keyword> 01-30-2020 RealTime Flight Updates on TxP Cards in Outlook - Full </file_keyword> document by <contact_name> suman venkata </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_24	0		user	xlsx by ashuthosh upadhyaya about Management	file_search	FILES	<file_type> xlsx </file_type> by <contact_name> ashuthosh upadhyaya </contact_name> about <file_keyword> Management </file_keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_25	0		user	can you find לגלוש על גלי הרגש word by venkata	file_search	FILES	can you find <file_keyword> לגלוש על גלי הרגש </file_keyword> <file_type> word </file_type> by <contact_name> venkata </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_26	0		user	word venkata suman yaram shared about MTIS Overview	file_search	FILES	<file_type> word </file_type> <contact_name> venkata suman yaram </contact_name> <file_action> shared </file_action> about <file_keyword> MTIS Overview </file_keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_27	0		user	find me Contextual Email Ranking Stack - One Pager xls by ashuthosh upadhyaya	file_search	FILES	find me <file_name> Contextual Email Ranking Stack - One Pager </file_name> <file_type> xls </file_type> by <contact_name> ashuthosh upadhyaya </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_28	0		user	messages on Meeting between sep 26 and oct 1	search_message	TEAMSMESSAGE	messages on <keyword> Meeting </keyword> between <start_date> sep 26 </start_date> and <end_date> oct 1 </end_date>	{}	[]	1	PositiveFullMatch
filesearch_fileType_29	0		user	remind me to GAPON_SPO_Sites_VM02_Output.SiteCollectionReport.16Jan2020-181101 at 900 pm today	create_single_reminder	REMINDER	remind me to <reminder_text> GAPON_SPO_Sites_VM02_Output.SiteCollectionReport.16Jan2020-181101 </reminder_text> at <start_time> 900 pm </start_time> <start_date> today </start_date>	{}	[]	1	PositiveFullMatch
filesearch_fileType_30	0		user	next נסיעה לשדה תעופה meeting with rachna	find_calendar_entry	CALENDAR	<start_time> next </start_time> <title> נסיעה לשדה תעופה </title> meeting with <contact_name> rachna </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_31	0		user	where is hanjiangs Weekly Whole Page and Answers Ship Meeting	search_people_attribute	PEOPLE	where is <contact_name> hanjiang </contact_name> s <people_attribute> Weekly Whole Page and Answers Ship Meeting </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_32	0		user	whats in my calendar for monday	find_calendar_entry	CALENDAR	whats in my calendar for <start_date> monday </start_date>	{}	[]	1	PositiveFullMatch
filesearch_fileType_33	0		user	send mail to nitin that OM Cortana	send_email	EMAIL	send <message_type> mail </message_type> to <contact_name> nitin </contact_name> that <message> OM Cortana </message>	{}	[]	1	PositiveFullMatch
filesearch_fileType_34	0		user	send an email to allison that Endpoints Table	send_email	EMAIL	send an <message_type> email </message_type> to <contact_name> allison </contact_name> that <message> Endpoints Table </message>	{}	[]	1	PositiveFullMatch
filesearch_fileType_35	0		user	when is my next QuestionsPerCategory	find_calendar_when	CALENDAR	when is my <start_time> next </start_time> <title> QuestionsPerCategory </title>	{}	[]	1	PositiveFullMatch
filesearch_fileType_36	0		user	find allisons Shashank FY20 Q3 OKRs	search_people_attribute	PEOPLE	find <contact_name> allison </contact_name> s <people_attribute> Shashank FY20 Q3 OKRs </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_37	0		user	files siobhan sent to me two months ago	file_search	FILES	files <contact_name> siobhan </contact_name> <file_action> sent </file_action> to <to_contact_name> me </to_contact_name> <date> two months ago </date>	{}	[]	1	PositiveFullMatch
filesearch_fileType_38	0		user	suman venkatas docx files shared with me	file_search	FILES	<contact_name> suman venkata </contact_name> s <file_type> docx </file_type> files <file_action> shared </file_action> with <to_contact_name> me </to_contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_39	0		user	Cortana in Teams - Contact Resolution in Communication Skills xls by upadhyaya	file_search	FILES	<file_keyword> Cortana in Teams - Contact Resolution in Communication Skills </file_keyword> <file_type> xls </file_type> by <contact_name> upadhyaya </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_40	0		user	ashuthosh upadhyaya excel	file_search	FILES	<contact_name> ashuthosh upadhyaya </contact_name> <file_type> excel </file_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_41	0		user	document venkata shared about Toads Awesome(1)	file_search	FILES	document <contact_name> venkata </contact_name> <file_action> shared </file_action> about <file_keyword> Toads Awesome(1) </file_keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_42	0		user	find time on mary anns calendar so we can FY21 Substrate Budget Planning	check_availability	CALENDAR	find time on <contact_name> mary ann </contact_name> s calendar so we can <title> FY21 Substrate Budget Planning </title>	{}	[]	1	PositiveFullMatch
filesearch_fileType_43	0		user	where is yvonne QuickBuild	search_people_attribute	PEOPLE	where is <contact_name> yvonne </contact_name> <people_attribute> QuickBuild </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_44	0		user	what is my most recently created file which was named Cortana Israel - Action Item extraction - Shiproom	file_search	FILES	what is my most <file_recency> recently </file_recency> <file_action> created </file_action> file which was named <file_name> Cortana Israel - Action Item extraction - Shiproom </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_45	0		user	open recent created file 05-07-2019 Cortana - Hosting skills outside Cortex - Full	file_open	FILES	open <file_recency> recent </file_recency> <file_action> created </file_action> file <file_keyword> 05-07-2019 Cortana - Hosting skills outside Cortex - Full </file_keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_46	0		user	powerpoint deck on Jan Review	file_search	FILES	<file_type> powerpoint deck </file_type> on <file_keyword> Jan Review </file_keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_47	0		user	remove FY21 Substrate Budget Planning from my cleaning list	delete_note_item	NOTE	remove <note_text> FY21 Substrate Budget Planning </note_text> from my <title> cleaning </title> <data_type> list </data_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_48	0		user	remind me to OMC feedback_UX 1911 every tuesday in evening	create_single_reminder	REMINDER	remind me to <reminder_text> OMC feedback_UX 1911 </reminder_text> <start_date> every tuesday </start_date> in <start_time> evening </start_time>	{}	[]	1	PositiveFullMatch
filesearch_fileType_49	0		user	email chad Highlights extraction from meeting transcript - Jan 2020	send_email	EMAIL	email <contact_name> chad </contact_name> <message> Highlights extraction from meeting transcript - Jan 2020 </message>	{}	[]	1	PositiveFullMatch
filesearch_fileType_50	0		user	next Voice Skills - Native Flow Fallback for Contact Resolution with dinesh	find_calendar_entry	CALENDAR	<start_time> next </start_time> <title> Voice Skills - Native Flow Fallback for Contact Resolution </title> with <contact_name> dinesh </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_51	0		user	find Relevance of lisa	search_people_attribute	PEOPLE	find <people_attribute> Relevance </people_attribute> of <contact_name> lisa </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_52	0		user	open Product AI investments - FY19 xls	file_open	FILES	open <file_keyword> Product AI investments - FY19 </file_keyword> <file_type> xls </file_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_53	0		user	find Calling out new features files by gigi	file_search	FILES	find <file_keyword> Calling out new features </file_keyword> files by <contact_name> gigi </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_54	0		user	who works in bellevue avanta Q3 FY20 plan and OKRs	search_people_attribute	PEOPLE	who works in bellevue <org_name> avanta </org_name> <people_attribute> Q3 FY20 plan and OKRs </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_55	0		user	xls upadhyaya sent	file_search	FILES	<file_type> xls </file_type> <contact_name> upadhyaya </contact_name> <file_action> sent </file_action>	{}	[]	1	PositiveFullMatch
filesearch_fileType_56	0		user	email chad Cortana UWP app - skill readiness	send_email	EMAIL	email <contact_name> chad </contact_name> <message> Cortana UWP app - skill readiness </message>	{}	[]	1	PositiveFullMatch
filesearch_fileType_57	0		user	yvonnes work Worksheet	search_people_attribute	PEOPLE	<contact_name> yvonne </contact_name> s <attribute_type> work </attribute_type> <people_attribute> Worksheet </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_58	0		user	MS EVENT POLICY file shared by vivek	file_search	FILES	<file_keyword> MS EVENT POLICY </file_keyword> file <file_action> shared </file_action> by <contact_name> vivek </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_59	0		user	find what i said to joe about Scrum	search_message	TEAMSMESSAGE	find what <contact_name_from> i </contact_name_from> said to <contact_name_to> joe </contact_name_to> about <keyword> Scrum </keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_60	0		user	where am i Voice Skills BVT - basic test cases today	find_calendar_where	CALENDAR	where am i <title> Voice Skills BVT - basic test cases </title> <start_date> today </start_date>	{}	[]	1	PositiveFullMatch
filesearch_fileType_61	0		user	Processed_2016_08_22.ss_TOP_100 docx	file_search	FILES	<file_keyword> Processed_2016_08_22.ss_TOP_100 </file_keyword> <file_type> docx </file_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_62	0		user	when is my meeting with sumit	find_calendar_when	CALENDAR	when is my meeting with <contact_name> sumit </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_63	0		user	excel by ashuthosh upadhyaya called Data Oracle	file_search	FILES	<file_type> excel </file_type> by <contact_name> ashuthosh upadhyaya </contact_name> called <file_name> Data Oracle </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_64	0		user	word named Running Experiments - Advanced	file_search	FILES	<file_type> word </file_type> named <file_name> Running Experiments - Advanced </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_65	0		user	open New Hire word by yaram	file_open	FILES	open <file_keyword> New Hire </file_keyword> <file_type> word </file_type> by <contact_name> yaram </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_66	0		user	what do i have this evening	find_calendar_entry	CALENDAR	what do i have <start_time> this evening </start_time>	{}	[]	1	PositiveFullMatch
filesearch_fileType_67	0		user	remind me about Platform Requirement Summary_v3	create_single_reminder	REMINDER	remind me about <reminder_text> Platform Requirement Summary_v3 </reminder_text>	{}	[]	1	PositiveFullMatch
filesearch_fileType_68	0		user	festival	create_note	NOTE	<title> festival </title>	{}	[]	1	PositiveFullMatch
filesearch_fileType_69	0		user	send email to andrew that 202001_SubstrateIntelligenceWorkingSession_RoleOfAIInEffectiveMeetings	send_email	EMAIL	send <message_type> email </message_type> to <contact_name> andrew </contact_name> that <message> 202001_SubstrateIntelligenceWorkingSession_RoleOfAIInEffectiveMeetings </message>	{}	[]	1	PositiveFullMatch
filesearch_fileType_70	0		user	excel shuthosh upadhyaya	file_search	FILES	<file_type> excel </file_type> <contact_name> shuthosh upadhyaya </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_71	0		user	when is calendar iOS Core Skills + Extras	find_calendar_when	CALENDAR	when is calendar <title> iOS Core Skills + Extras </title>	{}	[]	1	PositiveFullMatch
filesearch_fileType_72	0		user	document Cortana Israel - Requests and Scheduling Intent- Shiproom	file_search	FILES	document <file_keyword> Cortana Israel - Requests and Scheduling Intent- Shiproom </file_keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_73	0		user	Messaging Query Patterns for LU xls by upadhyay	file_search	FILES	<file_keyword> Messaging Query Patterns for LU </file_keyword> <file_type> xls </file_type> by <contact_name> upadhyay </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_74	0		user	schedule for 2019-11 MSAI IL Research - Task Modeling Overview with Nitin	find_calendar_entry	CALENDAR	schedule for <title> 2019-11 MSAI IL Research - Task Modeling Overview with Nitin </title>	{}	[]	1	PositiveFullMatch
filesearch_fileType_75	0		user	document venkata shared about GAPON_SPO_Sites_VM02_Output.TermStoreReport.17Jan2020-230829	file_search	FILES	document <contact_name> venkata </contact_name> <file_action> shared </file_action> about <file_keyword> GAPON_SPO_Sites_VM02_Output.TermStoreReport.17Jan2020-230829 </file_keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_76	0		user	rename thursdays event to Towards a theory of software development expertise present	change_calendar_entry	CALENDAR	rename <start_date> thursdays </start_date> event to <title> Towards a theory of software development expertise present </title>	{}	[]	1	PositiveFullMatch
filesearch_fileType_77	0		user	send mail to chad that 苏州 中信银行网点	send_email	EMAIL	send <message_type> mail </message_type> to <contact_name> chad </contact_name> that <message> 苏州 中信银行网点 </message>	{}	[]	1	PositiveFullMatch
filesearch_fileType_78	0		user	anujas FY20 Q2 Action Item Extraction from Meetings OKRs Reflection	search_people_attribute	PEOPLE	<contact_name> anuja </contact_name> s <people_attribute> FY20 Q2 Action Item Extraction from Meetings OKRs Reflection </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_79	0		user	find me Growth - OneNote word by suman	file_search	FILES	find me <file_keyword> Growth - OneNote </file_keyword> <file_type> word </file_type> by <contact_name> suman </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_80	0		user	open up my Cortana_Briefing_WS3 presentation	file_open	FILES	open up <contact_name> my </contact_name> <file_keyword> Cortana_Briefing_WS3 </file_keyword> <file_type> presentation </file_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_81	0		user	can you find 01-30-2020 Knowledge Bot - Full excel by ashuthosh upadhyaya	file_search	FILES	can you find <file_keyword> 01-30-2020 Knowledge Bot - Full </file_keyword> <file_type> excel </file_type> by <contact_name> ashuthosh upadhyaya </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_82	0		user	open MSAI-MyA Q3 plan and dependencies xls	file_open	FILES	open <file_keyword> MSAI-MyA Q3 plan and dependencies </file_keyword> <file_type> xls </file_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_83	0		user	word modified by suman	file_search	FILES	<file_type> word </file_type> <file_action> modified </file_action> by <contact_name> suman </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_84	0		user	xlsx ashuthosh upadhyaya shared	file_search	FILES	<file_type> xlsx </file_type> <contact_name> ashuthosh upadhyaya </contact_name> <file_action> shared </file_action>	{}	[]	1	PositiveFullMatch
filesearch_fileType_85	0		user	where is hanjiangs Cortana in Teams - Pending work for GA	search_people_attribute	PEOPLE	where is <contact_name> hanjiang </contact_name> s <people_attribute> Cortana in Teams - Pending work for GA </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_86	0		user	whats my first meeting on monday	find_calendar_entry	CALENDAR	whats my <order_ref> first </order_ref> meeting on <start_date> monday </start_date>	{}	[]	1	PositiveFullMatch
filesearch_fileType_87	0		user	find FY20 Q3 Email Triage of lisa	search_people_attribute	PEOPLE	find <people_attribute> FY20 Q3 Email Triage </people_attribute> of <contact_name> lisa </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_88	0		user	Calendar Quarterly OKR &amp; Check Point FY20Q2 document by suman	file_search	FILES	<file_keyword> Calendar Quarterly OKR &amp; Check Point FY20Q2 </file_keyword> document by <contact_name> suman </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_89	0		user	add Running Feature Rollouts to my to do today to do list	add_to_note	NOTE	add <note_text> Running Feature Rollouts </note_text> to my <title> to do today to do </title> <data_type> list </data_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_90	0		user	docx shared by suman venkata	file_search	FILES	<file_type> docx </file_type> <file_action> shared </file_action> by <contact_name> suman venkata </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_91	0		user	remind me to iOS Core Skills + Extras every tuesday in evening	create_single_reminder	REMINDER	remind me to <reminder_text> iOS Core Skills + Extras </reminder_text> <start_date> every tuesday </start_date> in <start_time> evening </start_time>	{}	[]	1	PositiveFullMatch
filesearch_fileType_92	0		user	send an email to perry that 01-30-2020 Knowledge Bot - Full	send_email	EMAIL	send an <message_type> email </message_type> to <contact_name> perry </contact_name> that <message> 01-30-2020 Knowledge Bot - Full </message>	{}	[]	1	PositiveFullMatch
filesearch_fileType_93	0		user	add flour honey and DSAT List to my pancake list	add_to_note	NOTE	add <note_text> DSAT List </note_text> <note_text> DSAT List </note_text> and <note_text> DSAT List </note_text> to my <title> pancake </title> <data_type> list </data_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_94	0		user	find jose	search_people_by_name	PEOPLE	find <contact_name> jose </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_95	0		user	remind me to OMC Perf doc on friday	create_single_reminder	REMINDER	remind me to <reminder_text> OMC Perf doc </reminder_text> on <start_date> friday </start_date>	{}	[]	1	PositiveFullMatch
filesearch_fileType_96	0		user	add Private build to	add_to_note	NOTE	add <note_text> Private build </note_text> to	{}	[]	1	PositiveFullMatch
filesearch_fileType_97	0		user	image from richard	file_search	FILES	<file_type> image </file_type> from <contact_name> richard </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_98	0		user	what is sha lis Working From Home Guidance	search_people_attribute	PEOPLE	what is <contact_name> sha li </contact_name> s <people_attribute> Working From Home Guidance </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_99	0		user	Metrics + Signals + Data - FY20 Q3 OKRs document by venkata suman yaram	file_search	FILES	<file_keyword> Metrics + Signals + Data - FY20 Q3 OKRs </file_keyword> document by <contact_name> venkata suman yaram </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_100	0		user	document modified by venkata suman yaram	file_search	FILES	document <file_action> modified </file_action> by <contact_name> venkata suman yaram </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_101	0		user	jonathan harriss Coral Scenario Checkup info	search_people_attribute	PEOPLE	<contact_name> jonathan harris </contact_name> s <people_attribute> Coral Scenario Checkup </people_attribute> info	{}	[]	1	PositiveFullMatch
filesearch_fileType_102	0		user	my last VS output meeting with joe	find_calendar_entry	CALENDAR	my <order_ref> last </order_ref> <title> VS output </title> meeting with <contact_name> joe </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_103	0		user	who is kirti	search_people_by_name	PEOPLE	who is <contact_name> kirti </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_104	0		user	xls by ashuthosh upadhyaya called STCI MSAI Shiproom - Current	file_search	FILES	<file_type> xls </file_type> by <contact_name> ashuthosh upadhyaya </contact_name> called <file_name> STCI MSAI Shiproom - Current </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_105	0		user	files sent from siobhan to montego	file_search	FILES	files <file_action> sent </file_action> from <contact_name> siobhan </contact_name> to <to_contact_name> montego </to_contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_106	0		user	Cortana UWP app - skill readiness docx by suman venkata	file_search	FILES	<file_keyword> Cortana UWP app - skill readiness </file_keyword> <file_type> docx </file_type> by <contact_name> suman venkata </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_107	0		user	xls ashuthosh upadhyaya shared about MSX Academy - Account Planning Process_Sellers Facilitator deck_ACADEMY_TEMPLATE_APAC	file_search	FILES	<file_type> xls </file_type> <contact_name> ashuthosh upadhyaya </contact_name> <file_action> shared </file_action> about <file_keyword> MSX Academy - Account Planning Process_Sellers Facilitator deck_ACADEMY_TEMPLATE_APAC </file_keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_108	0		user	add 2015-Baofeng meeting for monday at 300 pm located at microsoft	create_calendar_entry	CALENDAR	add <title> 2015-Baofeng </title> meeting for <start_date> monday </start_date> at <start_time> 300 pm </start_time> located at <implicit_location> microsoft </implicit_location>	{}	[]	1	PositiveFullMatch
filesearch_fileType_109	0		user	find me LinkedIn_Spec document by yaram	file_search	FILES	find me <file_keyword> LinkedIn_Spec </file_keyword> document by <contact_name> yaram </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_110	0		user	can you find 01-30-2020 Knowledge Bot - Full excel by ashuthosh	file_search	FILES	can you find <file_keyword> 01-30-2020 Knowledge Bot - Full </file_keyword> <file_type> excel </file_type> by <contact_name> ashuthosh </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_111	0		user	in 15 minutes	create_single_reminder	REMINDER	<start_time> in 15 minutes </start_time>	{}	[]	1	PositiveFullMatch
filesearch_fileType_112	0		user	todays schedule	find_calendar_entry	CALENDAR	<start_date> today </start_date> s schedule	{}	[]	1	PositiveFullMatch
filesearch_fileType_113	0		user	messages about server_configured_tips&amp;help in lukas channel	search_message	TEAMSMESSAGE	messages about <keyword> server_configured_tips&amp;help </keyword> in <channel> lukas </channel> channel	{}	[]	1	PositiveFullMatch
filesearch_fileType_114	0		user	find shwetambari Spec for Outlook commute feedback	search_people_attribute	PEOPLE	find <contact_name> shwetambari </contact_name> <people_attribute> Spec for Outlook commute feedback </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_115	0		user	add ITAdminInterviewScript to my festival list	add_to_note	NOTE	add <note_text> ITAdminInterviewScript </note_text> to my <title> festival </title> <data_type> list </data_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_116	0		user	remind me to Name-Resolution-UX-Improvements next week or friday	create_single_reminder	REMINDER	remind me to <reminder_text> Name-Resolution-UX-Improvements </reminder_text> <start_date> next week </start_date> or <start_date> friday </start_date>	{}	[]	1	PositiveFullMatch
filesearch_fileType_117	0		user	what is allisons weeklySmaugMeeting	search_people_attribute	PEOPLE	what is <contact_name> allison </contact_name> s <people_attribute> weeklySmaugMeeting </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_118	0		user	D365OKRs from last weeks brownbag lunch meeting chat	search_message	TEAMSMESSAGE	<keyword> D365OKRs </keyword> from <start_date> last weeks </start_date> <chat_name> brownbag lunch meeting </chat_name> chat	{}	[]	1	PositiveFullMatch
filesearch_fileType_119	0		user	xlsx by ashuthosh upadhyaya called Cortana API Gateway	file_search	FILES	<file_type> xlsx </file_type> by <contact_name> ashuthosh upadhyaya </contact_name> called <file_name> Cortana API Gateway </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_120	0		user	what is chelsea bodes Metrics	search_people_attribute	PEOPLE	what is <contact_name> chelsea bode </contact_name> s <people_attribute> Metrics </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_121	0		user	meeting on nidhi	find_calendar_entry	CALENDAR	meeting on <contact_name> nidhi </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_122	0		user	please set a reminder tomorrow 1000 am to Quarterly Quality Review	create_single_reminder	REMINDER	please set a reminder <start_date> tomorrow </start_date> <start_time> 1000 am </start_time> to <reminder_text> Quarterly Quality Review </reminder_text>	{}	[]	1	PositiveFullMatch
filesearch_fileType_123	0		user	but reminder	create_single_reminder	REMINDER	but reminder	{}	[]	1	PositiveFullMatch
filesearch_fileType_124	0		user	word named Aspiring Agents Pre-Read	file_search	FILES	<file_type> word </file_type> named <file_name> Aspiring Agents Pre-Read </file_name>	{}	[]	1	PositiveFullMatch
