MessageText	JudgedDomain	JudgedConstraints	JudgedIntent
attachments files from june 5	EMAILSEARCH	<attachment> attachments </attachment>  files  from <start_date> june 5 </start_date>	search_email
files with docx attachment from april	EMAILSEARCH	 files  with <attachment_type> docx </attachment_type> <attachment> attachment </attachment> from <start_date> april </start_date>	search_email
files with attachment pptx	EMAILSEARCH	 files  with <attachment> attachment </attachment> <attachment_type> pptx </attachment_type>	search_email
whats last attachment that jim boyle sent me	EMAILSEARCH	whats <order_ref> last </order_ref> <attachment> attachment </attachment> that <contact_name_from> jim boyle </contact_name_from> sent <contact_name_to> me </contact_name_to>	search_email
attachments from patricia	EMAILSEARCH	<attachment> attachments </attachment> from <contact_name_from> patricia </contact_name_from>	search_email
files about concert tickets with attachment sent in december 2019	EMAILSEARCH	 files  about <keyword> concert tickets </keyword> with <attachment> attachment </attachment> sent in <start_date> december 2019 </start_date>	search_email
files with ppts attachments re bills from june 2016 to july 2017	EMAILSEARCH	 files  with <attachment_type> ppts </attachment_type> <attachment> attachments </attachment> re <keyword> bills </keyword> from <start_date> june 2016 </start_date> to <end_date> july 2017 </end_date>	search_email
file from belle from september with attachment	EMAILSEARCH	 file  from <contact_name_from> belle </contact_name_from> from <start_date> september </start_date> with <attachment> attachment </attachment>	search_email
files with youtube powerpoint attachments between april and may	EMAILSEARCH	 files  with <keyword> youtube </keyword> <attachment_type> powerpoint </attachment_type> <attachment> attachments </attachment> between <start_date> april </start_date> and <end_date> may </end_date>	search_email
deck hasattachmentstrue	EMAILSEARCH	<attachment_type> deck </attachment_type> hasattachmentstrue	search_email
file from greg with attachment about part	EMAILSEARCH	 file  from <contact_name_from> greg </contact_name_from> with <attachment> attachment </attachment> about <keyword> part </keyword>	search_email
attachment from mom party	EMAILSEARCH	<attachment> attachment </attachment> from <relationship_name_from> mom </relationship_name_from> <keyword> party </keyword>	search_email
show me attachments	EMAILSEARCH	show me <attachment> attachments </attachment>	search_email
file with attachment from may 6th to may 8th	EMAILSEARCH	 file  with <attachment> attachment </attachment> from <start_date> may 6th </start_date> to <end_date> may 8th </end_date>	search_email
worksheet attachment to jack	EMAILSEARCH	<attachment_type> worksheet </attachment_type> <attachment> attachment </attachment> to <contact_name_to> jack </contact_name_to>	search_email
from fbi contains attachments	EMAILSEARCH	from <contact_name_from> fbi </contact_name_from> contains <attachment> attachments </attachment>	search_email
im looking for files that barb sent me that included attachment	EMAILSEARCH	im looking for  files  that <contact_name_from> barb </contact_name_from> sent me that included <attachment> attachment </attachment>	search_email
file tom with attachment	EMAILSEARCH	 file  <contact_name> tom </contact_name> with <attachment> attachment </attachment>	search_email
attachments included with file	EMAILSEARCH	<attachment> attachments </attachment> included with  file 	search_email
find my files with attachment	EMAILSEARCH	find my  files  with <attachment> attachment </attachment>	search_email
play file from allison with slides attachment	EMAILSEARCH	play  file  from <contact_name_from> allison </contact_name_from> with <attachment_type> slides </attachment_type> <attachment> attachment </attachment>	search_email
msg attachment from january	EMAILSEARCH	<attachment_type> msg </attachment_type> <attachment> attachment </attachment> from <start_date> january </start_date>	search_email
files from joe onenotes attachment	EMAILSEARCH	 files  from <contact_name_from> joe </contact_name_from> <attachment_type> onenotes </attachment_type> <attachment> attachment </attachment>	search_email
file from bill and linda with attachment from may	EMAILSEARCH	 file  from <contact_name_from> bill </contact_name_from> and <contact_name_from> linda </contact_name_from> with <attachment> attachment </attachment> from <start_date> may </start_date>	search_email
message from morty contains attachment	EMAILSEARCH	message from <contact_name_from> morty </contact_name_from> contains <attachment> attachment </attachment>	search_email
joyces attachments	EMAILSEARCH	<contact_name> joyce </contact_name> s <attachment> attachments </attachment>	search_email
file with multiple attachmentes	EMAILSEARCH	 file  with <emailsearch_other> multiple </emailsearch_other> <attachment> attachmentes </attachment>	search_email
i need to see any files received last may that had attachments	EMAILSEARCH	i need to see any  files  received <start_date> last may </start_date> that had <attachment> attachments </attachment>	search_email
find all file attachments	EMAILSEARCH	find all  file  <attachment> attachments </attachment>	search_email
files having attachments from salva	EMAILSEARCH	 files  having <attachment> attachments </attachment> from <contact_name_from> salva </contact_name_from>	search_email
vacation leave request file from eric with attachment from june	EMAILSEARCH	<keyword> vacation leave request </keyword>  file  from <contact_name_from> eric </contact_name_from> with <attachment> attachment </attachment> from <start_date> june </start_date>	search_email
file from anna to bates about engagement with excels attachments from june 2015	EMAILSEARCH	 file  from <contact_name_from> anna </contact_name_from> to <contact_name_to> bates </contact_name_to> about <keyword> engagement </keyword> with <attachment_type> excels </attachment_type> <attachment> attachments </attachment> from <start_date> june 2015 </start_date>	search_email
files from jackie about presentation with attachment	EMAILSEARCH	 files  from <contact_name_from> jackie </contact_name_from> about <keyword> presentation </keyword> with <attachment> attachment </attachment>	search_email
attachment received in last month	EMAILSEARCH	<attachment> attachment </attachment> received in <start_date> last month </start_date>	search_email
files from christian and june with attachment	EMAILSEARCH	 files  from <contact_name_from> christian </contact_name_from> and <contact_name_from> june </contact_name_from> with <attachment> attachment </attachment>	search_email
attachment file	EMAILSEARCH	<attachment> attachment </attachment>  file 	search_email
ryan work spreadsheet attachment	EMAILSEARCH	<contact_name> ryan </contact_name> <keyword> work </keyword> <attachment_type> spreadsheet </attachment_type> <attachment> attachment </attachment>	search_email
view file from jerry with presentation attachment	EMAILSEARCH	view  file  from <contact_name_from> jerry </contact_name_from> with <attachment_type> presentation </attachment_type> <attachment> attachment </attachment>	search_email
files with single attachments	EMAILSEARCH	 files  with single <attachment> attachments </attachment>	search_email
document attachment from dad	EMAILSEARCH	<attachment_type> document </attachment_type> <attachment> attachment </attachment> from <relationship_name_from> dad </relationship_name_from>	search_email
anniversary files with attachments between june and july	EMAILSEARCH	<keyword> anniversary </keyword>  files  with <attachment> attachments </attachment> between <start_date> june </start_date> and <end_date> july </end_date>	search_email
attachments sent to me	EMAILSEARCH	<attachment> attachments </attachment> sent to <relationship_name_to> me </relationship_name_to>	search_email
look for attachments in response with finance topic	EMAILSEARCH	look for <attachment> attachments </attachment> in <keyword> response with finance </keyword> topic	search_email
file with attachment from ryan	EMAILSEARCH	 file  with <attachment> attachment </attachment> from <contact_name_from> ryan </contact_name_from>	search_email
find attachments in my files	EMAILSEARCH	find <attachment> attachments </attachment> in my  files 	search_email
find any files from may with attachments	EMAILSEARCH	find any  files  from <start_date> may </start_date> with <attachment> attachments </attachment>	search_email
files sent with an attachment	EMAILSEARCH	 files  sent with an <attachment> attachment </attachment>	search_email
search for files sent to todd that contain vcs attachments	EMAILSEARCH	search for  files  sent to <contact_name_to> todd </contact_name_to> that contain <attachment_type> vcs </attachment_type> <attachment> attachments </attachment>	search_email
search for file with an attachment i sent to paul	EMAILSEARCH	search for  file  with an <attachment> attachment </attachment> i sent to <contact_name_to> paul </contact_name_to>	search_email
please show me attachments in file	EMAILSEARCH	please show me <attachment> attachments </attachment> in  file 	search_email
file that has attachments from november	EMAILSEARCH	 file  that has <attachment> attachments </attachment> from <start_date> november </start_date>	search_email
find vivs file with xlsx attachment	EMAILSEARCH	find <contact_name> viv </contact_name> s  file  with <attachment_type> xlsx </attachment_type> <attachment> attachment </attachment>	search_email
look for messages with presentations attachments	EMAILSEARCH	look for messages with <attachment_type> presentations </attachment_type> <attachment> attachments </attachment>	search_email
find files barb sent that had an attachment	EMAILSEARCH	find  files  <contact_name_from> barb </contact_name_from> sent that had an <attachment> attachment </attachment>	search_email
files with attachments march 1	EMAILSEARCH	 files  with <attachment> attachments </attachment> <start_date> march 1 </start_date>	search_email
file that contains new attachment	EMAILSEARCH	 file  that contains <message_category> new </message_category> <attachment> attachment </attachment>	search_email
to hilary onenote attachment	EMAILSEARCH	to <contact_name_to> hilary </contact_name_to> <attachment_type> onenote </attachment_type> <attachment> attachment </attachment>	search_email
file attachments vons market	EMAILSEARCH	 file  <attachment> attachments </attachment> <keyword> vons market </keyword>	search_email
files with documents attachment	EMAILSEARCH	 files  with <attachment_type> documents </attachment_type> <attachment> attachment </attachment>	search_email
attachment sent vssx	EMAILSEARCH	<attachment> attachment </attachment> sent <attachment_type> vssx </attachment_type>	search_email
onenote attachments from last week	EMAILSEARCH	<attachment_type> onenote </attachment_type> <attachment> attachments </attachment> from <start_date> last week </start_date>	search_email
files that have attachments and are from molly	EMAILSEARCH	 files  that have <attachment> attachments </attachment> and are from <contact_name_from> molly </contact_name_from>	search_email
file from january to don with attachment doc	EMAILSEARCH	 file  from <start_date> january </start_date> to <contact_name_to> don </contact_name_to> with <attachment> attachment </attachment> <attachment_type> doc </attachment_type>	search_email
view file with onenote attachments	EMAILSEARCH	view  file  with <attachment_type> onenote </attachment_type> <attachment> attachments </attachment>	search_email
attachments from turk	EMAILSEARCH	<attachment> attachments </attachment> from <contact_name_from> turk </contact_name_from>	search_email
file from tim with attachments about knives	EMAILSEARCH	 file  from <contact_name_from> tim </contact_name_from> with <attachment> attachments </attachment> about <keyword> knives </keyword>	search_email
files from kalyan with attachment	EMAILSEARCH	 files  from <contact_name_from> kalyan </contact_name_from> with <attachment> attachment </attachment>	search_email
file with tsv attachments from february	EMAILSEARCH	 file  with <attachment_type> tsv </attachment_type> <attachment> attachments </attachment> from <start_date> february </start_date>	search_email
attachments in file	EMAILSEARCH	<attachment> attachments </attachment> in  file 	search_email
birthday files with attachment from andrea	EMAILSEARCH	<keyword> birthday </keyword>  files  with <attachment> attachment </attachment> from <contact_name_from> andrea </contact_name_from>	search_email
onenotes attachment in files	EMAILSEARCH	<attachment_type> onenotes </attachment_type> <attachment> attachment </attachment> in  files 	search_email
show files from ed with attachment	EMAILSEARCH	show  files  from <contact_name_from> ed </contact_name_from> with <attachment> attachment </attachment>	search_email
files with excels attachments re bills from june 2016 to july 2017	EMAILSEARCH	 files  with <attachment_type> excels </attachment_type> <attachment> attachments </attachment> re <keyword> bills </keyword> from <start_date> june 2016 </start_date> to <end_date> july 2017 </end_date>	search_email
look for file with xlsx attachments	EMAILSEARCH	look for  file  with <attachment_type> xlsx </attachment_type> <attachment> attachments </attachment>	search_email
play file from allison with vssx attachment	EMAILSEARCH	play  file  from <contact_name_from> allison </contact_name_from> with <attachment_type> vssx </attachment_type> <attachment> attachment </attachment>	search_email
file to jonny that have an attachment from january	EMAILSEARCH	 file  to <contact_name_to> jonny </contact_name_to> that have an <attachment> attachment </attachment> from <start_date> january </start_date>	search_email
view file from jerry with doc attachment	EMAILSEARCH	view  file  from <contact_name_from> jerry </contact_name_from> with <attachment_type> doc </attachment_type> <attachment> attachment </attachment>	search_email
from kevin price with attachment	EMAILSEARCH	from <contact_name_from> kevin price </contact_name_from> with <attachment> attachment </attachment>	search_email
file with attachment from mary re fishing	EMAILSEARCH	 file  with <attachment> attachment </attachment> from <contact_name_from> mary </contact_name_from> re <keyword> fishing </keyword>	search_email
give me file to paul with an attachment	EMAILSEARCH	give me  file  to <contact_name_to> paul </contact_name_to> with an <attachment> attachment </attachment>	search_email
file from gilligan to skipper with attachment about repairing minnow from july	EMAILSEARCH	 file  from <contact_name_from> gilligan </contact_name_from> to <contact_name_to> skipper </contact_name_to> with <attachment> attachment </attachment> about <keyword> repairing minnow </keyword> from <start_date> july </start_date>	search_email
show all incoming files with attachments	EMAILSEARCH	show <emailsearch_other> all </emailsearch_other> incoming  files  with <attachment> attachments </attachment>	search_email
files from steve with an attachment	EMAILSEARCH	 files  from <contact_name_from> steve </contact_name_from> with an <attachment> attachment </attachment>	search_email
show me files from sonia with msg attachments	EMAILSEARCH	show me  files  from <contact_name_from> sonia </contact_name_from> with <attachment_type> msg </attachment_type> attachments	search_email
files with attachment of spreadsheets	EMAILSEARCH	 files  with <attachment> attachment </attachment> of <attachment_type> spreadsheets </attachment_type>	search_email
pull up any files with attachments from greg	EMAILSEARCH	pull up any  files  with <attachment> attachments </attachment> from <contact_name_from> greg </contact_name_from>	search_email
files attachment by monica	EMAILSEARCH	 files  <attachment> attachment </attachment> by <contact_name_from> monica </contact_name_from>	search_email
to tim with attachment las vega	EMAILSEARCH	to <contact_name_to> tim </contact_name_to> with <attachment> attachment </attachment> <keyword> las vega </keyword>	search_email
from lia powerpoints attachment	EMAILSEARCH	from <contact_name_from> lia </contact_name_from> <attachment_type> powerpoints </attachment_type> <attachment> attachment </attachment>	search_email
kristy with attachment ics	EMAILSEARCH	<contact_name> kristy </contact_name> with <attachment> attachment </attachment> <attachment_type> ics </attachment_type>	search_email
files with ppt attachment from jack	EMAILSEARCH	 files  with <attachment_type> ppt </attachment_type> <attachment> attachment </attachment> from <contact_name_from> jack </contact_name_from>	search_email
show all files with attachments added	EMAILSEARCH	show all  files  with <attachment> attachments </attachment> added	search_email
files with attachment on singing	EMAILSEARCH	 files  with <attachment> attachment </attachment> on <keyword> singing </keyword>	search_email
files to elvira from october with attachment	EMAILSEARCH	 files  to <contact_name_to> elvira </contact_name_to> from <start_date> october </start_date> with <attachment> attachment </attachment>	search_email
file to valerie with attachments from august and september	EMAILSEARCH	 file  to <contact_name_to> valerie </contact_name_to> with <attachment> attachments </attachment> from <start_date> august </start_date> and <end_date> september </end_date>	search_email
files with attachment in date range june to july 2019	EMAILSEARCH	 files  with <attachment> attachment </attachment> in date range <start_date> june </start_date> to <end_date> july 2019 </end_date>	search_email
small attachments	EMAILSEARCH	small <attachment> attachments </attachment>	search_email
file from laurie with attachment	EMAILSEARCH	 file  from <contact_name_from> laurie </contact_name_from> with <attachment> attachment </attachment>	search_email
mb assignment file from gayatri with msg attachments	EMAILSEARCH	<keyword> mb assignment </keyword>  file  from <contact_name_from> gayatri </contact_name_from> with <attachment_type> msg </attachment_type> <attachment> attachments </attachment>	search_email
