MessageText	JudgedDomain	JudgedConstraints	JudgedIntent
file received with attachments from january 7th through january 26th	EMAILSEARCH	 file  received with <attachment> attachments </attachment> from <start_date> january 7th </start_date> through <end_date> january 26th </end_date>	search_email
from helen files with attachment about christmas party	EMAILSEARCH	from <contact_name_from> helen </contact_name_from>  files  with <attachment> attachment </attachment> about <keyword> christmas party </keyword>	search_email
documents received with attachments from jan 1 to jan 7 2020	EMAILSEARCH	 documents  received with <attachment> attachments </attachment> from <start_date> jan 1 </start_date> to <end_date> jan 7 2020 </end_date>	search_email
document attachment from ashley	EMAILSEARCH	 document  <attachment> attachment </attachment> from <contact_name_from> ashley </contact_name_from>	search_email
file with workbook attachment from last two months	EMAILSEARCH	 file  with <attachment_type> workbook </attachment_type> <attachment> attachment </attachment> from <start_date> last two months </start_date>	search_email
presentation attachments in files from january	EMAILSEARCH	<attachment_type> presentation </attachment_type> <attachment> attachments </attachment> in  files  from <start_date> january </start_date>	search_email
document received from dana with attachments	EMAILSEARCH	 document  received from <contact_name_from> dana </contact_name_from> with <attachment> attachments </attachment>	search_email
show me recent slides attachments	EMAILSEARCH	show me <order_ref> recent </order_ref> <attachment_type> slides </attachment_type> <attachment> attachments </attachment>	search_email
files attachment from mom	EMAILSEARCH	 files  <attachment> attachment </attachment> from <relationship_name_from> mom </relationship_name_from>	search_email
files with onenote attachment from jack	EMAILSEARCH	 files  with <attachment_type> onenote </attachment_type> <attachment> attachment </attachment> from <contact_name_from> jack </contact_name_from>	search_email
documents from colton with an attachment	EMAILSEARCH	 documents  from <contact_name_from> colton </contact_name_from> with an <attachment> attachment </attachment>	search_email
recent file with attachments	EMAILSEARCH	<order_ref> recent </order_ref>  file  with <attachment> attachments </attachment>	search_email
file from january 4 to february 4 with bill attachment	EMAILSEARCH	 file  from <start_date> january 4 </start_date> to <end_date> february 4 </end_date> with <keyword> bill </keyword> <attachment> attachment </attachment>	search_email
mpp attachments from lia	EMAILSEARCH	<attachment_type> mpp </attachment_type> <attachment> attachments </attachment> from <contact_name_from> lia </contact_name_from>	search_email
file with attachment about rb singers	EMAILSEARCH	 file  with <attachment> attachment </attachment> about <keyword> rampb singers </keyword>	search_email
documents from donny with accounting attachment	EMAILSEARCH	 documents  from <contact_name_from> donny </contact_name_from> with <keyword> accounting </keyword> <attachment> attachment </attachment>	search_email
file from roger to cindy between may 7th and june 3rd about birthday with attachment	EMAILSEARCH	 file  from <contact_name_from> roger </contact_name_from> to <contact_name_to> cindy </contact_name_to> between <start_date> may 7th </start_date> and <end_date> june 3rd </end_date> about <keyword> birthday </keyword> with <attachment> attachment </attachment>	search_email
poker files attachment	EMAILSEARCH	<keyword> poker </keyword>  files  <attachment> attachment </attachment>	search_email
documents with attachment on singing	EMAILSEARCH	 documents  with <attachment> attachment </attachment> on <keyword> singing </keyword>	search_email
office document with attachment	EMAILSEARCH	<keyword> office </keyword>  document  with <attachment> attachment </attachment>	search_email
files from john with attachment about dogs from june	EMAILSEARCH	 files  from <contact_name_from> john </contact_name_from> with <attachment> attachment </attachment> about <keyword> dogs </keyword> from <start_date> june </start_date>	search_email
which documents do i have that have attachments	EMAILSEARCH	which  documents  do i have that have <attachment> attachments </attachment>	search_email
documents from john to jane sent between march 1 and march 15 about birthday with attachment	EMAILSEARCH	 documents  from <contact_name_from> john </contact_name_from> to <contact_name_to> jane </contact_name_to> sent between <start_date> march 1 </start_date> and <end_date> march 15 </end_date> about <keyword> birthday </keyword> with <attachment> attachment </attachment>	search_email
documents from jake to martha with portfolio attachment	EMAILSEARCH	 documents  from <contact_name_from> jake </contact_name_from> to <contact_name_to> martha </contact_name_to> with <keyword> portfolio </keyword> <attachment> attachment </attachment>	search_email
files from january with attachments	EMAILSEARCH	 files  from <start_date> january </start_date> with <attachment> attachments </attachment>	search_email
attachments that are in my file messages	EMAILSEARCH	<attachment> attachments </attachment> that are in my  file  messages	search_email
file sent from ana mendes with attachments from three weeks ago	EMAILSEARCH	 file  sent from <contact_name_from> ana mendes </contact_name_from> with <attachment> attachments </attachment> from <start_date> three weeks ago </start_date>	search_email
documents from susanne to nancy with attachment	EMAILSEARCH	 documents  from <contact_name_from> susanne </contact_name_from> to <contact_name_to> nancy </contact_name_to> with <attachment> attachment </attachment>	search_email
which document do i have that have attachments	EMAILSEARCH	which  document  do i have that have <attachment> attachments </attachment>	search_email
document from jon hamaker with deck attachments	EMAILSEARCH	 document  from <contact_name_from> jon hamaker </contact_name_from> with <attachment_type> deck </attachment_type> <attachment> attachments </attachment>	search_email
files with attachment from rick about furniture delivery	EMAILSEARCH	 files  with <attachment> attachment </attachment> from <contact_name_from> rick </contact_name_from> about <keyword> furniture delivery </keyword>	search_email
from cindy attachment presentations	EMAILSEARCH	from <contact_name_from> cindy </contact_name_from> <attachment> attachment </attachment> <attachment_type> presentations </attachment_type>	search_email
birthday files with attachment from andrea	EMAILSEARCH	<keyword> birthday </keyword>  files  with <attachment> attachment </attachment> from <contact_name_from> andrea </contact_name_from>	search_email
show me documents from sonia with sheets attachments	EMAILSEARCH	show me  documents  from <contact_name_from> sonia </contact_name_from> with <attachment_type> sheets </attachment_type> attachments	search_email
pull up file sent to robert with attachments	EMAILSEARCH	pull up  file  sent to <contact_name_to> robert </contact_name_to> with <attachment> attachments </attachment>	search_email
documents with attachment from lazlo	EMAILSEARCH	 documents  with <attachment> attachment </attachment> from <contact_name_from> lazlo </contact_name_from>	search_email
documents with attachment was incomplete	EMAILSEARCH	 documents  with <attachment> attachment </attachment> was incomplete	search_email
show me file from chad with attachments	EMAILSEARCH	show me  file  from <contact_name_from> chad </contact_name_from> with <attachment> attachments </attachment>	search_email
get all file i have with attachments	EMAILSEARCH	get all  file  i have with <attachment> attachments </attachment>	search_email
attachments opened with received file	EMAILSEARCH	<attachment> attachments </attachment> opened with received  file 	search_email
show document with vst attachment	EMAILSEARCH	show  document  with <attachment_type> vst </attachment_type> <attachment> attachment </attachment>	search_email
files with tsv attachment in september	EMAILSEARCH	 files  with <attachment_type> tsv </attachment_type> <attachment> attachment </attachment> in <start_date> september </start_date>	search_email
show me files from saku with attachments	EMAILSEARCH	show me  files  from <contact_name_from> saku </contact_name_from> with <attachment> attachments </attachment>	search_email
document with attachments from august 1st to september 1st	EMAILSEARCH	 document  with <attachment> attachments </attachment> from <start_date> august 1st </start_date> to <end_date> september 1st </end_date>	search_email
mias files with vcs attachments	EMAILSEARCH	<contact_name> mia </contact_name> s  files  with <attachment_type> vcs </attachment_type> <attachment> attachments </attachment>	search_email
february 16th document with attachment	EMAILSEARCH	<start_date> february 16th </start_date>  document  with <attachment> attachment </attachment>	search_email
find sheets budget review attachment sent to liam jones	EMAILSEARCH	find <attachment_type> sheets </attachment_type> <keyword> budget review </keyword> <attachment> attachment </attachment> sent to <contact_name_to> liam jones </contact_name_to>	search_email
september file attachments	EMAILSEARCH	<start_date> september </start_date>  file  <attachment> attachments </attachment>	search_email
document from january through march that have attachments	EMAILSEARCH	 document  from <start_date> january </start_date> through <end_date> march </end_date> that have <attachment> attachments </attachment>	search_email
document sent in august that contained attachment	EMAILSEARCH	 document  sent in <start_date> august </start_date> that contained <attachment> attachment </attachment>	search_email
show me documents from ashok with attachments	EMAILSEARCH	show me  documents  from <contact_name_from> ashok </contact_name_from> with <attachment> attachments </attachment>	search_email
attachment pizza from ina	EMAILSEARCH	<attachment> attachment </attachment> <keyword> pizza </keyword> from <contact_name_from> ina </contact_name_from>	search_email
attachments was sent my director though files	EMAILSEARCH	<attachment> attachments </attachment> was sent <relationship_name> my director </relationship_name> though  files 	search_email
document from penny with attachments	EMAILSEARCH	 document  from <contact_name_from> penny </contact_name_from> with <attachment> attachments </attachment>	search_email
unread file from ashok with attachments	EMAILSEARCH	<message_category> unread </message_category>  file  from <contact_name_from> ashok </contact_name_from> with <attachment> attachments </attachment>	search_email
what files do i have that contain attachments	EMAILSEARCH	what  files  do i have that contain <attachment> attachments </attachment>	search_email
to jim attachment pdf	EMAILSEARCH	to <contact_name_to> jim </contact_name_to> <attachment> attachment </attachment> <attachment_type> pdf </attachment_type>	search_email
file from ellen with attachments about birthday party	EMAILSEARCH	 file  from <contact_name_from> ellen </contact_name_from> with <attachment> attachments </attachment> about <keyword> birthday party </keyword>	search_email
document from may with music work attachment	EMAILSEARCH	 document  from <start_date> may </start_date> with <keyword> music work </keyword> <attachment> attachment </attachment>	search_email
documents from jose gomezangulo with attachments	EMAILSEARCH	 documents  from <contact_name_from> jose gomezangulo </contact_name_from> with <attachment> attachments </attachment>	search_email
documents from lizzie to sally re resignation with msg attachment	EMAILSEARCH	 documents  from <contact_name_from> lizzie </contact_name_from> to <contact_name_to> sally </contact_name_to> re <keyword> resignation </keyword> with <attachment_type> msg </attachment_type> <attachment> attachment </attachment>	search_email
from nandu with attachment	EMAILSEARCH	from <contact_name_from> nandu </contact_name_from> with <attachment> attachment </attachment>	search_email
documents about office work attachment	EMAILSEARCH	 documents  about <keyword> office work </keyword> <attachment> attachment </attachment>	search_email
pdf attachments from lia	EMAILSEARCH	<attachment_type> pdf </attachment_type> <attachment> attachments </attachment> from <contact_name_from> lia </contact_name_from>	search_email
from john slide attachments	EMAILSEARCH	from <contact_name_from> john </contact_name_from> <attachment_type> slide </attachment_type> <attachment> attachments </attachment>	search_email
files from yesterday with attachments	EMAILSEARCH	 files  from <start_date> yesterday </start_date> with <attachment> attachments </attachment>	search_email
view files with onenote attachments sent to amanda	EMAILSEARCH	view  files  with <attachment_type> onenote </attachment_type> <attachment> attachments </attachment> sent to <contact_name_to> amanda </contact_name_to>	search_email
look for document with attachments sent last week	EMAILSEARCH	look for  document  with <attachment> attachments </attachment> sent <start_date> last week </start_date>	search_email
documents from last month that have an attachment	EMAILSEARCH	 documents  from <start_date> last month </start_date> that have an <attachment> attachment </attachment>	search_email
files with attachments about christmas	EMAILSEARCH	 files  with <attachment> attachments </attachment> about <keyword> christmas </keyword>	search_email
document with attachment from ryan	EMAILSEARCH	 document  with <attachment> attachment </attachment> from <contact_name_from> ryan </contact_name_from>	search_email
documents from mark with attachment from last month	EMAILSEARCH	 documents  from <contact_name_from> mark </contact_name_from> with <attachment> attachment </attachment> from <start_date> last month </start_date>	search_email
show me document from malik with attachments	EMAILSEARCH	show me  document  from <contact_name_from> malik </contact_name_from> with <attachment> attachments </attachment>	search_email
documents with attachment between september and november about business	EMAILSEARCH	 documents  with <attachment> attachment </attachment> between <start_date> september </start_date> and <end_date> november </end_date> about <keyword> business </keyword>	search_email
attachments in document work xls	EMAILSEARCH	<attachment> attachments </attachment> in  document  <keyword> work </keyword> <attachment_type> xls </attachment_type>	search_email
i need to see my document with attachments	EMAILSEARCH	i need to see my  document  with <attachment> attachments </attachment>	search_email
csv attachments from joshua	EMAILSEARCH	<attachment_type> csv </attachment_type> <attachment> attachments </attachment> from <contact_name_from> joshua </contact_name_from>	search_email
find all files from reggie with an attachment	EMAILSEARCH	find all  files  from <contact_name_from> reggie </contact_name_from> with an <attachment> attachment </attachment>	search_email
documents from lou to claudia about orchestra concert with attachment	EMAILSEARCH	 documents  from <contact_name_from> lou </contact_name_from> to <contact_name_to> claudia </contact_name_to> about <keyword> orchestra concert </keyword> with <attachment> attachment </attachment>	search_email
pull up documents with attachment	EMAILSEARCH	pull up  documents  with <attachment> attachment </attachment>	search_email
document that has vcs attachments	EMAILSEARCH	 document  that has <attachment_type> vcs </attachment_type> <attachment> attachments </attachment>	search_email
graduation files with attachment	EMAILSEARCH	<keyword> graduation </keyword>  files  with <attachment> attachment </attachment>	search_email
document from september 1st with amazon shopping link attachments	EMAILSEARCH	 document  from <start_date> september 1st </start_date> with <keyword> amazon shopping link </keyword> <attachment> attachments </attachment>	search_email
office party files with attachment	EMAILSEARCH	<keyword> office party </keyword>  files  with <attachment> attachment </attachment>	search_email
find files with an attachment	EMAILSEARCH	find  files  with an <attachment> attachment </attachment>	search_email
mb assignment file from gayatri with docs attachments	EMAILSEARCH	<keyword> mb assignment </keyword>  file  from <contact_name_from> gayatri </contact_name_from> with <attachment_type> docs </attachment_type> <attachment> attachments </attachment>	search_email
files about movie with attachment	EMAILSEARCH	 files  about <keyword> movie </keyword> with <attachment> attachment </attachment>	search_email
sending some attachment to jane doe	EMAILSEARCH	sending some <attachment> attachment </attachment> to <contact_name_to> jane doe </contact_name_to>	search_email
attachment file march	EMAILSEARCH	<attachment> attachment </attachment>  file  <start_date> march </start_date>	search_email
documents i got from jill with attachment	EMAILSEARCH	 documents  i got from <contact_name_from> jill </contact_name_from> with <attachment> attachment </attachment>	search_email
files with invoice attachment	EMAILSEARCH	 files  with <keyword> invoice </keyword> <attachment> attachment </attachment>	search_email
file with ppts attachments re bills from june 2016 to july 2017	EMAILSEARCH	 file  with <attachment_type> ppts </attachment_type> <attachment> attachments </attachment> re <keyword> bills </keyword> from <start_date> june 2016 </start_date> to <end_date> july 2017 </end_date>	search_email
files in july with fireworks attachment	EMAILSEARCH	 files  in <start_date> july </start_date> with <keyword> fireworks </keyword> <attachment> attachment </attachment>	search_email
files onenotes with attachment	EMAILSEARCH	 files  <attachment_type> onenotes </attachment_type> with <attachment> attachment </attachment>	search_email
view documents with xls attachments	EMAILSEARCH	view  documents  with <attachment_type> xls </attachment_type> <attachment> attachments </attachment>	search_email
look up files from walter to vera with quarterly report attachment	EMAILSEARCH	look up  files  from <contact_name_from> walter </contact_name_from> to <contact_name_to> vera </contact_name_to> with <keyword> quarterly report </keyword> <attachment> attachment </attachment>	search_email
find documents in inbox with attachment	EMAILSEARCH	find  documents  in <destination_folder> inbox </destination_folder> with <attachment> attachment </attachment>	search_email
look for an documents from barb that included an attachment	EMAILSEARCH	look for an  documents  from <contact_name_from> barb </contact_name_from> that included an <attachment> attachment </attachment>	search_email
attachment from mary anne png	EMAILSEARCH	<attachment> attachment </attachment> from <contact_name_from> mary anne </contact_name_from> <attachment_type> png </attachment_type>	search_email
files from robert to cora with attachment	EMAILSEARCH	 files  from <contact_name_from> robert </contact_name_from> to <contact_name_to> cora </contact_name_to> with <attachment> attachment </attachment>	search_email
i want to see my file with attachments sent to leonard	EMAILSEARCH	i want to see my  file  with <attachment> attachments </attachment> sent to <contact_name_to> leonard </contact_name_to>	search_email
attachments in my inbox	EMAILSEARCH	<attachment> attachments </attachment> in my <destination_folder> inbox </destination_folder>	search_email
file with attachment from jane	EMAILSEARCH	 file  with <attachment> attachment </attachment> from <contact_name_from> jane </contact_name_from>	search_email
attachment documents emily	EMAILSEARCH	<attachment> attachment </attachment>  documents  <contact_name> emily </contact_name>	search_email
files with attachment about doctor appointments between june 10 and june 20 2018	EMAILSEARCH	 files  with <attachment> attachment </attachment> about <keyword> doctor appointments </keyword> between <start_date> june 10 </start_date> and <end_date> june 20 2018 </end_date>	search_email
project attachment	EMAILSEARCH	<keyword> project </keyword> <attachment> attachment </attachment>	search_email
file with surgeon update excels attachment	EMAILSEARCH	 file  with <keyword> surgeon update </keyword> <attachment_type> excels </attachment_type> <attachment> attachment </attachment>	search_email
documents with attachments about christmas	EMAILSEARCH	 documents  with <attachment> attachments </attachment> about <keyword> christmas </keyword>	search_email
open up file from bob with attachment	EMAILSEARCH	open up  file  from <contact_name_from> bob </contact_name_from> with <attachment> attachment </attachment>	search_email
documents with robertson attachment	EMAILSEARCH	 documents  with <contact_name> robertson </contact_name> <attachment> attachment </attachment>	search_email
documents with mpp attachment from jack	EMAILSEARCH	 documents  with <attachment_type> mpp </attachment_type> <attachment> attachment </attachment> from <contact_name_from> jack </contact_name_from>	search_email
documents from lizzie to sally re resignation with word attachment	EMAILSEARCH	 documents  from <contact_name_from> lizzie </contact_name_from> to <contact_name_to> sally </contact_name_to> re <keyword> resignation </keyword> with <attachment_type> word </attachment_type> <attachment> attachment </attachment>	search_email
show me attachment sheet with tim	EMAILSEARCH	show me <attachment> attachment </attachment> <attachment_type> sheet </attachment_type> with <contact_name> tim </contact_name>	search_email
tsv attachment to jason	EMAILSEARCH	<attachment_type> tsv </attachment_type> <attachment> attachment </attachment> to <contact_name_to> jason </contact_name_to>	search_email
attachments i sent to virgil	EMAILSEARCH	<attachment> attachments </attachment> i sent to <contact_name_to> virgil </contact_name_to>	search_email
files from anthony with attachment from september	EMAILSEARCH	 files  from <contact_name_from> anthony </contact_name_from> with <attachment> attachment </attachment> from <start_date> september </start_date>	search_email
show documents containing attachments	EMAILSEARCH	show  documents  containing <attachment> attachments </attachment>	search_email
documents with attachment from crisco	EMAILSEARCH	 documents  with <attachment> attachment </attachment> from <contact_name_from> crisco </contact_name_from>	search_email
find document to meghan with an attachment	EMAILSEARCH	find  document  to <contact_name_to> meghan </contact_name_to> with an <attachment> attachment </attachment>	search_email
file but only if they have an attachment	EMAILSEARCH	 file  but only if they have an <attachment> attachment </attachment>	search_email
file from aclu with attachment monthly gift	EMAILSEARCH	 file  from <contact_name_from> aclu </contact_name_from> with <attachment> attachment </attachment> <keyword> monthly gift </keyword>	search_email
attachment files march	EMAILSEARCH	<attachment> attachment </attachment>  files  <start_date> march </start_date>	search_email
document with attachment for may fund raiser	EMAILSEARCH	 document  with <attachment> attachment </attachment> for <keyword> may fund raiser </keyword>	search_email
mortgage service documents from mary with attachments	EMAILSEARCH	<keyword> mortgage service </keyword>  documents  from <contact_name_from> mary </contact_name_from> with <attachment> attachments </attachment>	search_email
arts and crafts file from july 2019 with attachment	EMAILSEARCH	<keyword> arts and crafts </keyword>  file  from <start_date> july 2019 </start_date> with <attachment> attachment </attachment>	search_email
sent to joe with docx attachments	EMAILSEARCH	sent to <contact_name_to> joe </contact_name_to> with <attachment_type> docx </attachment_type> <attachment> attachments </attachment>	search_email
i need to view document about accidents with attachment	EMAILSEARCH	i need to view  document  about <keyword> accidents </keyword> with <attachment> attachment </attachment>	search_email
from malik with xls attachment	EMAILSEARCH	from <contact_name_from> malik </contact_name_from> with <attachment_type> xls </attachment_type> <attachment> attachment </attachment>	search_email
interesting show me file from malik with attachments	EMAILSEARCH	interesting show me  file  from <contact_name_from> malik </contact_name_from> with <attachment> attachments </attachment>	search_email
files with attachment from last month	EMAILSEARCH	 files  with <attachment> attachment </attachment> from <start_date> last month </start_date>	search_email
files sent without attachment	EMAILSEARCH	 files  sent <without_attachment> without attachment </without_attachment>	search_email
document with attachment from crisco	EMAILSEARCH	 document  with <attachment> attachment </attachment> from <contact_name_from> crisco </contact_name_from>	search_email
list out all document that have attachments on them	EMAILSEARCH	list out all  document  that have <attachment> attachments </attachment> on them	search_email
documents with attachment sent second week of march	EMAILSEARCH	 documents  with <attachment> attachment </attachment> sent <start_date> second week of march </start_date>	search_email
document with any attachment	EMAILSEARCH	 document  with any <attachment> attachment </attachment>	search_email
mr stevens file to sally from august with attachment	EMAILSEARCH	<contact_name_from> mr stevens </contact_name_from>  file  to <contact_name_to> sally </contact_name_to> from <start_date> august </start_date> with <attachment> attachment </attachment>	search_email
payment attachment files with balance	EMAILSEARCH	<keyword> payment </keyword> <attachment> attachment </attachment>  files  with <keyword> balance </keyword>	search_email
to dad with worksheet attachment	EMAILSEARCH	to <relationship_name_to> dad </relationship_name_to> with <attachment_type> worksheet </attachment_type> <attachment> attachment </attachment>	search_email
document with attachment from cindy from last week	EMAILSEARCH	 document  with <attachment> attachment </attachment> from <contact_name_from> cindy </contact_name_from> from <start_date> last week </start_date>	search_email
documents with office attachment	EMAILSEARCH	 documents  with <keyword> office </keyword> <attachment> attachment </attachment>	search_email
document from sally that has an attachment	EMAILSEARCH	 document  from <contact_name_from> sally </contact_name_from> that has an <attachment> attachment </attachment>	search_email
georgettes files from january with attachment	EMAILSEARCH	<contact_name> georgette </contact_name> s  files  from <contact_name_from> january </contact_name_from> with <attachment> attachment </attachment>	search_email
run search on messages with attachments	EMAILSEARCH	run search on messages with <attachment> attachments </attachment>	search_email
attachment with ppts	EMAILSEARCH	<attachment> attachment </attachment> with <attachment_type> ppts </attachment_type>	search_email
file with mpp attachment	EMAILSEARCH	 file  with <attachment_type> mpp </attachment_type> <attachment> attachment </attachment>	search_email
files from michele have attachments	EMAILSEARCH	 files  from <contact_name_from> michele </contact_name_from> have <attachment> attachments </attachment>	search_email
funny jokes file from george which contains attachment	EMAILSEARCH	<keyword> funny jokes </keyword>  file  from <contact_name_from> george </contact_name_from> which contains <attachment> attachment </attachment>	search_email
let me see lauras files that has excels attachment	EMAILSEARCH	let me see <contact_name> laura </contact_name> s  files  that has <attachment_type> excels </attachment_type> <attachment> attachment </attachment>	search_email
file from december through today with attachments in them	EMAILSEARCH	 file  from <start_date> december </start_date> through <end_date> today </end_date> with <attachment> attachments </attachment> in them	search_email
document about dogs with attachment from june	EMAILSEARCH	 document  about <keyword> dogs </keyword> with <attachment> attachment </attachment> from <start_date> june </start_date>	search_email
attachments from rose	EMAILSEARCH	<attachment> attachments </attachment> from <contact_name_from> rose </contact_name_from>	search_email
from lauren with attachment	EMAILSEARCH	from <contact_name_from> lauren </contact_name_from> with <attachment> attachment </attachment>	search_email
document may 1 through may 5 with attachments	EMAILSEARCH	 document  <start_date> may 1 </start_date> through <end_date> may 5 </end_date> with <attachment> attachments </attachment>	search_email
files from february 28th to march 1st with attachments	EMAILSEARCH	 files  from <start_date> february 28th </start_date> to <end_date> march 1st </end_date> with <attachment> attachments </attachment>	search_email
excels attachment to jack	EMAILSEARCH	<attachment_type> excels </attachment_type> <attachment> attachment </attachment> to <contact_name_to> jack </contact_name_to>	search_email
files with attachment to jessica	EMAILSEARCH	 files  with <attachment> attachment </attachment> to <contact_name_to> jessica </contact_name_to>	search_email
documents sent from abraham jacob on 21st in january with attachments	EMAILSEARCH	 documents  sent from <contact_name_from> abraham jacob </contact_name_from> on <start_date> 21st in january </start_date> with <attachment> attachments </attachment>	search_email
