ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency	GuidelineVersion	NotCallingLU	AppFlavor	SelectionIgnore
00ca8a58-3bf7-4bbf-b7f7-b6f0dace1e25	0	5/29/2020 9:09:45 PM	user	Hey Cortana what's the weather this week.	The weather's a mix for the next 7 days. Today, expect partly sunny skies with a high of 79. There'll be rain showers and a high of 63 tomorrow. On Sunday, expect light rain with a high of 64. There'll be partly sunny skies and a high of 69 next Monday. Next Tuesday, expect partly sunny skies with a high of 74. There'll be light rain and a high of 68 next Wednesday. Next Thursday, expect mostly cloudy skies with a high of 67.	NOTSURE	other_domain	Hey Cortana what's the weather this week.	[]		CoW	Speech	1	1.13		uwp	
00d5fd56-f39c-4a75-8702-8c9aead1abdf	0	5/15/2020 9:34:07 AM	user	Set a timer for 25 minutes.	I'll start your timer for 25 minutes.	ALARM	set_timer	set a timer for <duration>25 minutes</duration>	[]		CoW	Speech	1	1.13		uwp	
00dc2b1b-f743-40e3-bbde-e9bb48f37bab	0	5/14/2020 5:22:00 PM	user	Hey Cortana when does NFL schedule come out for 2018.	According to nbcsports.com, The 2018 NFL schedule will be released at 8:00 p.m. ET on Thursday, April 19. The 2018 NFL Season begins on Thursday, Sept. 6 with the Thursday Night Football season-opener.	NOTSURE	other_domain	Hey Cortana when does NFL schedule come out for 2018.	[]		CoW	Speech	7	1.13		uwp	
00debbdb-ffc5-4e4a-956f-2493303beaa9	0	5/22/2020 6:03:26 PM	user	Remind me to stand in two minutes.	Great. I'll remind you  Today • 11:05 AM . {EarconSuccess}	REMINDER	create_single_reminder	Remind me to <reminder_text>stand</reminder_text> <start_time>in two minutes</start_time>.	[]		CoW	Speech	2	1.13		uwp	
00e7e27b-53aa-46b5-90c0-3142762d7d4e	0	5/20/2020 11:17:53 PM	user	Hey Cortana remind me.	OK, what do you wanna be reminded about?	REMINDER	create_single_reminder	Hey Cortana remind me.	[]		CoW	Speech	1	1.13		uwp	
00f7f0eb-b122-4b7a-a99c-06e2ee9ea7bc	0	5/13/2020 9:39:17 PM	user	More.	Sorry, I can't help with that.	WEB	web_other	more	[]		CoW	Speech	1	1.13		uwp	
00fbd3bf-bb0f-48dc-acb8-09b0d1184419	0	5/21/2020 5:42:56 PM	user	What's the weather tomorrow?	The forecast for tomorrow shows rain showers with a high of 72 and a low of 59.	NOTSURE	other_domain	What's the weather tomorrow?	[]		CoW	Speech	4	1.13		uwp	
0100d495-a725-4daf-8074-61a7570631f7	0	5/22/2020 7:48:57 PM	user	Apple stock PE ratio.	Apple's price to earnings ratio is 24.84.	NOTSURE	other_domain	Apple stock PE ratio.	[]		CoW	Speech	2	1.13		uwp	
0102af8b-af72-4604-8ba3-3aed717ed6bc	0	5/11/2020 11:23:11 AM	user	Set a reminder for Friday.	what do you wanna be reminded about?	REMINDER	create_single_reminder	Set a reminder for <start_date>Friday</start_date>.	[]		CoW	Speech	1	1.13		uwp	
0102af8b-af72-4604-8ba3-3aed717ed6bc	1	5/11/2020 11:23:16 AM	user	Instead.	what time do you want the reminder?	NOTSURE	other_domain	Instead.	[]	{"PreviousTurnDomain": ["reminder"], "PreviousTurnIntent": ["create_single_reminder"], "TaskFrameGUID": ["CreateReminderActionId"], "TaskFrameStatus": ["InProgress"]}	CoW	Speech	1	1.13		uwp	
0102af8b-af72-4604-8ba3-3aed717ed6bc	2	5/11/2020 11:23:21 AM	user	I select.	what time do you want the reminder?	NOTSURE	other_domain	I select.	[]	{"PreviousTurnDomain": ["fallback"], "PreviousTurnIntent": ["fallback_other"], "TaskFrameGUID": ["CreateReminderActionId"], "TaskFrameStatus": ["InProgress"]}	CoW	Speech	1	1.13		uwp	
0102af8b-af72-4604-8ba3-3aed717ed6bc	3	5/11/2020 11:23:27 AM	user	No.	what time do you want the reminder?	REMINDER	reject	No.	[]	{"PreviousTurnDomain": ["fallback"], "PreviousTurnIntent": ["fallback_other"], "TaskFrameGUID": ["CreateReminderActionId"], "TaskFrameStatus": ["InProgress"]}	CoW	Speech	1	1.13		uwp	
0103ba20-d79f-4e6e-bf35-505ee44dc5da	0	5/4/2020 7:33:56 PM	user	Hey Cortana I can't wait to help out but first I'll need you to link your account in the Alexa app.	Sorry I don't know the answer to this one, but I'm learning.	NOTSURE	other_domain	Hey Cortana I can't wait to help out but first I'll need you to link your account in the Alexa app.	[]		CoW	Speech	1	1.13		uwp	
010df6b5-9026-4bf2-a79d-7801eada2c22	0	5/13/2020 7:48:05 PM	user	Hey Cortana where is my dog.	I found this for you.	NOTSURE	other_domain	Hey Cortana where is my dog.	[]		CoW	Speech	12	1.13		uwp	
010f433f-e172-4928-8611-a26ef16a10da	0	5/9/2020 9:54:24 PM	user	Rename Thursdays event to meeting.		CALENDAR	change_calendar_entry	Rename <start_date>Thursdays</start_date> event to <title>meeting</title>.	[]		CoW	Speech	1	1.13		uwp	
010f433f-e172-4928-8611-a26ef16a10da	1	5/9/2020 9:54:25 PM	user_other		You don't have anything scheduled for today.				[]		CoW	Speech	1	1.13		uwp	
011bd3a4-091a-4c66-94e6-523fa27a8f8f	0	5/22/2020 10:00:21 PM	user	What do I have going on in two days?	You don't have anything scheduled for Sunday.	CALENDAR	find_calendar_entry	What do I have going on <start_date>in two days</start_date>?	[]		CoW	Speech	1	1.13		uwp	
012d581f-b11d-4c0f-8268-cb592d9fe711	0	5/28/2020 6:58:01 AM	user	Can you spell expiration?	I’ve got this for you on can you spell expiration.	NOTSURE	other_domain	Can you spell expiration?	[]		CoW	Speech	1	1.13		uwp	
01401fc3-f4af-4b68-bf51-3bfadf873946	0	5/14/2020 12:52:04 PM	user	Hey Cortana turn on dictation.	Sorry, I couldn't find Dictation settings for you.	ONDEVICE	open_setting	Hey Cortana turn on <setting_type>dictation</setting_type>.	[]		CoW	Speech	1	1.13		uwp	
0142becf-8b03-47f0-b407-476dbfd652d3	0	5/28/2020 1:29:40 AM	user	Do you know why?	I found this for you.	NOTSURE	other_domain	Do you know why?	[]		CoW	Speech	1	1.13		uwp	
0149ea78-25eb-4d5f-ada7-4220e1e0bb41	0	5/27/2020 10:26:42 PM	user	What are the top headlines?	Sorry, I'm not able to help with this one yet.	WEB	web_other	what are the top headlines	[]		CoW	Speech	3	1.13		uwp	
0153c3d1-724d-44e8-b55d-4c732599b3fe	0	5/21/2020 1:47:13 PM	user	Microsoft what's the weather.	Right now, it's mostly sunny and 68. The forecast shows partly sunny skies with a high of 70 and a low of 55.	NOTSURE	other_domain	Microsoft what's the weather.	[]		CoW	Speech	1	1.13		uwp	
0154b277-caa0-441d-b93c-44d550197c53	0	5/14/2020 5:12:06 PM	user	Hey Cortana what is the third book in The Hunger Games.	I’ve got this for you on what is the third book in the hunger games.	NOTSURE	other_domain	Hey Cortana what is the third book in The Hunger Games.	[]		CoW	Speech	2	1.13		uwp	
01663b95-7c8c-4ac8-aacf-8e05edd08832	0	5/20/2020 9:40:25 PM	user	When will it rain tomorrow?	There's no rain expected. The forecast tomorrow shows a high of 64 and a low of 51.	NOTSURE	other_domain	When will it rain tomorrow?	[]		CoW	Speech	6	1.13		uwp	
01725608-5c2a-4002-ac7a-16fd1ca64102	0	5/19/2020 4:22:15 PM	user	Can you show me directions from the CN Tower to the Royal Ontario museum?	You can drive from  CN Tower  to  Royal Ontario Museum  via  HWY-11A  and  HWY-11A N  in 14 minutes. It's 2.7 miles away.	NOTSURE	other_domain	Can you show me directions from the CN Tower to the Royal Ontario museum?	[]		CoW	Speech	1	1.13		uwp	
01847ac4-eac8-405c-8c4a-f5112a8577c9	0	5/26/2020 6:32:27 PM	user	Hey Cortana what are my reminders for tomorrow.		REMINDER	find_reminder	Hey Cortana what are my reminders for <start_date>tomorrow</start_date>.	[]		CoW	Speech	2	1.13		uwp	
01847ac4-eac8-405c-8c4a-f5112a8577c9	1	5/26/2020 6:32:30 PM	user_other		I'm finding 36 reminders for tomorrow.				[]		CoW	Speech	2	1.13		uwp	
018e9c74-1ca6-4e94-83b3-4a308d0d6f83	0	5/14/2020 8:44:33 AM	user	Cortana tell me a joke.	What did one plate say to the other plate? Dinner's on me.	WEB	web_other	cortana tell me a joke	[]		CoW	Speech	35	1.13		uwp	
018f1951-fe76-413d-8d74-8f230e4110fb	0	5/13/2020 11:22:06 PM	user	Hey Cortana find.	I didn't quite follow that.	NOTSURE	other_domain	Hey Cortana find.	[]		CoW	Speech	6	1.13		uwp	
01a425b0-9c6e-4765-a4df-054bddb0e631	0	5/15/2020 8:34:29 PM	user	Hey Cortana you are very funny.	I'm glad my judicious application of humor is working.	NOTSURE	other_domain	Hey Cortana you are very funny.	[]		CoW	Speech	8	1.13		uwp	
01a5742a-f0ba-4cc7-82fe-48157d7ea7ac	0	5/8/2020 9:08:29 AM	user	What are my meetings on the second Monday?		CALENDAR	find_calendar_entry	What are my meetings on the <start_date>second Monday</start_date>?	[]		CoW	Speech	1	1.13		uwp	
01a5742a-f0ba-4cc7-82fe-48157d7ea7ac	1	5/8/2020 9:08:32 AM	user_other		I see 3 events for Tuesday, June 2nd.				[]		CoW	Speech	1	1.13		uwp	
01a73274-873d-4a2f-a411-c8e88ecfc454	0	5/18/2020 1:49:40 PM	user	Join my meeting.		CALENDAR	connect_to_meeting	Join my meeting.	[]		CoW	Speech	31	1.13		uwp	
01a73274-873d-4a2f-a411-c8e88ecfc454	1	5/18/2020 1:49:41 PM	user_other		Which meeting would you like to join?				[]		CoW	Speech	31	1.13		uwp	
01a7b1ae-81bd-4d46-8256-b72a39a8d4c6	0	5/9/2020 8:03:04 PM	user	What's my name?	To learn about your personal data, go to privacy.microsoft.com.	WEB	web_other	what's my name	[]		CoW	Speech	1	1.13		uwp	
01bfe959-dee1-48df-8270-dfccb29511cd	0	5/4/2020 10:59:51 PM	user	Hey computer how many calories are in a grape talk about his amazing.	Sorry I don't know the answer to this one, but I'm learning.	NOTSURE	other_domain	Hey computer how many calories are in a grape talk about his amazing.	[]		CoW	Speech	1	1.13		uwp	
01d943c5-6127-464a-9dab-a047da94b788	0	5/7/2020 11:01:42 PM	user	Join my next meeting.		CALENDAR	connect_to_meeting	join my <start_time>next</start_time> meeting	[]		CoW	Speech	19	1.13		uwp	
01d943c5-6127-464a-9dab-a047da94b788	1	5/7/2020 11:01:42 PM	user_other		Joining your 4:00 PM. 				[]		CoW	Speech	19	1.13		uwp	
01f7eb4f-bc54-411b-aa8e-201e0a2e1912	0	5/22/2020 12:29:02 AM	user	Weather.	Right now, it's mostly cloudy and 55. The forecast shows rain showers with a high of 59 and a low of 47.	NOTSURE	other_domain	Weather.	[]		CoW	Speech	9	1.13		uwp	
0202e888-bd19-4a14-b9d8-f4bebe976b42	0	5/14/2020 5:28:13 PM	user	Hey Cortana play what we're fighting for from Mulan.	I'm sorry, I can't control your music here.	NOTSURE	other_domain	Hey Cortana play what we're fighting for from Mulan.	[]		CoW	Speech	3	1.13		uwp	
022061ff-d061-41e2-8c77-c2d2fb387a1d	0	5/14/2020 5:09:15 PM	user	Hey Cortana pair Bluetooth.	Sorry, I can't help with that.	ONDEVICE	ondevice_other	Hey Cortana pair <setting_type>Bluetooth</setting_type>.	[]		CoW	Speech	8	1.13		uwp	
0224fcfe-ab3e-40c7-9850-279b70a6960c	0	5/14/2020 5:33:36 PM	user	Hey Cortana what time do you sleep.	I never sleep. Sleep is for ambulatory, carbon-based beings.	NOTSURE	other_domain	Hey Cortana what time do you sleep.	[]		CoW	Speech	17	1.13		uwp	
0226417f-4318-41b4-b714-2da10eba2da8	0	5/13/2020 7:03:19 PM	user	What is Microsoft's market cap?	Microsoft's market cap is 1416.1 billion US Dollars.	NOTSURE	other_domain	What is Microsoft's market cap?	[]		CoW	Speech	1	1.13		uwp	
022a6854-b3fd-4a65-99c2-6b14910730e0	0	5/28/2020 2:10:00 PM	user	Find time with James.	Which James would you like to meet with?	CALENDAR	check_availability	Find time with <contact_name>James</contact_name>.	[]		CoW	Speech	1	1.13		uwp	
022a6854-b3fd-4a65-99c2-6b14910730e0	1	5/28/2020 2:10:05 PM	user	James Russell.	Sorry! Something went wrong. Please try again later.	NOTSURE	ambiguous	James Russell.	[]	{"PreviousTurnDomain": ["calendar"], "PreviousTurnIntent": ["check_availability"], "TaskFrameGUID": ["CalendarCreateActionId"], "TaskFrameStatus": ["InProgress"]}	CoW	Speech	1	1.13		uwp	
0233d948-2ac6-4f94-9c11-7fb9e757bef9	0	5/12/2020 4:44:09 PM	user	Will it rain this weekend?	On Saturday there'll be cloudy skies with a high of 70, with a slight chance of rain, and on Sunday there'll be rain showers with a high of 64, with a slight chance of rain.	NOTSURE	other_domain	Will it rain this weekend?	[]		CoW	Speech	2	1.13		uwp	
02421c12-a231-4af1-88a6-0a956c35279a	0	5/22/2020 2:43:41 AM	user	How do you spell hang out?	hang is spelled  hang .	NOTSURE	other_domain	How do you spell hang out?	[]		CoW	Speech	4	1.13		uwp	
0254941e-8493-4394-b18c-feef9a91feae	0	5/13/2020 7:17:11 PM	user	Cholesterol in half a cup of butter.	The amount of cholesterol in Butter per 1 pat is 11 Milligram	NOTSURE	other_domain	Cholesterol in half a cup of butter.	[]		CoW	Speech	1	1.13		uwp	
02645fef-1f79-455f-9735-f31e935a72e9	0	5/15/2020 12:22:58 AM	user	Launch WhatsApp desktop app.	OK.	NOTSURE	notsure_other	Launch WhatsApp desktop app.	[]		CoW	Speech	1	1.13		uwp	
02645fef-1f79-455f-9735-f31e935a72e9	1	5/15/2020 12:23:02 AM	user_other		I'll open WhatsApp Desktop.				[]		CoW	Speech	1	1.13		uwp	
027011b5-212e-4527-ab24-1f5c31b59d42	0	5/29/2020 3:05:02 PM	user	How do you feel about zoom?	Sorry I don't know the answer to this one, but I'm learning.	NOTSURE	other_domain	How do you feel about zoom?	[]		CoW	Speech	1	1.13		uwp	
028ffe3e-dd32-4023-8588-53f11ce0d634	0	5/14/2020 8:50:05 AM	user	Remind me to talk to Bala tonight regarding AI data platform.	Got it. I'll remind you  Today • 8:00 PM . {EarconSuccess}	REMINDER	create_single_reminder	Remind me to <reminder_text>talk to Bala</reminder_text> <start_time>tonight</start_time> <reminder_text>regarding AI data platform</reminder_text>.	[]		CoW	Speech	2	1.13		uwp	
029ed1aa-3254-4bdb-982b-777f247d5eaa	0	5/28/2020 4:26:53 AM	user	Create a meeting with Kirti.	Alright, Looks like you're both free at 10:30 AM and 11:00 AM on Thursday, May  28 . What time would you like to meet?	CALENDAR	create_calendar_entry	Create a meeting with <contact_name>Kirti</contact_name>.	[]		CoW	Speech	1	1.13		uwp	
029ed1aa-3254-4bdb-982b-777f247d5eaa	1	5/28/2020 4:27:09 AM	user	10:00 PM.	Alright, Here's what I have. Should I schedule this?	CALENDAR	create_calendar_entry	<start_time>10:00 PM</start_time>.	[]	{"PreviousTurnDomain": ["calendar"], "PreviousTurnIntent": ["create_calendar_entry"], "TaskFrameGUID": ["CalendarCreateActionId"], "TaskFrameStatus": ["InProgress"]}	CoW	Speech	1	1.13		uwp	
029ed1aa-3254-4bdb-982b-777f247d5eaa	2	5/28/2020 4:27:17 AM	user	No.	OK, change the title, time, or attendee?	CALENDAR	reject	No.	[]	{"PreviousTurnDomain": ["calendar"], "PreviousTurnIntent": ["create_calendar_entry"], "TaskFrameGUID": ["CalendarCreateActionId"], "TaskFrameStatus": ["InProgress"]}	CoW	Speech	1	1.13		uwp	
029ed1aa-3254-4bdb-982b-777f247d5eaa	3	5/28/2020 4:27:25 AM	user	Change the attendee.	Who did you wanna meet with?	CALENDAR	create_calendar_entry	Change the <slot_attribute>attendee</slot_attribute>.	[]	{"PreviousTurnDomain": ["calendar"], "PreviousTurnIntent": ["reject"], "TaskFrameGUID": ["CalendarCreateActionId"], "TaskFrameStatus": ["InProgress"]}	CoW	Speech	1	1.13		uwp	
029ed1aa-3254-4bdb-982b-777f247d5eaa	4	5/28/2020 4:27:30 AM	user	Kapil.	Which one did you want?	CALENDAR	create_calendar_entry	<contact_name>Kapil</contact_name>.	[]	{"PreviousTurnDomain": ["calendar"], "PreviousTurnIntent": ["create_calendar_entry"], "TaskFrameGUID": ["CalendarCreateActionId"], "TaskFrameStatus": ["InProgress"]}	CoW	Speech	1	1.13		uwp	
029ed1aa-3254-4bdb-982b-777f247d5eaa	5	5/28/2020 4:27:36 AM	user	Second one.	Here's what I have. Should I schedule this?	CALENDAR	create_calendar_entry	<position_ref>Second</position_ref> one.	[]	{"PreviousTurnDomain": ["calendar"], "PreviousTurnIntent": ["create_calendar_entry"], "TaskFrameGUID": ["CalendarCreateActionId"], "TaskFrameStatus": ["InProgress"]}	CoW	Speech	1	1.13		uwp	
029ed1aa-3254-4bdb-982b-777f247d5eaa	6	5/28/2020 4:27:43 AM	user	Hello.	Should I add this to your calendar?	NOTSURE	other_domain	Hello.	[]	{"PreviousTurnDomain": ["calendar"], "PreviousTurnIntent": ["create_calendar_entry"], "TaskFrameGUID": ["CalendarCreateActionId"], "TaskFrameStatus": ["InProgress"]}	CoW	Speech	1	1.13		uwp	
029ed1aa-3254-4bdb-982b-777f247d5eaa	7	5/28/2020 4:27:48 AM	user	No.	Alright, change the title, time, or attendee?	CALENDAR	reject	No.	[]	{"PreviousTurnDomain": ["fallback"], "PreviousTurnIntent": ["fallback_other"], "TaskFrameGUID": ["CalendarCreateActionId"], "TaskFrameStatus": ["InProgress"]}	CoW	Speech	1	1.13		uwp	
029ed1aa-3254-4bdb-982b-777f247d5eaa	8	5/28/2020 4:27:55 AM	user	Change that ND.	OK, change the title, time, or attendee?	NOTSURE	notsure_other	Change that ND.	[]	{"PreviousTurnDomain": ["calendar"], "PreviousTurnIntent": ["reject"], "TaskFrameGUID": ["CalendarCreateActionId"], "TaskFrameStatus": ["InProgress"]}	CoW	Speech	1	1.13		uwp	
029ed1aa-3254-4bdb-982b-777f247d5eaa	9	5/28/2020 4:28:03 AM	user	Change the attendee.	Who did you wanna meet with?	CALENDAR	create_calendar_entry	Change the <slot_attribute>attendee</slot_attribute>.	[]	{"PreviousTurnDomain": ["fallback"], "PreviousTurnIntent": ["fallback_other"], "TaskFrameGUID": ["CalendarCreateActionId"], "TaskFrameStatus": ["InProgress"]}	CoW	Speech	1	1.13		uwp	
029ed1aa-3254-4bdb-982b-777f247d5eaa	10	5/28/2020 4:28:08 AM	user	Kapil.	Which one did you want?	CALENDAR	create_calendar_entry	<contact_name>Kapil</contact_name>.	[]	{"PreviousTurnDomain": ["calendar"], "PreviousTurnIntent": ["create_calendar_entry"], "TaskFrameGUID": ["CalendarCreateActionId"], "TaskFrameStatus": ["InProgress"]}	CoW	Speech	1	1.13		uwp	
029ed1aa-3254-4bdb-982b-777f247d5eaa	11	5/28/2020 4:28:13 AM	user_other	First one.	OK, Here's what I have. Should I schedule this?				[]		CoW	Speech	1	1.13		uwp	1
029ed1aa-3254-4bdb-982b-777f247d5eaa	12	5/28/2020 4:28:20 AM	user_other	Hello.	Should I add this to your calendar?				[]		CoW	Speech	1	1.13		uwp	1
029ed1aa-3254-4bdb-982b-777f247d5eaa	13	5/28/2020 4:28:25 AM	user_other	No.	So, change the title, time, or attendee?				[]		CoW	Speech	1	1.13		uwp	1
029ed1aa-3254-4bdb-982b-777f247d5eaa	14	5/28/2020 4:28:32 AM	user_other	Chance that Andy.	What did you wanna change?				[]		CoW	Speech	1	1.13		uwp	1
029ed1aa-3254-4bdb-982b-777f247d5eaa	15	5/28/2020 4:28:38 AM	user_other	Change that Andy.	Sorry, What did you wanna change?				[]		CoW	Speech	1	1.13		uwp	1
029ed1aa-3254-4bdb-982b-777f247d5eaa	16	5/28/2020 4:28:45 AM	user_other	Change attendee.	Who did you wanna meet with?				[]		CoW	Speech	1	1.13		uwp	1
029ed1aa-3254-4bdb-982b-777f247d5eaa	17	5/28/2020 4:28:51 AM	user_other	Devesh.	Here's what I have. Should I schedule this?				[]		CoW	Speech	1	1.13		uwp	1
029ed1aa-3254-4bdb-982b-777f247d5eaa	18	5/28/2020 4:29:00 AM	user_other	Yes.	Got it. {EarconSuccess}				[]		CoW	Speech	1	1.13		uwp	1
02ae37ff-4161-42d5-a0c8-697626df991a	0	5/15/2020 8:35:00 PM	user	Hey Cortana when does FL schedule come out for 2018.	According to nbcsports.com, The 2018 NFL schedule will be released at 8:00 p.m. ET on Thursday, April 19. The 2018 NFL Season begins on Thursday, Sept. 6 with the Thursday Night Football season-opener.	NOTSURE	other_domain	Hey Cortana when does FL schedule come out for 2018.	[]		CoW	Speech	3	1.13		uwp	
02b4c88c-515e-4ef4-af85-65bfd0839cc4	0	5/4/2020 10:15:26 AM	user	Cancel my alarm.		ALARM	turn_off_alarm	cancel my alarm	[]		CoW	Speech	1	1.13		uwp	
02b95bc8-b1fc-4853-baf9-67eb55417945	0	5/4/2020 12:15:58 PM	user	How my calendar looks like on Wednesday?		CALENDAR	find_calendar_entry	How my calendar looks like on <start_date>Wednesday</start_date>?	[]		CoW	Speech	1	1.13		uwp	
02b95bc8-b1fc-4853-baf9-67eb55417945	1	5/4/2020 12:15:59 PM	user_other		OK.				[]		CoW	Speech	1	1.13		uwp	
02b95bc8-b1fc-4853-baf9-67eb55417945	2	5/4/2020 12:15:59 PM	user_other		I found 3 events for Wednesday.				[]		CoW	Speech	1	1.13		uwp	
02bcb391-2371-4f56-b48b-51a746d266bd	0	5/12/2020 11:39:35 PM	user	Play CBC News.	I'm sorry, but I can't help with that yet.	NOTSURE	other_domain	Play CBC News.	[]		CoW	Speech	1	1.13		uwp	
02c2ea14-797e-4794-990c-749b48180a04	0	5/21/2020 7:55:46 PM	user	Go to update.	I'll open Update settings.	ONDEVICE	open_setting	Go to <setting_type>update</setting_type>.	[]		CoW	Speech	1	1.13		uwp	
02d1163d-a9d1-46cc-89d8-9c13ee5c26eb	0	5/15/2020 5:01:04 AM	user	Sticky notes.	OK.	WEB	web_other	sticky notes	[]		CoW	Speech	1	1.13		uwp	
02d1163d-a9d1-46cc-89d8-9c13ee5c26eb	1	5/15/2020 5:01:05 AM	user_other		I'll open Sticky Notes.				[]		CoW	Speech	1	1.13		uwp	
02dc3c58-cf53-4387-8439-a91469dfbf62	0	5/15/2020 6:57:19 PM	user	Hey Cortana remind me to stand for two minutes.	Sure, When do you wanna be reminded?	REMINDER	create_single_reminder	Hey Cortana remind me to <reminder_text>stand for two minutes</reminder_text>.	[]		CoW	Speech	1	1.13		uwp	
02e44003-bf02-4422-b4c5-4c570491beca	0	5/26/2020 6:37:34 PM	user	Hey Cortana tell me an animal fact.	The bee hummingbird is only about 2 inches long from tip to tail, making it the smallest bird in the world. It weighs less than a penny, and its eggs are the size of a pea.	NOTSURE	other_domain	Hey Cortana tell me an animal fact.	[]		CoW	Speech	1	1.13		uwp	
030364b7-3d2a-4347-8d00-1df915a895a3	0	5/28/2020 12:36:50 PM	user	What meetings do I have today?	I'm finding 3 events for today.	CALENDAR	find_calendar_entry	what meetings do i have <start_date>today</start_date>	[]		CoW	Speech	6	1.13		uwp	
031411c0-ab7c-4498-b219-27c0afc49bfc	0	5/5/2020 11:02:26 PM	user	Set up a meeting with August.	Looks like you're both free at 10:25 AM and 10:55 AM on Wednesday, May  6 . What time would you like to meet?	CALENDAR	create_calendar_entry	Set up a meeting with <contact_name>August</contact_name>.	[]		CoW	Speech	1	1.13		uwp	
031411c0-ab7c-4498-b219-27c0afc49bfc	1	5/5/2020 11:02:32 PM	user_other		Here's what I have. Should I schedule this?				[]		CoW	Speech	1	1.13		uwp	
031411c0-ab7c-4498-b219-27c0afc49bfc	2	5/5/2020 11:02:40 PM	user	Change it.	Should I add this to your calendar?	NOTSURE	ambiguous	Change it.	[]	{"PreviousTurnDomain": ["calendar"], "PreviousTurnIntent": ["create_calendar_entry"], "TaskFrameGUID": ["CalendarCreateActionId"], "TaskFrameStatus": ["InProgress"]}	CoW	Speech	1	1.13		uwp	
