TurnNumber	PreviousTurnIntent	query	intent
0		can you find the meeting with harry by emarel hatajova mutina	file_search
0		Turn off.	file_other
0		Ready.	file_other
0		see music notes	file_navigate
0		show hotkeys	file_other
0		Navigate to my I have recently opened files	file_navigate
0		open document I was working on recently today.	file_open
0		bring up leaky boat document	file_navigate
0		locate my pictures	file_search
0		Hey Cortana I need to continue with the document I just edited.	file_open
0		show with meeting attendees tomorrow	file_share
0		Cortana open my that I created PowerPoint again	file_open
0		can you find the video shoot powerpoint by palat banks-blaney	file_search
0		Go of downloaded files	file_navigate
0		Launch that document I to compose	file_open
0		find me note with lonestar steakhouse note	file_search
0		Share the PowerPoint	file_share
0		share a file with roger	file_share
0		show my photos from April 2015	file_search
0		Open Cortana experiences and devices document.	file_open
0		vcs weibels baquedano ganiayre changed	file_search
0		Cortana open the deck document I was working on	file_open
0		Find word documents.	file_search
0		list my that was closed opened documents	file_navigate
0		cortana find lexmark's files	file_search
0		show me all my pictures	file_search
0		show me my I had up before PPT file.	file_search
0		Share payroll PowerPoint newest with next chat	file_share
0		cortana share the document I was using using the meeting	file_share
0		Open me the ship room slide	file_open
0		show me my email addresses	file_search
0		open the document I was working on today to page one.	file_open
0		deck files srikanth drezet sanegin wintermyer shared	file_search
0		Share PowerPoint.	file_share
0		Can to open the last document recently	file_open
0		Find the paper I was only working on and open it please.	file_open
0		files modified by schexnayder pujade-renaud	file_search
0		keep voice skills file	file_download
0		Open Microsoft teams platform customer presentation.	file_open
0		saving that file	file_download
0		sharing that file with Jacob	file_share
0		file named singing solo uploaded by glazovskai?a	file_search
0		download my recent file	file_download
0		Should I pick him up?	file_other
0		Share the Word I was editing with the conversation	file_share
0		startup files	file_search
0		send the deck	file_share
0		Navigate is my I was editing files	file_navigate
0		Cortana, display pictures from Amusement Park downloaded last weekend.	file_search
0		explore files	file_search
0		visit my I was working on files.	file_navigate
0		Find document I was just working on and open it please.	file_open
0		hey cortana, share this files roger	file_share
0		can you see my I just edited files.	file_navigate
0		Share preview test plan document document I last edited using the meeting participants	file_share
0		Can you please open your document I was just working on?	file_open
0		share workplace files with Jacob	file_share
0		Hey could you please show me the files I was editing yesterday?	file_search
0		open the paper the last used.	file_open
0		show boy scout camping with rissling	file_share
0		open file specs	file_open
0		saving lt review file	file_download
0		file opened by maddinelli	file_search
0		Can you can open the document I was editing?	file_open
0		Open that I created with this chat	file_share
0		Find my Disneyland photos.	file_search
0		Share the PowerPoint of the 11AM meeting participants	file_share
0		powerpoint modified by evergreen hospital appointment	file_search
0		show me my Word files	file_search
0		save tax photo	file_download
0		I want to see the most recent files I've made	file_navigate
0		can you find the daughter ' s appointment vstx by tejfalussy monissara	file_search
0		what are my newly opened files	file_navigate
0		Share this paper I had been working on in this meeting participants	file_share
0		jpg file cetywayo sustacek called	file_search
0		share file with this chat	file_share
0		Cortana open the PPT paper I was last working on	file_open
0		Which 1031 + 70?	file_other
0		share workplace files with Jacob	file_share
0		I need to view my I was just working on files.	file_open
0		Go of files I used most recently.	file_navigate
0		Navigate the files	file_navigate
0		Share LT review discussion files on this meeting	file_share
0		Stop.	file_other
0		open file lt review	file_open
0		Find the notes re: insurance payment.	file_search
0		Share document I was just working on with voice skills stand up meeting	file_share
0		Open legal and DB spreadsheet.	file_open
0		*.docx	file_search
0		Pull up the dok	file_open
0		msg by qarsimbay khudion audisio gruemer about paintball	file_search
0		I was last working on a document , please open the document.	file_open
0		file titled business proposal meeting of type pdfs	file_search
0		Open the document I used most recently	file_open
0		Where in the Bible does it talk about don't follow the customs of this world	file_other
0		Cortana opened my planning Excel again	file_open
0		find file	file_search
0		View Knoxville Fair photos	file_open
0		upload LT review discussion OneNote	file_download
0		Navigate to download	file_navigate
0		Open Microsoft assistant framework file.	file_open
0		Cortana open the downloads document last active	file_open
0		onenotes by uriuhara sprauer palat about linda cleaner	file_search
0		Share the document I updated in the meeting	file_share
0		sharing workplace file with jay	file_share
0		cortana look through my photos	file_search
0		sharing lt review file with alice	file_share
0		hey cortana find a file called faith	file_search
0		Please open the my preview test plan document document	file_open
0		please release the document I've recently used.	file_open
0		Hey could you please direct me in my last files I have recently opened?	file_navigate
0		Open the last documents recent	file_open
0		Open the paper I was working on recently	file_open
0		Show my photos from April	file_search
0		show me my I've recently used archives	file_search
0		Open powerpoint ship room	file_open
0		Bring up the document from August 7.	file_navigate
0		Open the files.	file_open
0		show me the files planning last weeks.	file_search
0		Cortana open I was working on documents.	file_open
0		Open paper on which I was last working on	file_open
0		Cortana, I would like to see the june 3rd vacation photos please	file_navigate
0		can you show me I worked on files.	file_search
0		re-opening the last document that was closed.	file_open
0		I need you to reopen the document I just edited	file_open
0		show me my files from yesterday.	file_search
0		vsdx by yerbolat beverungen about e c t	file_search
0		what are my notes about the meeting	file_navigate
0		are there any notes of mine	file_search
0		show me my files in today.	file_search
0		Open excel ship room	file_open
0		find Lake Havasu reunion photos on 8/02/2014.	file_search
0		Show me the party notes.	file_search
0		Open Cortana deck PowerPoint.	file_open
0		Find my recent documents.	file_search
0		sharefile with John	file_share
0		Cortana open I was working on document.	file_open
0		Open that I created with shiproom conversation	file_share
0		Share the deck I was recently working on.	file_share
0		show me archives that was closed.	file_search
0		Take me where I can see all of my latest files	file_navigate
0		show my ppt files	file_search
0		Share LT review discussion file of this meeting	file_share
0		The PowerPoint I was working on last	file_navigate
0		show me the files tax this week.	file_search
0		open with my tomorrow chat	file_share
0		show me my file from last weeks.	file_search
0		Hey can you show me the files I had been working on this week?	file_search
0		my travel list	file_search
0		I need a document to be opened this I was last working on.	file_open
0		Find a document that I was editing	file_search
0		Q4 OKRs 	file_search
0		save deployment timeline PowerPoint	file_download
0		please bring up idea list so i can add to it	file_navigate
0		Share the pictures	file_share
0		Show this file with kakigiri	file_share
0		Go in my PowerPoint	file_navigate
0		Open preview test plan document paper I was editing	file_open
0		share file with my 10 pm on Wednesday meeting participants	file_share
0		Bring up the document files that was closed	file_navigate
0		share the LT review discussion ppt with this meeting	file_share
0		Show me the last document I changed to	file_search
0		Find my screenshots	file_search
0		Navigate to my I last edited files	file_navigate
0		Share the Excel recently of the conversation	file_share
0		Open the paper which I was composing	file_open
0		Open the latest ship room slide	file_open
0		Hey show me my I was last working on editing	file_search
0		Hi please show my I was just working on files	file_search
0		travel to mexico ics by witymir	file_search
0		I need a document to open that I worked on.	file_open
0		Share that I created file in this meeting attendees	file_share
0		Show this file with leschinski	file_share
0		share files with my 11AM chat	file_share
0		Open powerpoint ship room	file_open
0		can you find a document for me	file_search
0		files changed by iddas ayagaki nakhov byallovich	file_search
0		Cortana bring up the document I was working on before the telephone interrupted me.	file_navigate
0		Cortana display my I had been working on files.	file_search
0		Please opening the last document last active	file_open
0		Share this OneNote I worked on using 11AM conversation	file_share
0		Share the document I was just working on with the meeting participants	file_share
0		Open this downloads	file_open
0		blank document	file_search
0		I want the document to be opened that most recent.	file_open
0		show me my files in today.	file_search
0		Open Microsoft customer presentation	file_open
0		Pull up payroll dok	file_open
0		find the powerpoint on the new project	file_search
0		visit of my vst by subeiga middeke	file_search
0		Open the document I was working on recently	file_open
0		please visit my I had been working on file.	file_navigate
0		Show to my files	file_search
0		share a file with my next conversation	file_share
0		Share the LT review deck with Graham.	file_share
0		Show date night to concert with kakigiri	file_share
0		send you the document	file_share
0		Open up Cortana agent file.	file_open
0		File Instant answers 	file_search
0		tell me to my game.	file_search
0		Cortana bring up my insurance word.	file_navigate
0		Hey can you resume the document I previously worked for?	file_open
0		Open excel ship room	file_open
0		Please open the last document I had up before	file_open
0		note with the name of legoland	file_search
0		find word document	file_search
0		Cortana open my invoice doucments again	file_open
0		Go to the files newest.	file_navigate
0		please raise the I had been working on document	file_navigate
0		Cortana shows the document I was working on.	file_navigate
0		Find the document I was just working on and open it please.	file_open
0		Bring up the document files I was last working on	file_navigate
0		powerpoint file tsekoa shared	file_search
0		Cortana display the document recent.	file_search
0		I need a document to be opened that I uploaded.	file_open
0		vdw evagelio fourquemain spatsi created	file_search
0		open file voice skills	file_open
0		can you find the evergreen hospital appointment pdf by harbarth ruotsalo rudeborg	file_search
0		File Answers shared by Vivek Sharma 	file_search
0		Pull up a document I was composing	file_navigate
0		onenotes named by inventory meeting	file_search
0		locate my work document.	file_search
0		saving that picture	file_download
0		visit my I used most recently files.	file_navigate
0		find vdl	file_search
0		vss files iddas ayagaki nakhov byallovich editing	file_search
0		Share preview test plan document document I uploaded with shiproom meeting attendees	file_share
0		Show morning hike with goshko	file_share
0		file named steak recipe for dinner party	file_search
0		Show in my ppt	file_search
0		vss worked by gas line estimate	file_search
0		hey cortana, share this file with jay ongg	file_share
0		When's mfile_others day?	file_other
0		One pager shared in email 	file_search
0		what is my newly opened files	file_navigate
0		Take me to where I can see all my recent files	file_navigate
0		show me the photos i took	file_search
0		please launch the document recently.	file_open
0		show the files I had been working on yesterday.	file_search
0		What was the files I was last working on	file_navigate
0		Hey show me my I've recently used editions	file_search
0		facebook log in	file_other
0		Document shared in Team meeting last night	file_search
0		Share a file on this meeting participants	file_share
0		find my where's my downloads	file_search
0		I required to view my I just edited files.	file_open
0		go to recent files	file_navigate
0		Share a file on this meeting participants	file_share
0		Open the file size shiproom Doug.	file_open
0		Retrieve what I only working on and open it up.	file_open
0		search files	file_search
0		Cortana open the OneNote document I have recently opened	file_open
0		Download fire instance answers.	file_download
0		Open voice skills file	file_open
0		Pull up the paper recently	file_navigate
0		hey cortana, share this file with jay ongg	file_share
0		Open the last document in last active	file_open
0		what's the best homework	file_search
0		show with meeting tomorrow	file_share
0		share file with meeting tomorrow	file_share
0		cortana share most recently used pictures recently using 11AM meeting participants	file_share
0		Show my photos from 2015	file_search
0		Hey can you resume the document I previously worked for?	file_open
0		please visit my I've recently used file.	file_navigate
0		Open the document I was working on	file_open
0		can you see my I was working on files.	file_navigate
0		Cortana bring up the document I was working on before the phone call is interrupted me.	file_navigate
0		Who did Akbar play professional football for?	file_other
0		share LT review discussion file with my next shiproom meeting participants	file_share
0		save that I created image	file_download
0		French	file_other
0		File answers presented in monthly review 	file_search
0		open document I had been working on.	file_open
0		Open that I created powerpoint deck	file_open
0		what are my newly opened files	file_navigate
0		What's 1 * 2 * 3 * 4 + 2 / 3 / 4 / 5	file_other
0		Show going to the zoo with with baytalay	file_share
0		Share file speaks with this chat.	file_share
0		Boat for Anthony Weiner until he became more Anthony Weiner the first game.	file_other
0		Find document saved on Wednesday	file_search
0		Share lt review excel	file_share
0		Show of my I updated files	file_search
0		Show me the last document I made changes to	file_search
0		Open the paper I was last working on	file_open
0		word with the title of by research appointment	file_search
0		Find the file that I added a model.	file_search
0		Please open the my preview test plan document document	file_open
0		return to previous document	file_navigate
0		share that files with Jacob	file_share
0		share the the PowerPoint of this meeting	file_share
0		Pull up Harbaugh slides.	file_navigate
0		Share preview test plan document document I uploaded with shiproom meeting attendees	file_share
0		opening the file this	file_open
0		Hi you show me my I was using files	file_search
0		share that I created files with jay ongg	file_share
0		I will send you the document	file_share
0		Share the document I last edited with the meeting	file_share
0		Cortana bringing up my lt review downloaded files.	file_navigate
0		find jogging note	file_search
0		I uploaded a document , please open a document.	file_open
0		Please bring back up the last document I are open	file_navigate
0		find my baby doll photos	file_search
0		show specs with mohit	file_share
0		open with roger	file_share
0		pptx kandanzale ganiayre wodon creating	file_search
0		Cortana open I last edited paper.	file_open
0		\\szfileserv\joyce\	file_search
0		Please open the last document I had up before	file_open
0		please bring up the the last used paper	file_navigate
0		I need to see my I had been working on files.	file_navigate
0		Open up I was last working on I was creating paper I was last working on I was creating	file_open
0		Open the paper which I have recently opened	file_open
0		Show ressen the files.	file_share
0		Open up last active I was working on recently document last active I was working on recently	file_open
0		Can you can open the document I was just working on?	file_open
0		power point file bierge empeirikos gallusz ghiteanu open	file_search
0		spreadsheets using by liverpool in football finals	file_search
0		search my stuff	file_search
0		Open this downloaded files I've recently used	file_open
0		docx by kandanzale ganiayre wodon with the name of morning prayers	file_search
0		cortana Open with next meeting.	file_share
0		Go in powerpoint deck	file_navigate
0		share LT review discussion file with alice	file_share
0		msn	file_other
0		show my microsoft excel I was last working on	file_search
0		Moby Max	file_other
0		open file workplace	file_open
0		Open deployment timeline file	file_open
0		show me the excel I uploaded	file_search
0		Cortana bring up the document I was working on before the telephone call interrupted me.	file_navigate
0		I need the document to be opened that I had up before.	file_open
0		docx named beating off	file_search
0		Search the document opened August 7.	file_search
0		open file specs	file_open
0		hey cortana show me powerpoint slides about the charity auction	file_search
0		see john oliver over at highbury park file of type pdf	file_search
0		newest a document , then open the document.	file_open
0		Tell me something interesting.	file_other
0		modern music shops excel document	file_search
0		Docs named tax appointment	file_search
0		Hey Cortana, open image file	file_open
0		I want to see the most recent files I have made	file_navigate
0		Show me July's inventory spreadsheet.	file_search
0		send the sears file to breest	file_share
0		file worked by stiwing	file_search
0		What time is it?	file_other
0		share the cortana document on this channel	file_share
0		Share document last active with design sync meeting	file_share
0		open document most recent.	file_open
0		do i have a document	file_search
0		sharing files with my 10 pm on Wednesday meeting participants	file_share
0		Open brownbag book recently	file_open
0		file titled june	file_search
0		share files with John	file_share
0		I need this document recent opened.	file_open
0		share this file	file_share
0		Launch most recently used document I updated	file_open
0		Cortana displays the document last active.	file_navigate
0		download that file	file_download
0		Hey Cortana, open gif file	file_open
0		vsdx titled tv create	file_search
0		sharing payroll file	file_share
0		Open the paper that I was editing	file_open
0		Hello I'm looking for a file by the name jesinta	file_search
0		Go is my excel	file_navigate
0		go to recent files	file_navigate
0		Please pull up my I was writing paper	file_navigate
0		open the document the last used.	file_open
0		Hey can you resume the document I previously worked on?	file_open
0		I required to view my I just edited files.	file_open
0		Hey could you please direct me in my last files I uploaded?	file_navigate
0		spreadsheet felino tejfalussy bartar created	file_search
0		jpg files srikanth matrodonato aullas worked	file_search
0		Show me my recent files	file_search
0		Display any notes on the car show.	file_search
0		Hey can you resume the document I previously worked for?	file_open
0		No.	file_other
0		files updated by tiraspolsky lasalle aullas	file_search
0		Open ship room deck.	file_open
0		take austin to bowling file of type presentations	file_search
0		Open deck.	file_open
0		show my photos from April 2015	file_search
0		reimagereminder.exe	file_search
0		Navigate for files	file_navigate
0		show with meeting tomorrow	file_share
0		Open the document newest	file_open
0		Cortana continue working on document last opened	file_open
0		file called new composed by parmen	file_search
0		Hi you show me my I last edited files	file_search
0		show me my files in this week.	file_search
0		Open most recently used ppt	file_open
0		Open the deck	file_open
0		What time is it?	file_other
0		Send document	file_share
0		Sharefile this in shiproom chat	file_share
0		Open my I was just working on I uploaded project I was just working on I uploaded	file_open
0		Take me where I can see all of my recent files	file_navigate
0		open your spreadsheet last active	file_open
0		deck files arako masagoen seeba writing	file_search
0		files opened by hatajova checiulescu	file_search
0		find budget	file_search
0		Hi you show me my I've recently used files	file_search
0		Open the file science shiproom.	file_open
0		Open the file size ship room	file_open
0		Navigate to downloaded files	file_navigate
0		what is my newly opened files	file_navigate
0		I need you to re-open the document I uploaded	file_open
0		Hey Cortana, open vst file	file_open
0		File answer deck presented in shiproom meeting 	file_search
0		show talk to my professor with drecy	file_share
0		keep this pictures	file_download
0		Share file preview test plan document using design sync meeting attendees	file_share
0		Share tax document I was last working on with the meeting	file_share
0		Show this file with newham	file_share
0		Please opening my this document	file_open
0		open the worksheet I worked on	file_open
0		Cortana bring up the document I was working on before the telephone interrupted me.	file_navigate
0		share the files with alice	file_share
0		ak files	file_search
0		Open that I created PowerPoint	file_open
0		Cortana, list Latin notes from last year	file_search
0		Find the paper I was writing	file_search
0		pya file of type ics	file_search
0		show me my file from this week.	file_search
0		image files romoni subeiga palat khiari created	file_search
0		microsoft office 365.	file_search
0		Cortana bring up my lt review PowerPoint.	file_navigate
0		Cortana open the my planning image again	file_open
0		show the files I was working on this week.	file_search
0		Open the last document that I've recently used	file_open
0		I would like to see the photos edited on may 5th	file_navigate
0		show me my file from this week.	file_search
0		Please show me my I was working on recently file , Cortana	file_search
0		I want the document to be opened which I was last working on.	file_open
0		I you need to reopen the document last active	file_open
0		Cortana take my insurance deck.	file_navigate
0		Share tax paper the last used in shiproom chat	file_share
0		Open on I just edited I last edited document I just edited I last edited	file_open
0		Show this file with amatsuji	file_share
0		Green..com	file_other
0		can you find the gun stock ppt by gallusz drezet custine tsekoa	file_search
0		Share file LT review discussion in voice skills stand up meeting attendees	file_share
0		share the deployment timeline Word with this conversation	file_share
0		Show my latest documents.	file_search
0		Hey would you please show me the files I worked on last weeks?	file_search
0		find pictures from september two thousand eight	file_search
0		visit my I updated files.	file_navigate
﻿0		Find my file called budget fy15	file_search
0		Specs I wrote in Dec 2016 	file_search
0		Share file preview test plan document in voice skills stand up meeting attendees	file_share
0		Open monkey monkey monkey file.	file_open
0		Hey Cortana I need to proceed with the document I worked on.	file_open
0		find mumble dot exe	file_search
0		share file skills with mohit	file_share
0		Open the seals spreadsheet.	file_open
0		Share that paper I was using with the meeting attendees	file_share
0		Show is my powerpoint deck	file_search
0		find sticky notes	file_search
0		find files with the word trust in them	file_search
0		hey cortana show me pictures taken in december	file_search
0		Go to a file	file_navigate
0		share that I created file using alice	file_share
0		save preview test plan document photo	file_download
0		show with my meeting participants at 10 pm on Wednesday	file_share
0		show me the excel I was working on	file_search
0		I want to see the most recent files I've made	file_navigate
0		Show periodontist appointment with yeshvant	file_share
0		Will Wheaton from Star Trek	file_other
0		Open 'voice skills' spreadsheet	file_open
0		Cortana opened my tax PowerPoint again	file_open
0		file with the title of three thirty of type spec composing by sklarew kambuta	file_search
0		show me my that was closed pictures archives.	file_search
0		Open 'LT review discussion' deck 	file_open
0		Cortana show the document I had been working on.	file_search
0		show my I was writing Excel file.	file_search
0		Open shared launch back ppt.	file_open
0		I need to display my I was composing files.	file_search
0		Cortana opened my invoice doucments again	file_open
0		Can you open my I was using files to me	file_open
0		show me downloads	file_search
0		Share the downloaded files I had been working on to the chat	file_share
0		open the file I was editing.	file_open
0		Dollarsurveys.net	file_other
0		can you find the appoinment with michelle head of accounting Docx by coccarelli	file_search
0		I want to see the most recent files I have done	file_navigate
0		make changes to slide show bob	file_search
0		Open workplace OneNote I uploaded	file_open
0		Please bring back up the last document I was open	file_navigate
0		Open tax excel	file_open
0		open the file I was creating.	file_open
0		share the preview test plan document downloads with this meeting attendees	file_share
0		save payroll file	file_download
0		Hey Cortana I need to continue with the document I just edited.	file_open
0		Open most recently used ppt	file_open
0		Cortana opened the memos document I had up before	file_open
0		Files with due comments 	file_search
0		Show me the files that I was only using	file_search
0		Go to OneNote files.	file_navigate
0		Show me my downloads	file_search
0		Cortana please find note marked "friends	file_search
0		Browse the files from last weeks	file_navigate
0		Find a document that I was creating	file_search
0		can you see my I was just working on files.	file_navigate
0		show group home with stixrud	file_share
0		please bring the I was last working on document	file_navigate
0		Hey can you show me the files I was creating today?	file_search
0		go to my documents	file_navigate
0		Open documents I was writing	file_open
0		my holiday photos	file_search
0		Share the deck I was recently working on.	file_share
0		Share the document newest with the chat	file_share
0		file opened by himmelheber	file_search
0		open the paper the last used.	file_open
0		Can you open my I was editing file for me	file_open
0		file called inventory meeting of type ppt modified by audisio	file_search
0		Cortana to display the document I was just working on.	file_search
0		Bring up the document I was composing.	file_navigate
0		I need that document last active opened.	file_open
0		share the brownbag excel with this conversation	file_share
0		saving payroll file	file_download
0		Go for my ppt	file_navigate
0		Find my recent fires.	file_search
0		Search the slides titled school project.	file_search
0		vstx with the name of discuss about the legal aspect of the issue	file_search
0		Take me where I can see all my latest files	file_navigate
0		Docs on 3S architecture 	file_search
0		Hey can you please direct me in my last files last active?	file_navigate
0		Share this file on this meeting attendees	file_share
0		Share the document I had up before with shiproom conversation	file_share
0		Cortana open I uploaded documents.	file_open
0		Open the presentation.	file_open
0		Hi Cortana why every time I think you don't get it right	file_other
0		share the files with my 11AM meeting attendees	file_share
0		Hey show me my I just edited editions	file_search
0		Take me where I can see all my latest files	file_navigate
0		Navigate to my recent files	file_navigate
0		save that document	file_download
0		Open Gmail	file_other
0		find list: movies	file_search
0		the notes for today	file_search
0		Bring up a document I was using.	file_navigate
0		find note titled "ways to bathe a cat without being killed by the cat	file_search
0		find my resume I was editing between 1 am and 4am this morning 	file_search
0		Share the downloaded files	file_share
0		get me a word document	file_search
0		save workplace image	file_download
0		Open the document I was editing	file_open
0		Go of files	file_navigate
0		save the book	file_download
0		sharefile with roger	file_share
0		Open my deployment timeline info paper	file_open
0		I want to view the pictures from the June 7, 2014 meeting at Microsoft.	file_open
0		Go with memos	file_navigate
0		Cortana, locate my file named February Savings from last Monday.	file_search
0		file called children ' s museum adult swim of type PDF	file_search
0		Files shared in emails last week 	file_search
0		camping with samuel excels by feijo qarsimbay	file_search
0		Open my recent PPT's.	file_open
0		YouTube	file_other
0		Please opens the last document I just edited	file_open
0		Cortana open my bill doucments again	file_open
0		Files with due comments 	file_search
0		Porn	file_other
0		Go to my recent files.	file_navigate
0		Find document I was just working on and open it please.	file_open
0		vss with the title of gas line estimate	file_search
0		Cortana open the deck paper newest	file_open
0		show my recently archives	file_search
0		Share that pictures I had been working on using 11AM meeting	file_share
0		show my word archives	file_search
0		open the paper the last used.	file_open
0		save LT review discussion paper	file_download
0		hey cortana. share a file with meeting attendees next	file_share
0		I want a document to be opened that I just edited.	file_open
0		show my photos from April 2015	file_search
0		Is Bear Grylls on NBC tomorrow evening?	file_other
0		Please open my lt review document	file_open
0		show my I was last working on spreadsheet	file_search
0		please release the document I worked on.	file_open
0		Please pulling my I was composing document	file_navigate
0		Take me where I can see all of my latest files	file_navigate
0		video shoot ics by ureiqaat palat	file_search
0		Share most recently used image I have recently opened with next meeting attendees	file_share
0		show me my files of this week.	file_search
0		I need a document to be opened this newest.	file_open
0		Open the OneNote I was creating	file_open
0		show with my meeting attendees at tomorrow	file_share
0		share files with roger	file_share
0		Open file specs.	file_open
0		Find documents created after June 2014 about work.	file_search
0		Open brownbag Excel I just edited	file_open
0		powerpoints called by happy hour with team	file_search
0		sharefile with my conversation at tomorrow	file_share
0		Cortana opened my invoice doucments again	file_open
0		could you show my recent files.	file_search
0		Go to OneNote files.	file_navigate
0		Please pulls up my most recent document	file_navigate
0		Open files I was working on yesterday.	file_open
0		Hey could you please direct me to the my last files recent?	file_navigate
0		I want to look at my photos of Ohio trip	file_search
0		Naturally	file_other
0		Reopen last document is opened	file_open
0		Open the document I had up before	file_open
0		Open deployment timeline article I last edited	file_open
0		Open the PowerPoint I was working on.	file_open
0		What files I need to respond	file_search
0		Pull up brownbag dr	file_open
0		download lt review downloads	file_download
0		Cortana bring up the document I was working on before the telephone interrupted me.	file_navigate
0		sharing files with jay	file_share
0		showing me my downloads	file_navigate
0		powerpoint demo file	file_search
0		Open lt review paper	file_open
0		show my photos from April 2015	file_search
0		Share the PowerPoint of the 11AM meeting participants	file_share
0		Show this file with vengu	file_share
0		Go to August 2, trip to MA's photos.	file_navigate
0		share a file with my next meeting participants	file_share
0		note files cetywayo stankovic monissara sklarew updated	file_search
0		Stop.	file_other
0		can you take me to my picasa download free	file_navigate
0		Go of the files that was closed.	file_navigate
0		Q4 OKRs 	file_search
0		Open document I was editing	file_open
0		I need the document to be opened that I used most recently.	file_open
0		Can you locate the files for school open house?	file_search
0		Share the pictures	file_share
0		I need the document to be opened that I updated.	file_open
0		Task UX review.ppt 	file_search
0		Share the document I last edited to the meeting	file_share
0		Task UX review shared in email 	file_search
0		Share file LT review discussion in design sync meeting	file_share
0		Find the document I was just working on and open it please.	file_open
0		Launch that document I compose	file_open
0		share the LT review discussion ppt of this meeting attendees	file_share
0		Hey can you resume the document I previously worked at?	file_open
0		Open excel ship room	file_open
0		Documents I wrote in Dec 2016 	file_search
0		open the document I had been working on last weeks.	file_open
0		Share that files on this meeting participants	file_share
0		show me my files in today.	file_search
0		share files with my meeting attendees in next	file_share
0		file named georgia stage of type spreadsheets called by okwatsegue spatsi	file_search
0		I can get familiar with the way you talk I need your permission to hell	file_other
0		keep planning file	file_download
0		Share the LT review.pptx deck	file_share
0		a bng file	file_search
0		sharing LT review discussion file with alice	file_share
0		No.	file_other
0		Open the file I was working on.	file_open
0		Share the document I updated to the meeting	file_share
0		Open the last documents I had been working on	file_open
0		find my music	file_search
0		facebook.txt	file_search
0		Share file preview test plan document using design sync meeting attendees	file_share
0		third one	file_download
0		Show me the last document I changed	file_search
0		Share the document I was working on with the meeting participants	file_share
0		I was creating a document , then open the document.	file_open
0		Launch that document I compose	file_open
0		File answer in STCI Sharepoint 	file_search
0		I don't like this	file_other
0		view slide show of photos downloaded on 8-5-14	file_open
0		say something funny	file_other
0		Share the Word last active with the meeting attendees	file_share
0		reopen the last document I was composing.	file_open
0		I need to display my I was composing files.	file_search
0		dentist mike excel by ortigosa	file_search
0		Find document I was just working on and open it please.	file_open
0		Open the document that recently	file_open
0		Find the file that I added a model.	file_search
0		Open the word document.	file_open
0		Please pulling my the last used document	file_navigate
0		open your spreadsheet last active	file_open
0		Share PowerPoint.	file_share
0		Hey Cortana I need to proceed with the document I was just working on.	file_open
