TurnNumber	PreviousTurnIntent	query	domain	PreviousTurnDomain	TaskFrameStatus	TaskFrameEntityStates	TaskFrameGUID	SpeechPeopleDisambiguationGrammarMatches	ConversationalContext	Source
0		find files with an attachment	files							AttachmentData_modifiy.tsv
0		mb assignment file from gayatri with docs attachments	files							AttachmentData_modifiy.tsv
0		files about movie with attachment	files							AttachmentData_modifiy.tsv
0		sending some attachment to jane doe	files							AttachmentData_modifiy.tsv
0		attachment file march	files							AttachmentData_modifiy.tsv
0		documents i got from jill with attachment	files							AttachmentData_modifiy.tsv
0		files with invoice attachment	files							AttachmentData_modifiy.tsv
0		file with ppts attachments re bills from june 2016 to july 2017	files							AttachmentData_modifiy.tsv
0		files in july with fireworks attachment	files							AttachmentData_modifiy.tsv
0		files onenotes with attachment	files							AttachmentData_modifiy.tsv
0		view documents with xls attachments	files							AttachmentData_modifiy.tsv
0		look up files from walter to vera with quarterly report attachment	files							AttachmentData_modifiy.tsv
0		find documents in inbox with attachment	files							AttachmentData_modifiy.tsv
0		look for an documents from barb that included an attachment	files							AttachmentData_modifiy.tsv
0		attachment from mary anne png	files							AttachmentData_modifiy.tsv
0		files from robert to cora with attachment	files							AttachmentData_modifiy.tsv
0		i want to see my file with attachments sent to leonard	files							AttachmentData_modifiy.tsv
0		attachments in my inbox	files							AttachmentData_modifiy.tsv
0		file with attachment from jane	files							AttachmentData_modifiy.tsv
0		attachment documents emily	files							AttachmentData_modifiy.tsv
0		files with attachment about doctor appointments between june 10 and june 20 2018	files							AttachmentData_modifiy.tsv
0		project attachment	files							AttachmentData_modifiy.tsv
0		file with surgeon update excels attachment	files							AttachmentData_modifiy.tsv
0		documents with attachments about christmas	files							AttachmentData_modifiy.tsv
0		open up file from bob with attachment	files							AttachmentData_modifiy.tsv
0		documents with robertson attachment	files							AttachmentData_modifiy.tsv
0		documents with mpp attachment from jack	files							AttachmentData_modifiy.tsv
0		documents from lizzie to sally re resignation with word attachment	files							AttachmentData_modifiy.tsv
0		show me attachment sheet with tim	files							AttachmentData_modifiy.tsv
0		tsv attachment to jason	files							AttachmentData_modifiy.tsv
0		attachments i sent to virgil	files							AttachmentData_modifiy.tsv
0		files from anthony with attachment from september	files							AttachmentData_modifiy.tsv
0		show documents containing attachments	files							AttachmentData_modifiy.tsv
0		documents with attachment from crisco	files							AttachmentData_modifiy.tsv
0		find document to meghan with an attachment	files							AttachmentData_modifiy.tsv
0		file but only if they have an attachment	files							AttachmentData_modifiy.tsv
0		file from aclu with attachment monthly gift	files							AttachmentData_modifiy.tsv
0		attachment files march	files							AttachmentData_modifiy.tsv
0		document with attachment for may fund raiser	files							AttachmentData_modifiy.tsv
0		mortgage service documents from mary with attachments	files							AttachmentData_modifiy.tsv
0		arts and crafts file from july 2019 with attachment	files							AttachmentData_modifiy.tsv
0		sent to joe with docx attachments	files							AttachmentData_modifiy.tsv
0		i need to view document about accidents with attachment	files							AttachmentData_modifiy.tsv
0		from malik with xls attachment	files							AttachmentData_modifiy.tsv
0		interesting show me file from malik with attachments	files							AttachmentData_modifiy.tsv
0		files with attachment from last month	files							AttachmentData_modifiy.tsv
0		files sent without attachment	files							AttachmentData_modifiy.tsv
0		document with attachment from crisco	files							AttachmentData_modifiy.tsv
0		list out all document that have attachments on them	files							AttachmentData_modifiy.tsv
0		documents with attachment sent second week of march	files							AttachmentData_modifiy.tsv
0		document with any attachment	files							AttachmentData_modifiy.tsv
0		mr stevens file to sally from august with attachment	files							AttachmentData_modifiy.tsv
0		payment attachment files with balance	files							AttachmentData_modifiy.tsv
0		to dad with worksheet attachment	files							AttachmentData_modifiy.tsv
0		document with attachment from cindy from last week	files							AttachmentData_modifiy.tsv
0		documents with office attachment	files							AttachmentData_modifiy.tsv
0		document from sally that has an attachment	files							AttachmentData_modifiy.tsv
0		georgettes files from january with attachment	files							AttachmentData_modifiy.tsv
0		run search on messages with attachments	files							AttachmentData_modifiy.tsv
0		attachment with ppts	files							AttachmentData_modifiy.tsv
0		file with mpp attachment	files							AttachmentData_modifiy.tsv
0		files from michele have attachments	files							AttachmentData_modifiy.tsv
0		funny jokes file from george which contains attachment	files							AttachmentData_modifiy.tsv
0		let me see lauras files that has excels attachment	files							AttachmentData_modifiy.tsv
0		file from december through today with attachments in them	files							AttachmentData_modifiy.tsv
0		document about dogs with attachment from june	files							AttachmentData_modifiy.tsv
0		attachments from rose	files							AttachmentData_modifiy.tsv
0		from lauren with attachment	files							AttachmentData_modifiy.tsv
0		document may 1 through may 5 with attachments	files							AttachmentData_modifiy.tsv
0		files from february 28th to march 1st with attachments	files							AttachmentData_modifiy.tsv
0		excels attachment to jack	files							AttachmentData_modifiy.tsv
0		files with attachment to jessica	files							AttachmentData_modifiy.tsv
0		documents sent from abraham jacob on 21st in january with attachments	files							AttachmentData_modifiy.tsv
0		attachments form last tuesday	files							AttachmentData_modifiy.tsv
0		document from robert with attachment about office party	files							AttachmentData_modifiy.tsv
0		documents with program attachment	files							AttachmentData_modifiy.tsv
0		last weeks documents with attachments re sales meeting	files							AttachmentData_modifiy.tsv
0		document from aria with attachments	files							AttachmentData_modifiy.tsv
0		find yesterday document with attachment	files							AttachmentData_modifiy.tsv
0		attachment sent vstm	files							AttachmentData_modifiy.tsv
0		message from april 5th with resume attachment	files							AttachmentData_modifiy.tsv
0		files sent from xinan xu with attachments	files							AttachmentData_modifiy.tsv
0		show document with attachment	files							AttachmentData_modifiy.tsv
0		document attachments to lucille	files							AttachmentData_modifiy.tsv
0		to jim attachment png	files							AttachmentData_modifiy.tsv
0		files from sally that has an attachment	files							AttachmentData_modifiy.tsv
0		to bob with attachments	files							AttachmentData_modifiy.tsv
0		from malik with vsdx attachment	files							AttachmentData_modifiy.tsv
0		document on vacation with attachment	files							AttachmentData_modifiy.tsv
0		view files with excels attachments sent to amanda	files							AttachmentData_modifiy.tsv
0		documents with attachment to jon snow	files							AttachmentData_modifiy.tsv
0		file sent from abraham jacob on 21st in january with attachments	files							AttachmentData_modifiy.tsv
0		document form rudy brown with attachment	files							AttachmentData_modifiy.tsv
0		files from quinn to jen with attachment	files							AttachmentData_modifiy.tsv
0		document to edith from july with attachments	files							AttachmentData_modifiy.tsv
0		files from michael with attachment about work	files							AttachmentData_modifiy.tsv
0		show file with attachments from july	files							AttachmentData_modifiy.tsv
0		he file from jose with attachments	files							AttachmentData_modifiy.tsv
0		april documents with onenotes attachment	files							AttachmentData_modifiy.tsv
0		frontrunner attachment	files							AttachmentData_modifiy.tsv
0		file with an attachment from last week	files							AttachmentData_modifiy.tsv
0		documents with attachment on music	files							AttachmentData_modifiy.tsv
0		attachment files from goku spec	files							AttachmentData_modifiy.tsv
0		document about zoning law attachment	files							AttachmentData_modifiy.tsv
0		document from paul with decks attachments	files							AttachmentData_modifiy.tsv
0		attachment file from goku vssm	files							AttachmentData_modifiy.tsv
0		search for all document with excel attachments	files							AttachmentData_modifiy.tsv
0		monthly statement documents received last month with attachments	files							AttachmentData_modifiy.tsv
0		documents from robert with attachment about office party	files							AttachmentData_modifiy.tsv
0		show file with attachments about furniture	files							AttachmentData_modifiy.tsv
0		files received from may with attachments	files							AttachmentData_modifiy.tsv
0		attachment file please	files							AttachmentData_modifiy.tsv
0		document with attachment about butterfly	files							AttachmentData_modifiy.tsv
0		to jim attachment words	files							AttachmentData_modifiy.tsv
0		documents from bob to mike with attachment about office party	files							AttachmentData_modifiy.tsv
0		show me new file from allison with attachments	files							AttachmentData_modifiy.tsv
0		what was files from hank with attachment	files							AttachmentData_modifiy.tsv
0		labor day documents with attachment and instructions	files							AttachmentData_modifiy.tsv
0		files with youtube powerpoint attachments between april and may	files							AttachmentData_modifiy.tsv
0		show files with attachments from july	files							AttachmentData_modifiy.tsv
0		files from penny with dog docs attachment from december	files							AttachmentData_modifiy.tsv
0		document sent from abraham jacob with attachments	files							AttachmentData_modifiy.tsv
0		documents to thelma with attachments about dons birthday	files							AttachmentData_modifiy.tsv
0		documents with multiple attachmentes	files							AttachmentData_modifiy.tsv
0		files from ashok with attachments	files							AttachmentData_modifiy.tsv
0		documents from january 4 to february 4 with bill attachment	files							AttachmentData_modifiy.tsv
0		wedding plans document from lucy that comes with attachment	files							AttachmentData_modifiy.tsv
0		from kelly with attachment	files							AttachmentData_modifiy.tsv
0		document with attachment about biology	files							AttachmentData_modifiy.tsv
0		to john deck attachments	files							AttachmentData_modifiy.tsv
0		attachments from jet	files							AttachmentData_modifiy.tsv
0		documents in october from vicky with attachments	files							AttachmentData_modifiy.tsv
0		files attachment sue jones	files							AttachmentData_modifiy.tsv
0		files with attachment about hip hop	files							AttachmentData_modifiy.tsv
0		attachments for trader joes in document	files							AttachmentData_modifiy.tsv
0		ryan work powerpoint attachment	files							AttachmentData_modifiy.tsv
0		files i sent to vanessa with attachment	files							AttachmentData_modifiy.tsv
0		he file from shwetambari mokadam with attachments	files							AttachmentData_modifiy.tsv
0		my documents attachments for april 2019	files							AttachmentData_modifiy.tsv
0		look for documents from connie with a pptx attachment	files							AttachmentData_modifiy.tsv
0		document from robert to cora re chamberlain visit with excels attachments july 2015 to august 2015	files							AttachmentData_modifiy.tsv
0		attachment from last week was complete	files							AttachmentData_modifiy.tsv
0		files with link attachments from march 2	files							AttachmentData_modifiy.tsv
0		my documents with attachments	files							AttachmentData_modifiy.tsv
0		file from kalyan with attachment	files							AttachmentData_modifiy.tsv
0		document to berty from edith with attachments from june	files							AttachmentData_modifiy.tsv
0		i need to see my files from december that have attachments	files							AttachmentData_modifiy.tsv
0		file about zoning law attachment	files							AttachmentData_modifiy.tsv
0		what recent documents do i have which have attachments	files							AttachmentData_modifiy.tsv
0		file about football with attachment	files							AttachmentData_modifiy.tsv
0		any document with attachments	files							AttachmentData_modifiy.tsv
0		attachment sent tsv	files							AttachmentData_modifiy.tsv
0		find karens files containing attachment	files							AttachmentData_modifiy.tsv
0		attachment from school last week open house	files							AttachmentData_modifiy.tsv
0		with attachments this week	files							AttachmentData_modifiy.tsv
0		documents from saurabh with attachments	files							AttachmentData_modifiy.tsv
0		documents attachment from june about party	files							AttachmentData_modifiy.tsv
0		file with docs attachment in september	files							AttachmentData_modifiy.tsv
0		jane file attachment	files							AttachmentData_modifiy.tsv
0		files that includes attachments	files							AttachmentData_modifiy.tsv
0		open files from sarah containing attachment	files							AttachmentData_modifiy.tsv
0		show all files with attachments added	files							AttachmentData_modifiy.tsv
0		file from bob with an attachment	files							AttachmentData_modifiy.tsv
0		files workbook with attachment	files							AttachmentData_modifiy.tsv
0		document with pdf attachment from last two months	files							AttachmentData_modifiy.tsv
0		i need to see documents from john with sheet attachments	files							AttachmentData_modifiy.tsv
0		search for documents to jim two months ago that had an attachment	files							AttachmentData_modifiy.tsv
0		files to john has attachment	files							AttachmentData_modifiy.tsv
0		documents with attachment sent by yong	files							AttachmentData_modifiy.tsv
0		docs attachment to jason	files							AttachmentData_modifiy.tsv
0		look for file received from connor with a vsdm attachment	files							AttachmentData_modifiy.tsv
0		from mithila all attachments	files							AttachmentData_modifiy.tsv
0		documents with attachment from december about tigers	files							AttachmentData_modifiy.tsv
0		tsv attachments in document	files							AttachmentData_modifiy.tsv
0		files from jackie about presentation with attachment	files							AttachmentData_modifiy.tsv
0		document sent from anna three weeks ago with attachment	files							AttachmentData_modifiy.tsv
0		document from lijah to leah with word attachments	files							AttachmentData_modifiy.tsv
0		june documents with attachment	files							AttachmentData_modifiy.tsv
0		files with attachments with manual underwriting in title	files							AttachmentData_modifiy.tsv
0		file attachment from chris	files							AttachmentData_modifiy.tsv
0		open document from sarah containing attachment	files							AttachmentData_modifiy.tsv
0		document with baby food attachments	files							AttachmentData_modifiy.tsv
0		show me recent word attachments	files							AttachmentData_modifiy.tsv
0		school attachments file	files							AttachmentData_modifiy.tsv
0		ppts sent attachments	files							AttachmentData_modifiy.tsv
0		files received with attachments	files							AttachmentData_modifiy.tsv
0		attachment renovation documents	files							AttachmentData_modifiy.tsv
0		from malik with deck attachment	files							AttachmentData_modifiy.tsv
0		show me attachments with tim	files							AttachmentData_modifiy.tsv
0		find holiday slide attachments from brad	files							AttachmentData_modifiy.tsv
0		play document from allison with onenote attachment	files							AttachmentData_modifiy.tsv
0		file archived with attachment	files							AttachmentData_modifiy.tsv
0		from cindy attachment vss	files							AttachmentData_modifiy.tsv
0		i sent document with attachment	files							AttachmentData_modifiy.tsv
0		files with database file attachment	files							AttachmentData_modifiy.tsv
0		documents containing attachment	files							AttachmentData_modifiy.tsv
0		files to cora about dresses with attachments	files							AttachmentData_modifiy.tsv
0		document sent from anna on march 18th with attachment	files							AttachmentData_modifiy.tsv
0		documents sent with an attachment	files							AttachmentData_modifiy.tsv
0		files from greg with attachment about part	files							AttachmentData_modifiy.tsv
0		document sent from abraham jacob in january on tuesday with attachments	files							AttachmentData_modifiy.tsv
0		graduation file with attachment	files							AttachmentData_modifiy.tsv
0		documents with attachment about credit card receipts from brenda	files							AttachmentData_modifiy.tsv
0		files with attachment of presentation	files							AttachmentData_modifiy.tsv
0		attachments that are with an files	files							AttachmentData_modifiy.tsv
0		presentation attachment from han zhang	files							AttachmentData_modifiy.tsv
0		documents s with attachments inside	files							AttachmentData_modifiy.tsv
0		find document for mpp attachments	files							AttachmentData_modifiy.tsv
0		george files with attachment	files							AttachmentData_modifiy.tsv
0		show file with diego send me last week with attachments in where town was on it	files							AttachmentData_modifiy.tsv
0		file may 1 through may 5 with attachments	files							AttachmentData_modifiy.tsv
0		documents from penny with dog ppts attachment from december	files							AttachmentData_modifiy.tsv
0		mark sent documents with attachment yesterday to steven	files							AttachmentData_modifiy.tsv
0		files attachment from steve to jackie	files							AttachmentData_modifiy.tsv
0		list of documents that has attachments included	files							AttachmentData_modifiy.tsv
0		look for an file from barb that included an attachment	files							AttachmentData_modifiy.tsv
0		im looking for document from rebecca with attachment	files							AttachmentData_modifiy.tsv
0		find attachment from christen docx	files							AttachmentData_modifiy.tsv
0		rickys file to jim with attachments sent in july	files							AttachmentData_modifiy.tsv
0		files with flooring attachment	files							AttachmentData_modifiy.tsv
0		file has attachment size more than 1mb	files							AttachmentData_modifiy.tsv
0		i need to see my file with attachments	files							AttachmentData_modifiy.tsv
0		photography club files with attachments sent from ben to ruth	files							AttachmentData_modifiy.tsv
0		files from january to don with attachment xlsx	files							AttachmentData_modifiy.tsv
0		files on opera with attachment	files							AttachmentData_modifiy.tsv
0		document from mike to john about music with attachment	files							AttachmentData_modifiy.tsv
0		show documents with attachment from kevin	files							AttachmentData_modifiy.tsv
0		pull up document in past month with an attachment	files							AttachmentData_modifiy.tsv
0		files with attachment on scheduling	files							AttachmentData_modifiy.tsv
0		show me all files with attachments to tony	files							AttachmentData_modifiy.tsv
0		documents from bob with an attachment	files							AttachmentData_modifiy.tsv
0		document with attachment from lazlo	files							AttachmentData_modifiy.tsv
0		show files with attachments	files							AttachmentData_modifiy.tsv
0		find document with an attachment	files							AttachmentData_modifiy.tsv
0		please show me attachments in files	files							AttachmentData_modifiy.tsv
0		files attachment from ashley	files							AttachmentData_modifiy.tsv
0		document from jayson with attachments about pop music	files							AttachmentData_modifiy.tsv
0		vss attachment from jim	files							AttachmentData_modifiy.tsv
0		im looking for documents that barb sent me that included attachment	files							AttachmentData_modifiy.tsv
0		documents with database file attachment	files							AttachmentData_modifiy.tsv
0		file with pdfs attachment	files							AttachmentData_modifiy.tsv
0		pull up all documents that have an attachment	files							AttachmentData_modifiy.tsv
0		sent files with attachments	files							AttachmentData_modifiy.tsv
0		document re october to november budget plus attachments	files							AttachmentData_modifiy.tsv
0		sundays documents with attachment on park mpp	files							AttachmentData_modifiy.tsv
0		document from john with attachment from april	files							AttachmentData_modifiy.tsv
0		files from aria with attachments	files							AttachmentData_modifiy.tsv
0		files from steve with an attachment	files							AttachmentData_modifiy.tsv
0		document from jason that has attachments	files							AttachmentData_modifiy.tsv
0		new work schedule attachments from may to june	files							AttachmentData_modifiy.tsv
0		document with attachment from roselyn	files							AttachmentData_modifiy.tsv
0		show files with attachments about furniture	files							AttachmentData_modifiy.tsv
0		search for attachments in yesterdays file	files							AttachmentData_modifiy.tsv
0		find vivs documents with decks attachment	files							AttachmentData_modifiy.tsv
0		file from steve with an attachment	files							AttachmentData_modifiy.tsv
0		files with attachment from month of june	files							AttachmentData_modifiy.tsv
0		document attachment from mia	files							AttachmentData_modifiy.tsv
0		show me connor attachments with vcs	files							AttachmentData_modifiy.tsv
0		im looking for files with an attachment	files							AttachmentData_modifiy.tsv
0		file about dogs with attachment from cindy	files							AttachmentData_modifiy.tsv
0		files with attachment sent yesterday	files							AttachmentData_modifiy.tsv
0		attachments in file from joyelle	files							AttachmentData_modifiy.tsv
0		arts and crafts documents from july 2019 with attachment	files							AttachmentData_modifiy.tsv
0		document without any attachment	files							AttachmentData_modifiy.tsv
0		from zenia wedding invitation attachment	files							AttachmentData_modifiy.tsv
0		view documents with attachments	files							AttachmentData_modifiy.tsv
0		bank reconciliation attachment to connie	files							AttachmentData_modifiy.tsv
0		file sent from a long march 18th with attachment	files							AttachmentData_modifiy.tsv
0		school attachments document	files							AttachmentData_modifiy.tsv
0		files with attachment between february 26 and february 28	files							AttachmentData_modifiy.tsv
0		file received containing attachment	files							AttachmentData_modifiy.tsv
0		files from january to don with attachment powerpoint	files							AttachmentData_modifiy.tsv
0		document with attachments from harry to sally last year	files							AttachmentData_modifiy.tsv
0		search for document sent to todd that contain pptx attachments	files							AttachmentData_modifiy.tsv
0		document to cora about dresses with attachments	files							AttachmentData_modifiy.tsv
0		document to sharon with attachment re pigs	files							AttachmentData_modifiy.tsv
0		spreadsheets attachment from han zhang	files							AttachmentData_modifiy.tsv
0		decks attachment to jack	files							AttachmentData_modifiy.tsv
0		april 2019 file with attachments	files							AttachmentData_modifiy.tsv
0		show all recent document with attachments	files							AttachmentData_modifiy.tsv
0		show my files to kevin with attachments on project	files							AttachmentData_modifiy.tsv
0		could you show me file that have an words attachment	files							AttachmentData_modifiy.tsv
0		from malik with onenotes attachment	files							AttachmentData_modifiy.tsv
0		jacob document with attachment	files							AttachmentData_modifiy.tsv
0		file with attachment from june about music	files							AttachmentData_modifiy.tsv
0		from malik with attachments	files							AttachmentData_modifiy.tsv
0		file containing multiple attachments	files							AttachmentData_modifiy.tsv
0		jasons file with attachment from last monday	files							AttachmentData_modifiy.tsv
0		search for message from paul to riley with fall trip itinerary attachment	files							AttachmentData_modifiy.tsv
0		from liza attachment vcs	files							AttachmentData_modifiy.tsv
0		document from bill with attachment	files							AttachmentData_modifiy.tsv
0		document with attachments that i have	files							AttachmentData_modifiy.tsv
0		file from mark to ned with attachments	files							AttachmentData_modifiy.tsv
0		attachments in files work vss	files							AttachmentData_modifiy.tsv
0		cindys document with attachments	files							AttachmentData_modifiy.tsv
0		my document with attachments	files							AttachmentData_modifiy.tsv
0		file to me with an attachment	files							AttachmentData_modifiy.tsv
0		attachments in files from sue	files							AttachmentData_modifiy.tsv
0		files with an attachment from bill	files							AttachmentData_modifiy.tsv
0		i need to see my files from tammy with photo attachments	files							AttachmentData_modifiy.tsv
0		files with attachment from june to me	files							AttachmentData_modifiy.tsv
0		i want to see my documents with attachments sent to leonard	files							AttachmentData_modifiy.tsv
0		file words with attachment	files							AttachmentData_modifiy.tsv
0		from manasi with attachment	files							AttachmentData_modifiy.tsv
0		documents with spreadsheets attachment from april	files							AttachmentData_modifiy.tsv
0		show marks documents and attachment that i forwarded to john	files							AttachmentData_modifiy.tsv
