UUID	Query	Intent	Domain	Slot	SessionId	TurnIndex	Weight	Timex	MetaItem	ExternalFeature	ChangeType	ExpectedDomainScore	AllPredictDomains	LineIndex	CachedDomainScore
0	please archive conversation		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	Please flag it		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	please flag this one		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	please move this to spam		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	please read next		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	Please skip this conversation and read next		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	please skip this one		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	read the previous message again		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	remove star from this message		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	Remove this message		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	REPEAT IT		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	repeat the sentence		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	reply to current sender		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	reply to sender		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	reply to sender		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	reply to sender		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	Reply to sender		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	Reply to sender		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	reply to the sender		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	reply to this message please		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	reply to this sender		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	reply yes to this message		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	Restart from the top		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	save this message		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	Send a reply		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	send to folder		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	send to outbox		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	send to outbox		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	send to trash		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	skip ahead to the next message		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	skip conversation		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	skip conversation		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	skip over this message		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	skip the conversation		email			0	0							0	
0	skip this one please		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	skip this sender for now		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	skip to the next message		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	Start from the beggining 		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	State the date this email arrived		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	will you read me the previous message again		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
0	would you read me that message over		email			1	0			PreviousTurnDomain(email);PreviousTurnIntent(search_email)				0	
